TraceFinder Compound Database Export,,,,,,,,,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 1 CONFIRMINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Confirm Precursor,Confirm Extracted,Confirm Energy,Target Ratio,Window Type,Ratio Window,Ion Coelution,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment,Fragment
L-Carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,162.112380981445,,+,1,6.03,60,30,,,162.112380981445,162.112429011272,30,100,eAbsolute,10,0.1,162.112380981445,103.039394071932,30,23.4847112269021,eAbsolute,10,0.1,162.112380981445,60.0814377776347,30,20.1458278795765,eAbsolute,10,0.1,162.112380981445,102.091759674457,30,5.73016743555948,eAbsolute,10,0.1,162.112380981445,85.0288873476078,30,5.08509463806686,eAbsolute,10,0.1,162.112380981445,58.0663879300802,30,0.466524198006191,eAbsolute,10,0.1,162.112380981445,57.0341063555915,30,0.204088062002657,eAbsolute,10,0.1,162.112429011272,103.039394071932,60.0814377776347,102.091759674457,85.0288873476078,58.0663879300802,57.0341063555915
O-Acetyl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,204.123077392578,,+,1,5.0434923,60,30,,,204.123077392578,85.0289504551714,30,100,eAbsolute,10,0.1,204.123077392578,204.122803506239,30,45.5443307032364,eAbsolute,10,0.1,204.123077392578,60.0814745377941,30,19.1832378227891,eAbsolute,10,0.1,204.123077392578,145.049458012096,30,17.1849952134939,eAbsolute,10,0.1,204.123077392578,144.10193469771,30,4.16578399319279,eAbsolute,10,0.1,204.123077392578,58.0662917197824,30,0.277026760557045,eAbsolute,10,0.1,204.123077392578,64.2165710857447,30,0.223626257917111,eAbsolute,10,0.1,85.0289504551714,204.122803506239,60.0814745377941,145.049458012096,144.10193469771,58.0662917197824,64.2165710857447
O-Propionyl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,218.138641357422,,+,1,4.4992538,60,30,,,218.138641357422,85.0289448899911,30,100,eAbsolute,10,0.1,218.138641357422,218.138818147915,30,44.5860850210919,eAbsolute,10,0.1,218.138641357422,159.065127236966,30,20.1152389606114,eAbsolute,10,0.1,218.138641357422,60.0814503073023,30,13.5617192411823,eAbsolute,10,0.1,218.138641357422,144.101972592519,30,2.8617360503553,eAbsolute,10,0.1,218.138641357422,219.370050693438,30,1.67646870512509,eAbsolute,10,0.1,218.138641357422,57.0344049688227,30,1.05006867318172,eAbsolute,10,0.1,85.0289448899911,218.138818147915,159.065127236966,60.0814503073023,144.101972592519,219.370050693438,57.0344049688227
O-Butyryl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,232.15461730957,,+,1,3.9919011,60,30,,,232.15461730957,85.0289461517826,30,100,eAbsolute,10,0.1,232.15461730957,232.154235351488,30,36.9250728389721,eAbsolute,10,0.1,232.15461730957,173.080948154046,30,15.8879858952395,eAbsolute,10,0.1,232.15461730957,60.0814521316521,30,11.2022008628601,eAbsolute,10,0.1,232.15461730957,144.102055307002,30,2.74217571185204,eAbsolute,10,0.1,232.15461730957,71.0496817644756,30,2.3830210392608,eAbsolute,10,0.1,232.15461730957,221.70757172676,30,1.02973756177636,eAbsolute,10,0.1,85.0289461517826,232.154235351488,173.080948154046,60.0814521316521,144.102055307002,71.0496817644756,221.70757172676
O-Isovaleryl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,246.169708251953,,+,1,3.7629446,60,30,,,246.169708251953,85.0289227535648,30,100,eAbsolute,10,0.1,246.169708251953,246.169771077421,30,37.7343842144164,eAbsolute,10,0.1,246.169708251953,187.096200464947,30,16.6508845203784,eAbsolute,10,0.1,246.169708251953,60.0814333036011,30,10.0897925451694,eAbsolute,10,0.1,246.169708251953,85.0652345628977,30,4.54882939909137,eAbsolute,10,0.1,246.169708251953,144.101798840918,30,2.47726056507922,eAbsolute,10,0.1,246.169708251953,218.147339335322,30,1.59193329086325,eAbsolute,10,0.1,85.0289227535648,246.169771077421,187.096200464947,60.0814333036011,85.0652345628977,144.101798840918,218.147339335322
O-Octanoyl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,288.216522216797,,+,1,2.6217685,60,30,,,288.216522216797,85.0289433287341,30,100,eAbsolute,10,0.1,288.216522216797,288.216719463101,30,47.3242869299861,eAbsolute,10,0.1,288.216522216797,229.143452431983,30,12.5272579616447,eAbsolute,10,0.1,288.216522216797,60.0814492698489,30,11.3951152449204,eAbsolute,10,0.1,288.216522216797,127.111941781001,30,5.37774748047692,eAbsolute,10,0.1,288.216522216797,144.101939372336,30,2.67422971274498,eAbsolute,10,0.1,288.216522216797,57.0705765639361,30,2.11044441313117,eAbsolute,10,0.1,85.0289433287341,288.216719463101,229.143452431983,60.0814492698489,127.111941781001,144.101939372336,57.0705765639361
O-Myristoyl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,372.310577392578,,+,1,1.7217175,60,30,,,372.310577392578,85.0289296119654,30,100,eAbsolute,10,0.1,372.310577392578,372.310909706624,30,44.0850419014226,eAbsolute,10,0.1,372.310577392578,60.0814162274434,30,11.9637230925177,eAbsolute,10,0.1,372.310577392578,313.237035621058,30,7.76147718735052,eAbsolute,10,0.1,372.310577392578,211.205560498599,30,3.22603214666754,eAbsolute,10,0.1,372.310577392578,144.101928099504,30,3.0132512218045,eAbsolute,10,0.1,372.310577392578,57.0705677239522,30,1.37129047618063,eAbsolute,10,0.1,85.0289296119654,372.310909706624,60.0814162274434,313.237035621058,211.205560498599,144.101928099504,57.0705677239522
O-Palmitoyl-L-carnitine,XIC,eTargetCompound,,,,ESI,5000,,0,,400.341583251953,,+,1,1.7416112,60,30,,,400.341583251953,85.0289417392156,30,100,eAbsolute,10,0.1,400.341583251953,400.341963354742,30,53.4493378088613,eAbsolute,10,0.1,400.341583251953,60.0814618529528,30,12.0892020863072,eAbsolute,10,0.1,400.341583251953,341.268014276296,30,7.12253266020829,eAbsolute,10,0.1,400.341583251953,144.101998765949,30,3.02693537923192,eAbsolute,10,0.1,400.341583251953,239.236714126808,30,2.27185872794587,eAbsolute,10,0.1,400.341583251953,57.0705453371066,30,1.56562339575415,eAbsolute,10,0.1,85.0289417392156,400.341963354742,60.0814618529528,341.268014276296,144.101998765949,239.236714126808,57.0705453371066
DL-Malic acid,XIC,eTargetCompound,C4H6O5,,,ESI,5000,,0,,133.013137817383,,-,1,7.043688,60,30,,,133.013137817383,115.002565530359,30,100,eAbsolute,10,0.1,133.013137817383,71.0127727728072,30,54.5469336781483,eAbsolute,10,0.1,133.013137817383,133.013204559431,30,23.6500294829818,eAbsolute,10,0.1,133.013137817383,72.9920478690255,30,12.075653242969,eAbsolute,10,0.1,133.013137817383,89.0234426169266,30,6.94960906856995,eAbsolute,10,0.1,133.013137817383,115.012414705568,30,0.862965664145111,eAbsolute,10,0.1,133.013137817383,59.0125422715369,30,0.740351968770095,eAbsolute,10,0.1,115.002565530359,71.0127727728072,133.013204559431,72.9920478690255,89.0234426169266,115.012414705568,59.0125422715369
DL-Malic acid,XIC,eTargetCompound,C4H6O5,,,ESI,5000,,0,,133.013153076172,,-,1,7.7542038,60,30,,,133.013153076172,115.00258509,30,100,eAbsolute,10,0.1,133.013153076172,71.01275589,30,51.2734834759936,eAbsolute,10,0.1,133.013153076172,133.01314975,30,24.1116298046014,eAbsolute,10,0.1,133.013153076172,72.99202043,30,13.7847386511141,eAbsolute,10,0.1,133.013153076172,89.02332055,30,8.17908545985493,eAbsolute,10,0.1,133.013153076172,96.5483638427659,30,1.28744670447405,eAbsolute,10,0.1,133.013153076172,100.705390411103,30,1.24906097013818,eAbsolute,10,0.1,115.00258509,71.01275589,133.01314975,72.99202043,89.02332055,96.5483638427659,100.705390411103
