Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20191118_KAO_1uLPool.raw (F1),20191118_KAO_2pt5uLPool.raw (F2),20191118_KAO_5uLPool.raw (F3),20191118_KAO_5uLPool_20191118202447.raw (F4),20191118_KAO_5uLPool_20191119024733.raw (F5),20191118_KAO_methodBlank.raw (F6),20191118_KAO_methodBlank_20191119031929.raw (F7),20191118_KAO_T550M.raw (F8),20191118_KAO_T551M.raw (F9),20191118_KAO_T552M.raw (F10),20191118_KAO_T553M.raw (F11),20191118_KAO_T562M.raw (F12),20191118_KAO_T568M.raw (F13),20191118_KAO_T569M.raw (F14),20191118_KAO_T570M.raw (F15),20191118_KAO_T571M.raw (F16),20191118_KAO_T582M.raw (F17),20191118_KAO_T650M.raw (F18),20191118_KAO_T651M.raw (F19),20191118_KAO_T652M.raw (F20),20191118_KAO_T653M.raw (F21),20191118_KAO_T690M.raw (F22),20191118_KAO_T691M.raw (F23),20191118_KAO_T692M.raw (F24),20191118_KAO_T713M.raw (F25),20191118_KAO_T714M.raw (F26),20191118_KAO_T715M.raw (F27),20191118_KAO_waterBlank_20191119035125.raw (F28)
1.445,558.29523,+,550745.4137,,,7,1864.32854,11400.67809,118061.2013,132827.7671,142901.5862,873.6830029,1107.583102,270871.0672,244666.785,77129.40751,6759.441366,103821.6134,224084.8645,309015.2867,180770.6847,77855.31957,131827.2835,550745.4137,127027.5986,124251.2108,241521.156,114481.0893,207012.5206,127300.6767,137423.2148,261288.998,95097.92047,299.967446
1.448,570.35443,+,306567.8826,,,4,5703.966206,9988.798999,233983.6561,220326.2171,285362.5841,4678.890333,4640.451,157153.5636,238782.5957,193661.792,90771.77158,306567.8826,210017.6532,168505.4167,11689.3631,197714.3853,11758.68072,160349.6499,11507.40106,208480.4055,169671.6381,241502.7692,16121.99668,198020.3669,191375.1476,128335.8035,116900.058,887.099647
1.463,792.56738,+,190953.9365,,,2,7097.471201,105533.3152,25918.66223,27099.94099,50875.43871,59180.05829,4367.937471,190953.9365,16500.37851,12582.00515,112850.2828,20329.19493,119199.0013,14948.29276,133622.0105,15703.91708,90108.12748,164968.7877,124952.1741,99526.59352,14659.55725,14944.14072,20109.20258,129293.8487,176213.5541,113332.1492,12555.10372,1033.051262
1.486,554.34607,-,7404111.825,LysoPC 16:0,LysoPC,4,295613.9974,942842.4628,2281961.286,2204816.123,1813949.268,1471.809469,1773.387707,3328134.922,2611068.289,1412940.968,1477379.341,2157991.568,2022253.885,1443414.251,1375161.855,2253996.36,2098107.76,2453940.439,2082269.434,2025381.342,1471439.551,1902008.889,2709239.21,7404111.825,1875835.326,1526560.782,1600624.026,531.2347898
1.51,1037.65332,+,963141.1663,,,11,6327.596645,13595.38291,37579.36773,14788.41382,289236.9437,3008.923723,3587.830109,744768.7035,963141.1663,48138.29086,11767.02685,248774.1166,275821.2412,292726.9056,58181.38185,30807.6585,181907.7161,297576.1054,269114.9139,222693.7221,39767.65472,43282.62033,694307.6663,30249.75913,17319.94597,30492.98143,32407.33115,920.9944657
1.513,452.32144,+,6166324.518,,,10,329608.2533,6166324.518,16675.44561,30258.48971,26763.46684,106337.1241,121956.8809,25266.69743,40803.80922,274233.4057,763801.033,21446.4189,1197396.574,41609.30728,37437.53912,30497.8394,20119.61818,28500.53194,23467.94887,25394.19544,35653.91643,27728.08145,44478.48844,2766662.16,365967.8775,27281.04553,613602.6033,1107.460952
1.565,546.35474,+,2253402.749,LysoPC 20:3,LysoPC,32,36865.75401,574114.6714,1217813.553,1437301.03,1579148.944,4644.913073,5538.578079,1469707.232,2253402.749,1061382.642,591553.2295,1429366.199,1506369.811,1621520.362,1271206.136,1124426.872,1076919.571,1733464.885,1254382.789,1323687.535,985813.0601,1592239.213,1413151.942,1002654.25,1038965.932,139934.209,925332.3143,1421.750642
1.584,1063.66394,+,208727.8029,,,5,7503.778308,15564.69931,138530.6032,138681.3179,120871.4841,3001.29827,2729.301191,202948.6461,115560.6702,73849.01525,17624.38483,192338.0117,107496.8804,95979.23974,105239.9618,82845.44349,93464.93677,58341.49056,60710.15057,61977.65696,71736.80738,95841.52473,208727.8029,59934.9448,84060.18772,37656.10977,69245.72755,882.0339883
1.6,452.27798,-,1276111.579,LysoPE 16:0,LysoPE,23,17644.2874,187191.1747,640827.3307,739207.1429,884115.5283,1005.043862,1144.564663,1164857.193,972505.9535,411450.5683,118378.4765,919128.7215,787256.0447,603500.2702,517423.7111,824652.1897,792368.7912,861767.3962,864032.649,667419.7157,584954.6047,669181.6867,1276111.579,626394.2374,655055.57,1160109.206,564327.4658,589.4330935
1.615,540.33087,-,165327.3047,,,2,8472.06331,28458.76396,58814.03682,45183.53101,58088.2345,1199.695822,1366.238326,52185.7335,39949.95025,23812.60399,32280.27121,57188.7372,41222.9774,46022.70969,27549.89531,87988.48844,53975.54039,49559.08951,45836.14356,40784.53436,37595.68412,33502.78759,52304.34792,45379.19669,34751.76221,165327.3047,27154.02797,703.5916004
