,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
0,10.052,584.32806,+,4734661.708,,,1,4674076.981,4525478.367,4419024.629,3709532.69,4734661.708,108240.7319,,False,,,,
1,10.06,659.93549,+,2407185.429,,,1,2050046.369,1734798.71,2407185.429,1313701.633,154755.4397,2068878.482,,False,,,,
2,10.063,392.22778,+,10424288.97,,,2,9462703.808,8669194.79,4151132.298,9425166.432,4319839.283,10424288.97,,False,,,,
3,10.063,211.05342,+,2675642.324,,,1,162020.8459,139363.3577,141348.4481,2333816.123,2173786.281,2675642.324,,False,,,,
4,10.065,1279.77869,+,693287.3061,,,1,537357.3386,333526.471,693287.3061,91433.09974,660958.8096,475170.1089,,False,,,,
5,10.067,473.2356,+,1094601.218,,,1,87796.42716,1094601.218,688530.1298,539655.93,559659.794,626005.0779,,False,,,,
6,10.071,619.33606,+,1525733.668,,,2,747644.8764,606859.1512,94007.95402,41460.00653,1200423.944,1525733.668,,False,,,,
7,10.072,478.20688,+,578332.7047,,,3,578332.7047,351306.5377,351716.6124,310367.4454,574492.188,401947.0979,,False,,,,
8,10.075,321.13065,+,9521447.143,,,2,7074255.902,9015051.966,7172440.27,5147568.51,9521447.143,6847270.239,,False,,,,
9,10.077,271.06308,+,584443.8892,,,1,560482.76,576398.5023,584443.8892,41310.58167,67812.57863,518770.7497,,False,,,,
10,10.077,642.37006,+,570425.5766,,,2,52420.76269,484522.8236,505400.7523,570425.5766,496819.8612,558354.7385,,False,,,,
11,10.078,363.21643,+,12270480.65,,,3,8879349.984,141754.646,12270480.65,7420232.863,10719110.14,10655146.78,,False,,,,
12,10.08,355.17291,+,609167.2309,,,1,85498.96242,609167.2309,603020.0967,81312.64035,82761.83124,105435.334,,False,,,,
13,10.083,1165.74792,+,10035939.69,,,6,5132553.569,6601247.673,4976198.564,3548671.067,7746151.196,10035939.69,,False,,,,
14,10.084,329.15689,+,14715745.8,,,3,10236516.2,8030530.238,10844119.18,14715745.8,270569.5396,9707989.577,,False,,,,
15,10.084,629.32861,+,671507.7634,,,1,52747.16883,671507.7634,49136.46869,45452.1403,511293.6596,50554.58447,,False,,,,
16,10.085,627.38519,+,1097909.516,,,1,1097909.516,799309.9839,72588.71119,1040240.532,80541.21622,852558.577,,False,,,,
17,10.088,300.18024,+,10905747.98,,,4,10905747.98,231302.7177,6126869.821,8418676.909,7371163.83,257729.6717,,False,,,,
18,10.091,538.3374,+,1063653.512,,,3,1063653.512,735724.0022,908021.9793,93955.99879,740876.0421,94686.63558,,False,,,,
19,10.091,385.08997,+,752619.0277,,,1,752619.0277,563420.2006,216071.2434,202104.3142,196462.0527,309900.1854,,False,,,,
20,10.093,464.22784,+,41069576.86,,,3,29221354.16,713182.8707,41069576.86,396188.6337,38128246.67,22926879.86,,False,,,,
21,10.094,313.12823,+,8343766.354,,,2,8257964.515,8343766.354,281537.5614,271616.4062,276457.2774,6322822.226,,False,,,,
22,10.095,558.31183,+,1055564.855,,,1,743043.128,832665.342,849613.6891,1055564.855,89625.4791,88740.86014,,False,,,,
23,10.098,299.12088,+,85989844.64,,,1,55684896.3,413727.8471,419620.983,457440.1354,85989844.64,460997.36,,False,,,,
24,10.099,314.23209,+,9998351.792,,,3,8294985.196,5793050.981,9998351.792,7893510.433,217120.1491,214977.1358,,False,,,,
25,10.1,596.32819,+,1283126.624,,,1,1283126.624,1080165.701,1171499.184,91776.4456,862175.4136,1263891.447,,False,,,,
26,10.102,461.2359,+,4365550.941,,,1,361761.8849,4365550.941,4287223.799,344048.7838,3923420.104,346724.2351,,False,,,,
27,10.104,348.2103,+,11063732.87,,,4,295977.0229,4511886.118,11063732.87,4198879.816,10574006.15,7082444.371,,False,,,,
28,10.108,372.15848,+,10322013.72,,,3,10322013.72,239398.9679,3453074.251,8609861.124,269410.064,5556372.643,,False,,,,
29,10.108,213.03264,+,6493826.069,,,2,4367176.216,4127788.518,116437.7196,3996126.829,5061722.424,6493826.069,,False,,,,
30,10.11,358.22223,+,7696634.268,,,2,6689824.282,241975.3027,7378653.37,7696634.268,272309.3686,7681831.05,,False,,,,
31,10.11,450.26981,+,3031488.879,,,1,174389.9985,2894880.086,133030.6727,145020.3193,2304549.392,3031488.879,,False,,,,
