,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,Filter Status,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),1060_8_FBG,1060_8_RBG,1060_9_FBG,1060_9_RBG,1060_10_FBG,1060_10_RBG,1062_8_FBG,1062_8_RBG,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),1062_9_FBG,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),1062_9_RBG,1062_10_FBG,1062_10_RBG,1074_8_FBG,1074_8_RBG,1074_9_FBG,1074_9_RBG,1074_10_FBG,1074_10_RBG,1076_8_FBG,1076_8_RBG,1076_9_FBG,1076_9_RBG,1076_10_FBG,1076_10_RBG,1082_8_FBG,1082_8_RBG,1082_9_FBG,1082_9_RBG,1082_10_FBG,1082_10_RBG,1091_8_FBG,1091_8_RBG,1091_9_FBG,1091_9_RBG,1091_10_FBG,1091_10_RBG,1092_8_FBG,1092_8_RBG,1092_9_FBG,1092_9_RBG,1092_10_FBG,1092_10_RBG,1093_8_FBG,1093_8_RBG,1093_9_FBG,1093_9_RBG,1093_10_FBG,1093_10_RBG,1101_8_FBG,1101_8_RBG,1101_9_FBG,1101_9_RBG,1101_10_FBG,1101_10_RBG,1102_8_FBG,1102_8_RBG,1102_9_FBG,1102_9_RBG,1102_10_FBG,1102_10_RBG,20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),mean,is_id,C,unsat,C_cat,unsat_cat
0,0.528,664.07684,+,7218669.692,,,2,Dimer,3616.600742,3754.897464,3712247.69,4213029.868,5481966.285,5732820.418,2463440.998,4482691.845,2542516.677,905840.1358,253656.3125,1418996.303,1481793.169,2260407.361,2342649.712,3412911.141,4254334.191,4679314.973,1604784.46,5445056.33,4599532.174,3119250.935,4601758.763,3466829.197,5682256.682,3184872.116,556497.7247,5798007.053,4095484.566,4869290.725,2998543.784,4534231.636,3793449.701,3695602.308,3237854.872,5564808.542,7218669.692,5372051.874,5375853.964,2108459.394,4061309.217,4130647.87,3999288.837,3868049.035,4442244.035,5158989.226,4806503.707,2778706.176,2488693.259,5523266.275,4255856.668,3776976.474,3904162.889,4763259.967,3117516.798,3200545.57,1716404.519,3967980.548,4451847.713,2456581.174,4949764.501,3271366.771,3898190.561,3586651.849,4371.310119,3837.969412,3872.151793,3856685.2954916665,False,,,,
1,0.529,662.08582,+,20568650.39,,,4,Dimer,4138.791646,4297.056647,13674552.52,11720242.98,12390989.28,18128628.55,12580556.06,15996213.09,7606702.267,4770949.019,728540.0809,4719379.03,15994330.64,13136086.71,10425568.79,13476888.77,11867534.22,13871201.32,3821497.811,17936625.38,14515722.2,12607980.49,14420349.5,12388163.49,17917734.86,12542275.02,1184102.376,20482301.65,10438519.05,15872624.21,11805767.1,19648265.8,8597840.585,11857448.11,13186358.0,16691747.83,8977302.288,19162711.18,13540774.09,10256470.68,7365356.815,15511764.35,12320939.92,11042070.65,16667829.42,20568650.39,14290078.9,8312441.011,4893155.801,19516637.88,15679293.78,10648822.11,15246424.52,9336570.893,9957667.389,14112101.89,6162164.861,16194043.2,13183919.73,11873157.54,14153390.09,5295644.374,9765148.736,12107026.49,5002.471406,4392.123121,4457.358249,12440372.91743333,False,,,,
2,0.53,991.11859,+,9722883.539,,,6,Adduct of existing peak,5222.040196,5421.727995,6383490.891,5113204.911,7034688.492,8240929.795,8821805.141,5859355.722,3451552.149,2629496.667,212488.621,1394605.772,7388733.094,4279788.96,4257604.001,6484325.936,4944385.107,5430494.617,1269100.636,9722883.539,6866435.672,5717243.96,5907265.824,6344689.011,5982874.543,6624401.004,805104.7389,8212348.355,5893255.208,6977196.728,5374156.864,5513538.486,3815191.735,6453450.451,5444943.316,6035962.998,4209307.527,9556220.275,5986139.343,4743079.674,3788623.377,7891318.72,5339975.23,5080227.471,7612817.787,6704872.313,6337972.786,4205959.404,2636151.895,6606906.43,6719493.649,4632162.681,5564186.492,7804880.039,4019695.093,6966186.942,1886822.061,7060151.814,5697791.761,5513679.767,5899307.235,7166797.152,5926878.143,6104698.575,6484.218919,5541.676278,5623.985437,5649134.581098333,False,,,,
3,0.531,661.08264,+,77787028.73,,,44,Dimer,4970.354146,5160.417616,45361717.92,45709218.87,58957095.96,77787028.73,55974905.64,61408283.83,16098210.39,23977788.78,2287957.959,28533547.89,51078089.51,24283920.99,31588926.44,57918069.0,40242448.58,43742802.64,13010245.3,74169740.17,58677422.7,46819036.95,47395722.46,45915777.14,57045764.76,38963247.61,4993394.273,73135210.22,44289082.56,59912340.24,48051174.45,64234508.58,28423969.54,46288980.07,45497435.72,59529452.67,38954838.39,66425133.1,52925919.09,34592388.01,35678157.76,54887909.25,32583094.07,38920725.07,46141295.8,74164935.37,49257973.5,30781703.39,17775796.15,71786584.27,38020978.92,34208531.11,55852609.89,54684071.44,26063016.04,45253761.98,22100180.05,56664366.59,50043146.58,39488931.35,46468227.88,60521334.2,43093499.82,41167547.8,6171.699792,5274.584766,5352.926881,45440718.79905,False,,,,
4,0.532,659.06866,-,66917575.09,,,47,Dimer,28520.3541,6130.63465,32149387.42,18601748.19,40088539.25,59990752.57,35246312.25,34309822.94,21872550.25,28051450.47,1439747.797,21321190.08,27612948.13,52536019.35,39884710.54,41975226.69,40426220.7,52971047.12,25646695.03,43436600.77,49753519.18,41939138.65,26288192.79,42405558.14,29189669.44,30785269.17,4134069.917,59859518.43,23384594.87,62099089.92,29470965.87,53628582.36,20603841.07,44783246.4,33811704.81,40257414.02,25421481.01,54311993.85,31724609.27,31205344.74,11499585.54,35420710.39,39944291.67,29111455.24,49342528.35,37426518.92,29330637.65,24202264.9,13540768.81,41828297.61,40508320.27,32656307.03,26238246.93,47497144.18,36510265.0,54980150.41,15861053.68,66917575.09,28539938.79,42589365.51,35933912.76,54120679.1,45351559.26,42051622.93,9011.421356,6850.520434,6319.495392,36749487.95911667,False,,,,
5,0.532,971.14502,+,12652196.97,,,16,Adduct of existing peak,4398.50536,4566.701663,9200948.946,4346295.556,10209683.09,8766926.649,8048807.228,8117746.838,5236215.072,2513821.075,193833.0011,2170184.311,7922813.151,4888015.291,5489663.137,6639127.202,9287312.1,7714718.242,2270629.018,11255749.17,6631522.314,7602476.724,8498543.5,6799271.42,7013922.299,7128203.771,1546564.997,12652196.97,7073902.353,7415174.415,4787761.496,10447495.02,5534776.177,5966104.818,8703740.856,9786427.518,4958946.434,9246768.549,7456670.903,4680519.173,2470600.0,9611831.459,5692614.934,5902905.202,6335642.964,10058286.98,6738315.882,4836621.502,3641888.821,9842016.27,7927919.593,5843622.367,8544865.982,8707308.078,6660566.388,8275560.971,4128104.151,8815462.355,6849380.01,5813269.572,7530752.505,8479968.677,10835246.92,7197139.067,5316.381972,4667.733663,4709.306233,7013778.721366667,False,,,,
6,0.533,660.07056,-,16706510.75,,,2,Dimer,18544.47364,3986.254597,8626049.648,6864835.356,6373088.976,16706510.75,12768753.64,11050165.96,6418664.658,7518588.681,173601.4498,4276957.186,7591384.083,12207688.71,11098907.7,11305875.54,12359176.34,7700518.074,8554331.134,13302396.65,12841577.91,10774161.58,6891450.765,10783130.03,6981775.465,7053603.279,489606.8165,14810735.18,5590766.532,15537370.19,9616951.619,12407828.11,5910746.234,12876359.37,7852919.848,13566720.72,8173504.503,14044594.49,11314638.97,12727382.02,4717707.542,7240645.109,10110019.78,10216610.09,13431729.51,9721035.892,7322957.758,7092027.518,4335982.7,12697845.84,9618258.199,11712042.96,7581713.875,11337227.34,8773775.732,9420733.485,8780611.324,15858909.18,6201431.302,11912258.42,8181078.59,13850851.2,11171624.33,9717856.32,5313.027548,4312.45238,4109.055423,9806387.777175004,False,,,,
7,0.533,355.0112,+,4341629.224,,,2,Adduct of existing peak,7771.929755,8069.123857,2172333.086,4341629.224,2568496.775,1926398.529,1624131.008,818817.7584,2019027.508,1004935.169,505512.5896,958064.5205,1573332.45,1127473.503,2487465.21,1566239.54,2567005.524,1704995.356,924050.8369,2137182.704,2488752.667,1052277.139,1206123.553,1965599.176,3424306.581,2352052.745,1625495.339,1159408.123,1444166.898,2129276.547,612705.8451,1812885.95,1492978.999,1209467.497,2545921.386,2629589.111,2463794.151,2751410.448,2865726.288,3203347.759,1122541.993,1926605.635,2347939.514,1910338.152,2262959.629,1657721.819,3151035.978,3182951.161,669679.6433,1913457.664,2552592.727,1303233.717,1727214.268,2321755.131,2364093.927,2347561.154,1634538.832,2355874.96,1439651.119,1438833.074,2868617.104,2527505.804,2519570.821,2114587.962,9650.422453,8686.209425,8370.142343,2000739.9040366667,False,,,,
8,0.535,331.0448,+,133289614.7,,,47,Adduct of existing peak,5557.230318,5769.735594,64193804.41,82092895.98,102306210.0,124427254.9,86175301.97,133289614.7,52559781.65,66117342.63,3885110.633,38472545.1,66202627.52,72702880.1,85413527.89,82738568.25,67925805.09,88384078.83,26018026.17,113678384.7,102744155.4,87140091.32,65359507.75,84455983.81,103603563.7,89937567.62,12571527.05,125435410.2,59535283.21,99938408.74,79407115.9,103488065.0,63528229.41,95674356.75,94911444.44,106777142.7,58474107.89,85103662.21,102160735.1,70887793.14,49386459.88,91341427.22,79105619.56,81956679.19,95009171.3,106490937.8,101758095.9,16407846.96,37014429.46,129069629.3,106094981.3,82752705.78,94739244.46,132390114.4,76876302.85,105055994.3,60069258.61,110597387.3,83989477.05,55067368.76,80785994.71,108679392.1,96873264.02,80076660.19,6900.425239,5897.383067,5984.975452,83986976.93516669,False,,,,
9,0.535,975.14276,+,9245987.915,,,4,Adduct of existing peak,4512.215141,4684.75964,6938273.132,4792313.649,8260286.725,7959683.402,7804184.914,5934775.343,3422542.895,1410138.42,329731.7123,1678339.179,7251868.137,3439336.847,4485665.583,6445158.36,6445123.71,6032489.547,1281875.282,8962480.785,6971550.671,4780020.198,6310662.535,6131162.605,8319992.841,6019274.07,1801508.762,9245987.915,5891222.905,7745034.983,4108430.373,8733746.168,4024708.329,4080129.063,6021670.419,8018383.187,6143956.29,7067061.981,7156390.677,4187423.474,5339628.29,8135990.296,6028212.064,5064166.058,8110536.768,7841258.949,7037369.416,4411520.63,2936858.94,8742582.024,5817739.722,5140262.408,6421606.023,6877892.309,4500571.729,6549318.788,2672520.739,7364011.849,6658707.759,5640533.781,6980757.808,5713726.699,7399548.339,5412648.985,5453.82062,4788.403511,4831.050812,5914149.259866668,False,,,,
