,variable,value,dummy
0,FBG,0.37648560197922465,dummy
1,FBG,0.19436845009062154,dummy
2,FBG,0.28696427199467733,dummy
3,FBG,0.3668969965870648,dummy
4,FBG,0.16884700257562027,dummy
5,FBG,0.10446900052379011,dummy
6,FBG,0.16492979937556815,dummy
7,FBG,0.31835188648516155,dummy
8,FBG,0.21827984304851636,dummy
9,FBG,0.12064160282372431,dummy
10,FBG,0.19566569677182802,dummy
11,FBG,0.1449857531911841,dummy
12,FBG,0.32628510884673956,dummy
13,FBG,0.2682384257864182,dummy
14,FBG,0.15003972067361013,dummy
15,FBG,0.2699490026126677,dummy
16,FBG,0.13834972746025537,dummy
17,FBG,0.1945759968901221,dummy
18,FBG,0.3615579791414128,dummy
19,FBG,0.31261113632035814,dummy
20,FBG,0.31824602028942245,dummy
21,FBG,0.17615919585559792,dummy
22,FBG,0.38152876605386904,dummy
23,FBG,0.18584789772395868,dummy
24,FBG,0.14325203400614003,dummy
25,FBG,0.17477465574168796,dummy
26,FBG,0.3025516513754882,dummy
27,FBG,0.24873453739331483,dummy
28,FBG,0.22797725049953257,dummy
29,FBG,0.2540906247778457,dummy
30,FBG,0.13977099105421006,dummy
31,FBG,0.22534137684191402,dummy
32,FBG,0.1753874760552446,dummy
33,FBG,0.20480760432221867,dummy
34,FBG,0.3533898710107901,dummy
35,FBG,0.17849480875779877,dummy
36,FBG,0.2016405701367644,dummy
37,FBG,0.5592662298532364,dummy
38,FBG,0.10117712308167665,dummy
39,FBG,0.2254131515321339,dummy
40,FBG,0.19525122973156275,dummy
41,FBG,0.3732354642018081,dummy
42,FBG,0.14379015088084768,dummy
43,FBG,0.45460127403181305,dummy
44,FBG,0.3931549147772875,dummy
45,FBG,0.328463961069218,dummy
46,FBG,0.18268803851174767,dummy
47,FBG,0.1405677265068392,dummy
48,FBG,0.11251799737326984,dummy
49,FBG,0.1055759988810932,dummy
50,FBG,0.18706243857097016,dummy
51,FBG,0.6611010487933836,dummy
52,FBG,0.18021430381250605,dummy
53,FBG,0.2418056998915338,dummy
54,FBG,0.14442965903152066,dummy
55,FBG,0.19050721609849863,dummy
56,FBG,0.2766422160779374,dummy
57,FBG,0.09634292468081955,dummy
58,FBG,0.28236208104438637,dummy
59,FBG,0.3086874014795526,dummy
60,FBG,0.25406708211089835,dummy
61,FBG,0.26151567508530055,dummy
62,FBG,0.20279167154289438,dummy
63,FBG,0.36277439064404077,dummy
64,FBG,0.11830609530838644,dummy
65,FBG,0.17428438208874034,dummy
66,FBG,0.32470458009606645,dummy
67,FBG,0.1874844028152424,dummy
68,FBG,0.3021277661159834,dummy
69,FBG,0.15157834041728932,dummy
70,FBG,0.26905400389733575,dummy
71,FBG,0.21740240713396042,dummy
72,FBG,0.14077326679411803,dummy
73,FBG,0.28559463453832407,dummy
74,FBG,0.1471905155137947,dummy
75,FBG,0.28646840014714553,dummy
76,FBG,0.3320945423321283,dummy
77,FBG,0.11299495888174056,dummy
78,FBG,0.3223828760502612,dummy
79,FBG,0.38325191422292965,dummy
80,FBG,0.1840876507667061,dummy
81,FBG,0.1929022818653523,dummy
82,FBG,0.28090423561139455,dummy
83,FBG,0.11353432970559695,dummy
84,FBG,0.3442738167381722,dummy
85,FBG,0.3268017566281189,dummy
86,FBG,0.31215753387961553,dummy
87,FBG,0.1714714627182654,dummy
88,FBG,0.18706243857097016,dummy
89,FBG,0.2235546982198472,dummy
90,FBG,0.5183861310883455,dummy
91,FBG,0.14805710345739428,dummy
92,FBG,0.14183031199333115,dummy
93,FBG,0.13042001860346608,dummy
94,FBG,0.21002682802185058,dummy
95,FBG,0.21692212002109956,dummy
96,FBG,0.384900585154496,dummy
97,FBG,0.23969950976036705,dummy
98,FBG,0.08634452381781883,dummy
99,FBG,0.22619814709239616,dummy
100,FBG,0.3664030444844919,dummy
101,FBG,0.25291689021244146,dummy
102,FBG,0.15583778647621205,dummy
103,FBG,0.10862354239356753,dummy
104,FBG,0.15062150434922703,dummy
105,FBG,0.13573287429733905,dummy
106,FBG,0.2915129750632128,dummy
107,FBG,0.2041570534383744,dummy
108,FBG,0.2412924978327596,dummy
109,FBG,0.29103617641776025,dummy
110,FBG,0.23618092260445964,dummy
111,FBG,0.13925006825315425,dummy
112,FBG,0.34883187563799933,dummy
113,FBG,0.14244255806274894,dummy
114,FBG,0.17823863370509865,dummy
115,FBG,0.2794787294199214,dummy
116,FBG,0.23608054030905956,dummy
117,FBG,0.30771300359663406,dummy
118,FBG,0.19990396919729803,dummy
119,FBG,0.2928827750681533,dummy
120,FBG,0.18383979941659145,dummy
121,FBG,0.3733812185221506,dummy
122,FBG,0.2916654653680966,dummy
123,FBG,0.1595859036107475,dummy
124,FBG,0.21871672856911814,dummy
125,FBG,0.27671533357951306,dummy
126,FBG,0.2095054773422517,dummy
127,FBG,0.20986305274555328,dummy
128,FBG,0.20180259800810454,dummy
129,FBG,0.2667207774191924,dummy
130,FBG,0.20229189305170006,dummy
131,FBG,0.3336149187481083,dummy
132,FBG,0.1996246204048521,dummy
133,FBG,0.47280678614453947,dummy
134,FBG,0.1419602573474866,dummy
135,FBG,0.2814432791914482,dummy
136,FBG,0.10175245416690565,dummy
137,FBG,0.20157487651952943,dummy
138,FBG,0.2048869427692034,dummy
139,FBG,0.27218399822970524,dummy
140,FBG,0.3810774537144474,dummy
141,FBG,0.4768053896120544,dummy
142,FBG,0.200829297840775,dummy
143,FBG,0.17991963456396035,dummy
144,FBG,0.16279465977774019,dummy
145,FBG,0.13019689014624558,dummy
146,FBG,0.23698746346941327,dummy
147,FBG,0.31261113632035814,dummy
148,FBG,0.2787133713236584,dummy
149,FBG,0.14180180602480663,dummy
150,FBG,0.31396282705338713,dummy
151,FBG,0.22315015831829502,dummy
152,FBG,0.18294439709578833,dummy
153,FBG,0.14543584154646394,dummy
154,FBG,0.4006205052621665,dummy
155,FBG,0.214213420418873,dummy
156,FBG,0.3319155653823511,dummy
157,FBG,0.381487313427783,dummy
158,FBG,0.1225938712543091,dummy
159,FBG,0.2317609650697335,dummy
