,variable,value,dummy
0,FBG,0.32950384653816617,dummy
1,FBG,0.11317784302469024,dummy
2,FBG,0.12424624657714341,dummy
3,FBG,0.30741671626737316,dummy
4,FBG,0.11905571561297862,dummy
5,FBG,0.049578608961934,dummy
6,FBG,0.3176964113190408,dummy
7,FBG,0.17433643096600984,dummy
8,FBG,0.10038792190784677,dummy
9,FBG,0.11696756247119892,dummy
10,FBG,0.3298683448097685,dummy
11,FBG,0.17245278104273168,dummy
12,FBG,0.2149977025879525,dummy
13,FBG,0.11035161777294955,dummy
14,FBG,0.1789254222504012,dummy
15,FBG,0.09313381035402367,dummy
16,FBG,0.14821781070242876,dummy
17,FBG,0.07320533712252315,dummy
18,FBG,0.17647628022441827,dummy
19,FBG,0.24317496081169687,dummy
20,FBG,0.2001399850332695,dummy
21,FBG,0.08531622581073932,dummy
22,FBG,0.2849773745795207,dummy
23,FBG,0.1364873866237972,dummy
24,FBG,0.0949519909839388,dummy
25,FBG,0.04611058722524477,dummy
26,FBG,0.14401385500653544,dummy
27,FBG,0.0727045653530854,dummy
28,FBG,0.4165418384726414,dummy
29,FBG,0.2220915443326977,dummy
30,FBG,0.13543603892608622,dummy
31,FBG,0.1725622024401914,dummy
32,FBG,0.14997499268698408,dummy
33,FBG,0.40041891862085416,dummy
34,FBG,0.23912451525677558,dummy
35,FBG,0.14547424210773674,dummy
36,FBG,0.06374180707348882,dummy
37,FBG,0.5437381563597653,dummy
38,FBG,0.11685229255148007,dummy
39,FBG,0.09336530684166472,dummy
40,FBG,0.12824039953659647,dummy
41,FBG,0.20966398598385036,dummy
42,FBG,0.022432705267753473,dummy
43,FBG,0.11963445573340548,dummy
44,FBG,0.34221799850821316,dummy
45,FBG,0.3551277414462782,dummy
46,FBG,0.16234543598508286,dummy
47,FBG,0.11904439068323847,dummy
48,FBG,0.16482711841149497,dummy
49,FBG,0.0519313008765546,dummy
50,FBG,0.08133005008390247,dummy
51,FBG,0.6572272235186701,dummy
52,FBG,0.18800335497659934,dummy
53,FBG,0.32496683401666904,dummy
54,FBG,0.20134369339933453,dummy
55,FBG,0.1075288753531823,dummy
56,FBG,0.3103533710933025,dummy
57,FBG,0.03386141363733847,dummy
58,FBG,0.05272885794782652,dummy
59,FBG,0.1898151687831523,dummy
60,FBG,0.417910712486415,dummy
61,FBG,0.07077490599042564,dummy
62,FBG,0.11815866013445674,dummy
63,FBG,0.1323122536037211,dummy
64,FBG,0.10318741037105957,dummy
65,FBG,0.1190485937591201,dummy
66,FBG,0.23656831310790372,dummy
67,FBG,0.013258060690312268,dummy
68,FBG,0.17838570488364572,dummy
69,FBG,0.14888864138161334,dummy
70,FBG,0.056910644057147707,dummy
71,FBG,0.1853964755597168,dummy
72,FBG,0.07265564033992308,dummy
73,FBG,0.15153839212077835,dummy
74,FBG,0.0822153346438837,dummy
75,FBG,0.16517200706829052,dummy
76,FBG,0.10192502330986729,dummy
77,FBG,0.38626768292685526,dummy
78,FBG,0.12048211802854136,dummy
79,FBG,0.13186503536042718,dummy
80,FBG,0.32681755767029114,dummy
81,FBG,0.1242483286509848,dummy
82,FBG,0.18667958922531205,dummy
83,FBG,0.07311414493087272,dummy
84,FBG,0.10438926877485592,dummy
85,FBG,0.2801487793060284,dummy
86,FBG,0.18707145468696765,dummy
87,FBG,0.143984351817145,dummy
88,FBG,0.08133005008390247,dummy
89,FBG,0.09321727328117142,dummy
90,FBG,0.4407132412221637,dummy
91,FBG,0.12274516252354885,dummy
92,FBG,0.1399740518201619,dummy
93,FBG,0.1578068709885371,dummy
94,FBG,0.16846188679352184,dummy
