feature_name,no_gluc_tol_pval,no_feeding_pval,no_cross_pval,no_gluc_tol_fdr_pval,no_feeding_fdr_pval,no_cross_fdr_pval,full_model_converged,no_gluc_tol_converged,no_feeding_converged,no_cross_converged,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params,full_model_aic,no_gluc_tol_aic,no_feeding_aic,no_cross_aic,delta_aic_full_no_gluc,delta_aic_full_no_feeding,delta_aic_full_no_cross
m_0,0.95068695268548,0.714243447491292,0.7106408046950202,0.969184988911082,0.7556733979666909,0.8246419795724262,True,True,True,True,-9.382048424383626,-9.734645024738242,-10.06352028117685,-9.723636598552403,"{'Intercept': 30.51169543285839, 'glucose_tolerance[T.impaired]': 0.06742974441239225, 'glucose_tolerance[T.normal]': 0.0497822244742806, 'bg_type[T.RBG]': 0.14558609788254118, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.1394336776696769, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.07562123579080869, 'Group Var': 3.983910621371216e-10}","{'Intercept': 30.555366749959415, 'bg_type[T.RBG]': 0.06074501188956375, 'Group Var': 3.218007378687623e-10}","{'Intercept': 30.58448848179965, 'glucose_tolerance[T.impaired]': -0.0022870944224336657, 'glucose_tolerance[T.normal]': 0.01197160657888592, 'Group Var': 2.1180789380313308e-10}","{'Intercept': 30.55411597585486, 'glucose_tolerance[T.impaired]': -0.002287094422422987, 'glucose_tolerance[T.normal]': 0.011971606578910672, 'bg_type[T.RBG]': 0.0607450118895637, 'Group Var': 2.935532534283311e-10}",34.76409684876725,27.469290049476484,30.1270405623537,31.447273197104806,7.294806799290768,4.637056286413554,3.316823651662446
m_1,2.188262791692154e-07,1.0351430507304754e-13,1.9469456046777884e-08,0.00018917531834178675,8.522677784347581e-13,3.3662689504878964e-05,True,True,True,True,3.0429208905894,-15.251903680121458,-28.721486142561204,-14.711498065381775,"{'Intercept': 29.943798829775982, 'glucose_tolerance[T.impaired]': 0.25879411339016467, 'glucose_tolerance[T.normal]': 0.4224317856535181, 'bg_type[T.RBG]': 0.10970337289733187, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.7685206600915538, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.9500242750608274, 'Group Var': 0.4659428788327295}","{'Intercept': 30.157682243601766, 'bg_type[T.RBG]': -0.46456181216060866, 'Group Var': 0.17979655370133707}","{'Intercept': 29.99865051622462, 'glucose_tolerance[T.impaired]': -0.12546621665558064, 'glucose_tolerance[T.normal]': -0.052580351876873606, 'Group Var': 0.010895587821035436}","{'Intercept': 30.230931422304927, 'glucose_tolerance[T.impaired]': -0.12546621665558186, 'glucose_tolerance[T.normal]': -0.052580351876872225, 'bg_type[T.RBG]': -0.46456181216061226, 'Group Var': 0.1442958196045305}",9.9141582188212,38.50380736024292,67.44297228512241,41.42299613076355,-28.589649141421717,-57.52881406630121,-31.50883791194235
m_2,0.7273419216220601,0.14519797338754736,0.7519355233556331,0.8013006622688548,0.20003768604547362,0.8525223081192719,True,True,True,True,2.8199713532423942,1.7970897078625256,0.12361256864141978,2.5348666543156213,"{'Intercept': 29.705929252387584, 'glucose_tolerance[T.impaired]': -0.06033856929172516, 'glucose_tolerance[T.normal]': 0.06036774885279919, 'bg_type[T.RBG]': 0.17990874407234358, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.0421815189495282, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.12802748563685734, 'Group Var': 0.026978289190392347}","{'Intercept': 29.687833517512303, 'bg_type[T.RBG]': 0.13321248747017006, 'Group Var': 0.055231979430244785}","{'Intercept': 29.79588362442378, 'glucose_tolerance[T.impaired]': -0.0814293287665084, 'glucose_tolerance[T.normal]': -0.003645993965654454, 'Group Var': 0.00718099970138586}","{'Intercept': 29.72927738068867, 'glucose_tolerance[T.impaired]': -0.08142932876650422, 'glucose_tolerance[T.normal]': -0.0036459939656459995, 'bg_type[T.RBG]': 0.13321248747020795, 'Group Var': 0.024783706708581876}",10.360057293515212,4.405820584274949,9.75277486271716,6.930266691368757,5.954236709240263,0.6072824307980511,3.429790602146454
m_3,0.00020002851581313536,6.335454209988661e-19,2.8512013560767446e-05,0.0038364315102695098,1.3040476582226661e-17,0.0016432423815522304,True,True,True,True,-16.835169069907494,-27.83730425878811,-60.76135635998655,-27.30035410096734,"{'Intercept': 29.814051797542678, 'glucose_tolerance[T.impaired]': 0.3015830498327183, 'glucose_tolerance[T.normal]': 0.46146771394976954, 'bg_type[T.RBG]': -0.46938967500502965, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.836271712071506, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -1.0239617076529854, 'Group Var': 0.003320125065832924}","{'Intercept': 30.057136865248985, 'bg_type[T.RBG]': -1.0923178725713796, 'Group Var': 4.007836341336047e-10}","{'Intercept': 29.579356960040112, 'glucose_tolerance[T.impaired]': -0.11655280620297594, 'glucose_tolerance[T.normal]': -0.0505131398766668, 'Group Var': 1.3437952131291995e-10}","{'Intercept': 30.125515896325844, 'glucose_tolerance[T.impaired]': -0.1165528062030196, 'glucose_tolerance[T.normal]': -0.050513139876712305, 'bg_type[T.RBG]': -1.0923178725713796, 'Group Var': 1.2277669366860047e-09}",49.67033813981499,63.67460851757622,131.5227127199731,66.60070820193468,-14.00427037776123,-81.85237458015811,-16.930370062119692
m_4,0.1582353177517288,0.38776157241802023,0.3472134868615578,0.3055244008545093,0.4595200539484284,0.561251205839929,True,True,True,True,-153.0846359896404,-156.38761573821836,-154.5972181825876,-154.14245144194342,"{'Intercept': 23.27457608883739, 'glucose_tolerance[T.impaired]': 0.5965107106271285, 'glucose_tolerance[T.normal]': 4.005965302821131, 'bg_type[T.RBG]': 1.3028247282401688, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.10458767738256824, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -2.8719978525057237, 'Group Var': 2.735937746430995e-09}","{'Intercept': 24.374024504715177, 'bg_type[T.RBG]': 0.7807189964303158, 'Group Var': 0.04933230381774867}","{'Intercept': 23.925988452957448, 'glucose_tolerance[T.impaired]': 0.6488045493184427, 'glucose_tolerance[T.normal]': 2.5699663765683, 'Group Var': 5.66456197356345e-10}","{'Intercept': 23.535628954742325, 'glucose_tolerance[T.impaired]': 0.6488045493184031, 'glucose_tolerance[T.normal]': 2.569966376568258, 'bg_type[T.RBG]': 0.780718996430316, 'Group Var': 1.9630606871234815e-09}",322.1692719792808,320.7752314764367,319.1944363651752,320.28490288388684,1.3940405028440637,2.9748356141055865,1.8843690953939358
m_5,0.1026946161015446,,0.08964815495499621,0.2252024193686595,,0.24539030638298293,True,True,False,True,-42.464356313708365,-46.32062157930194,-79.44490561424634,-44.8762189733866,"{'Intercept': 27.95765709191316, 'glucose_tolerance[T.impaired]': 0.3683966946979502, 'glucose_tolerance[T.normal]': 0.7137214320458553, 'bg_type[T.RBG]': 1.8299172307063647, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.32282592591264386, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.8202640436710955, 'Group Var': 2.5033800568497786e-10}","{'Intercept': 28.284599725671313, 'bg_type[T.RBG]': 1.5044514590158165, 'Group Var': 3.569068282514235e-10}","{'Intercept': 28.872615707266338, 'glucose_tolerance[T.impaired]': 0.20698373174163204, 'glucose_tolerance[T.normal]': 0.303589410210304, 'Group Var': 4.44597561820034e-05}","{'Intercept': 28.120389977758403, 'glucose_tolerance[T.impaired]': 0.206983731741648, 'glucose_tolerance[T.normal]': 0.3035894102103271, 'bg_type[T.RBG]': 1.5044514590158398, 'Group Var': 2.236206869644953e-10}",100.92871262741673,100.64124315860388,168.88981122849268,101.7524379467732,0.2874694688128443,-67.96109860107595,-0.8237253193564698
m_6,0.002696145902740701,2.053452211717998e-18,0.00031254426687949853,0.019027086799341515,3.712191082815707e-17,0.004658526184781491,True,True,True,True,18.51857438261517,10.39138456247926,-24.21824839052107,10.447809937809765,"{'Intercept': 29.743837088765922, 'glucose_tolerance[T.impaired]': 0.18403887740586078, 'glucose_tolerance[T.normal]': 0.2920352041626329, 'bg_type[T.RBG]': -0.319435366503254, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.3473731228724705, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.5331443712957693, 'Group Var': 0.03813810967735256}","{'Intercept': 29.894263568301398, 'bg_type[T.RBG]': -0.5997508021986656, 'Group Var': 1.3735737970921912e-10}","{'Intercept': 29.584119405514294, 'glucose_tolerance[T.impaired]': 0.010352315969618667, 'glucose_tolerance[T.normal]': 0.025463018514752342, 'Group Var': 1.514156912416581e-10}","{'Intercept': 29.883994806613654, 'glucose_tolerance[T.impaired]': 0.010352315969579855, 'glucose_tolerance[T.normal]': 0.025463018514717547, 'bg_type[T.RBG]': -0.5997508021986429, 'Group Var': 8.963149645516528e-09}",-21.03714876523034,-12.78276912495852,58.43649678104214,-8.89561987561953,-8.254379640271821,-79.47364554627248,-12.141528889610811
m_7,0.3005643180621754,0.38935433989598867,0.22311201321664859,0.4600294062310944,0.4610915436165509,0.42769795610694755,True,True,True,True,28.01475177722635,25.578185455540478,26.507369403632083,26.514670445013152,"{'Intercept': 29.04902235166484, 'glucose_tolerance[T.impaired]': -0.057697586592911826, 'glucose_tolerance[T.normal]': 0.10306291173517011, 'bg_type[T.RBG]': 0.0031632347779262274, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.04032930052253628, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.14090560672070443, 'Group Var': 2.7361491491132626e-10}","{'Intercept': 29.04078614071542, 'bg_type[T.RBG]': -0.004853236304954104, 'Group Var': 3.9766308283863583e-10}","{'Intercept': 29.05060396905376, 'glucose_tolerance[T.impaired]': -0.0375329363316058, 'glucose_tolerance[T.normal]': 0.03261010837484374, 'Group Var': 2.3760932393777236e-10}","{'Intercept': 29.053030587206262, 'glucose_tolerance[T.impaired]': -0.03753293633162429, 'glucose_tolerance[T.normal]': 0.03261010837482716, 'bg_type[T.RBG]': -0.004853236304961682, 'Group Var': 2.3782321438583537e-10}",-40.0295035544527,-43.156370911080955,-43.014738807264166,-41.029340890026305,3.126867356628253,2.9852352528114636,0.9998373355736021
m_8,0.0774209624664443,0.00756682588118243,0.04738798485304037,0.18463564704066507,0.01381525020967732,0.15230935528977685,True,True,True,True,-7.5042500168012936,-11.713108437627966,-13.477766120310676,-10.553636583328,"{'Intercept': 28.733963469149337, 'glucose_tolerance[T.impaired]': -0.04322410567664242, 'glucose_tolerance[T.normal]': -0.0034158689285455693, 'bg_type[T.RBG]': 0.3581460637537045, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.17910759700014173, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.47932697487307663, 'Group Var': 0.27778457586767275}","{'Intercept': 28.711668242525327, 'bg_type[T.RBG]': 0.17272687027901457, 'Group Var': 0.329423769319713}","{'Intercept': 28.913036501026227, 'glucose_tolerance[T.impaired]': -0.1327779041767467, 'glucose_tolerance[T.normal]': -0.24307935636511774, 'Group Var': 0.18332755632858688}","{'Intercept': 28.82667306588668, 'glucose_tolerance[T.impaired]': -0.13277790417673074, 'glucose_tolerance[T.normal]': -0.24307935636509312, 'bg_type[T.RBG]': 0.17272687027902978, 'Group Var': 0.226749841275523}",31.008500033602587,31.426216875255932,36.95553224062135,33.107273166656,-0.4177168416533448,-5.947032207018765,-2.098773133053413
m_9,0.17542614940854578,9.893083495858254e-29,0.17391281899875177,0.32755055326930416,3.4210282728677844e-26,0.36780808735336606,True,True,True,True,-66.95167998600546,-70.11964502920081,-133.66319529624423,-68.70088113157273,"{'Intercept': 27.112587679505424, 'glucose_tolerance[T.impaired]': -0.6057670238790874, 'glucose_tolerance[T.normal]': -1.0214158238214561, 'bg_type[T.RBG]': -4.747899851070529, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': 0.7451352004845853, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': 0.7788657483372503, 'Group Var': 0.12850050739773441}","{'Intercept': 26.60542100280158, 'bg_type[T.RBG]': -4.2195591011607805, 'Group Var': 0.19885914189921408}","{'Intercept': 24.738637753970128, 'glucose_tolerance[T.impaired]': -0.2331994236367657, 'glucose_tolerance[T.normal]': -0.6319829496528008, 'Group Var': 1.5653247974341142e-05}","{'Intercept': 26.848417304550534, 'glucose_tolerance[T.impaired]': -0.23319942363678595, 'glucose_tolerance[T.normal]': -0.6319829496528184, 'bg_type[T.RBG]': -4.2195591011607805, 'Group Var': 0.10855406544348072}",149.90335997201092,148.23929005840162,277.32639059248845,149.40176226314546,1.6640699136092962,-127.42303062047753,0.5015977088654608
