"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"HEART FAILURE ",10,7,45.477,1.7241,2.5597e-27,3.7371e-25,3.7371e-25
"PYRUVATE CARBOXYLASE DEFICIENCY",10,5,50.439,1.7241,1.3479e-23,1.9544e-21,9.8396e-22
"DIABETES MELLITUS (MODY), NON-INSULIN-DEPENDENT",19,11,40.553,1.7241,1.4597e-22,2.1019e-20,7.1037e-21
"LONG-CHAIN-3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY (LCHAD)",10,4,49.547,1.7241,4.1335e-22,5.9109e-20,1.5087e-20
"GROWTH HORMONE DEFICIENCY ",4,2,54.52,1.7241,2.6617e-17,3.7796e-15,6.4768e-16
"PERSISTANT HYPERINSULINEMIC HYPOGLYCEMIA OF INFANCY, PHHI",3,2,54.52,1.7241,2.6617e-17,3.7796e-15,6.4768e-16
"HYPERPROLINEMIA, TYPE II",2,2,61.049,1.7241,3.5626e-15,4.9877e-13,7.4306e-14
"ANOXIA ",8,3,39.476,1.7241,9.01e-15,1.2524e-12,1.6443e-13
"EARLY MARKERS OF MYOCARDIAL INJURY",14,6,55.346,1.7241,1.147e-14,1.5829e-12,1.8607e-13
"HOMOCYSTINURIA, CYSTATHIONINE BETA-SYNTHASE DEFICIENCY",5,1,63.549,1.7241,4.2176e-14,5.7781e-12,5.9822e-13
"REFRACTORY LOCALIZATION-RELATED EPILEPSY ",10,6,53.348,1.7241,4.5072e-14,6.1297e-12,5.9822e-13
"METABOLITES AFFECTED BY GENDER",9,5,39.082,1.7241,9.636e-14,1.3009e-11,1.132e-12
"HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA [HHH-SYNDROME]",3,2,53.251,1.7241,1.0079e-13,1.3506e-11,1.132e-12
"ISOVALERIC ACIDEMIA",9,3,44.441,1.7241,1.0896e-13,1.4492e-11,1.1363e-12
"3-METHYL-CROTONYL-GLYCINURIA",4,2,46.641,1.7241,2.135e-13,2.8182e-11,1.6406e-12
"CARNITINE DEFICIENCY, MYOPATHIC",3,2,46.641,1.7241,2.135e-13,2.8182e-11,1.6406e-12
"CARNITINE PALMITOYL TRANSFERASE DEFICIENCY (I)",5,2,46.641,1.7241,2.135e-13,2.8182e-11,1.6406e-12
"CARNITINE TRANSPORTER DEFECT. PRIMARY SYSTEMIC CARNITINE DEFICIENCY",4,2,46.641,1.7241,2.135e-13,2.8182e-11,1.6406e-12
"VERY-LONG-CHAIN ACYL COA DEHYDROGENASE DEFICIENCY (VLCAD)",21,2,46.641,1.7241,2.135e-13,2.8182e-11,1.6406e-12
"PROPIONIC ACIDEMIA",8,3,43.772,1.7241,2.7017e-13,3.4312e-11,1.9618e-12
"MAPLE SYRUP URINE DISEASE ",9,5,52.144,1.7241,2.8218e-13,3.5555e-11,1.9618e-12
"N-ACETYLGLUTAMATE SYNTHETASE DEFICIENCY. NAGS DEFICIENCY",5,3,51.138,1.7241,3.0354e-13,3.7943e-11,2.0144e-12
"PYRUVATE DEHYDROGENASE DEFICIENCY (E3)",7,4,49.712,1.7241,1.2139e-12,1.5052e-10,7.4633e-12
"CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD)",15,9,30.642,1.7241,1.2268e-12,1.509e-10,7.4633e-12
"DIABETIC KETOACIDOSIS ",2,1,58.511,1.7241,1.7562e-12,2.1426e-10,9.213e-12
"OBESITY",2,1,58.511,1.7241,1.7562e-12,2.1426e-10,9.213e-12
"SUCCINYL COA: 3-KETOACID COA TRANSFERASE DEFICIENCY",3,1,58.511,1.7241,1.7562e-12,2.1426e-10,9.213e-12
"GLUTATHIONE SYNTHETASE DEFICIENCY",8,1,58.479,1.7241,1.7949e-12,2.1426e-10,9.213e-12
"SCHIZOPHRENIA ",26,11,30.4,1.7241,1.83e-12,2.1594e-10,9.213e-12
