Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_01,Y:A1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_02,Y:A2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_03,Y:A3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_04,Y:A4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A4,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_05,Y:A5,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A5,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_06,Y:A6,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A6,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_07,Y:A7,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A7,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_08,Y:A8,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A8,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_09,Y:A9,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A9,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_10,Y:B1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_11,Y:B2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_12,Y:B3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_13,Y:B4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B4,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_14,Y:B5,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B5,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_15,Y:B6,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B6,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_16,Y:B7,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B7,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_17,Y:B8,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B8,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_18,Y:B9,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:B9,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_19,Y:C1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_20,Y:C2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_21,Y:C3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_22,Y:C4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C4,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_23,Y:C5,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C5,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_24,Y:C6,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C6,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_25,Y:C7,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C7,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_26,Y:C8,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C8,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_27,Y:C9,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:C9,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_28,Y:D1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_29,Y:D2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_30,Y:D3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_31,Y:D4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D4,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_32,Y:D5,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D5,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_33,Y:D6,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D6,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_34,Y:D7,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D7,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_35,Y:D8,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D8,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_36,Y:D9,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:D9,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_37,Y:E1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:E1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_38,Y:E2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:E2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_39,Y:E3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:E3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_20210728_AJ_Toh_RatBloodGlucose_40,Y:E4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:E4,10,,0,0,0,1,,,,,,,
