Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20210729_AJ_Toh_RatBloodGlucose_Water_R1,Y:A1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_Water_R2,Y:A1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_Water_R3,Y:A1,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A1,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_SolventBlank,Y:A2,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A2,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank,Y:A3,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A3,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1,Y:A4,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A4,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG,Y:A5,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A5,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG,Y:A6,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A6,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG,Y:A7,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A7,10,,0,0,0,1,,,,,,,
Unknown,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG,Y:A8,D:\data\AJ\2021\20210729_AJ_Huishi_RatPlasma,,,,Y:A8,10,,0,0,0,1,,,,,,,
