Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20210831_KAO_HILIC_ACN,R:A9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_ACN_20210831232610,R:A9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_extraction_blank_1,Y:A1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_extraction_blank_1_20210901004002,Y:A1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_human_plasma_1,Y:A2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210401_9wk_RBG,Y:A3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210329_9wk_FBG,Y:A4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092M_20210413_10wk_RBG,Y:A5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210327_8wk_FBG,Y:A6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210405_10wk_FBG,Y:A7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210413_10wk_RBG,Y:A8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A8,2,,0,0,0,1,,,,,,,
