,0,1
0,G1,BJA-Nilerat-20220915_extract_blank
1,G2,BJA-Nilerat-20220915_resuspension_blank
2,H7,BJA-Nilerat-20220915_1000s_QC100uL
3,A0,BJA-Nilerat-20220915_1094M_8wk_0330
4,A1,BJA-Nilerat-20220915_1061M_8wk_0325
5,A2,BJA-Nilerat-20220915_1061M_10wk_0408
6,A3,BJA-Nilerat-20220915_1075M_9wk_0401
7,A4,BJA-Nilerat-20220915_1075M_10wk_0408
8,H7,BJA-Nilerat-20220915_1000s_QC100uL
9,A5,BJA-Nilerat-20220915_1081M_9wk_0401
10,A6,BJA-Nilerat-20220915_1095M_10wk_0413
11,A7,BJA-Nilerat-20220915_1096M_10wk_0413
12,A8,BJA-Nilerat-20220915_1075M_8wk_0325
13,A9,BJA-Nilerat-20220915_1094M_9wk_0406
14,H7,BJA-Nilerat-20220915_1000s_QC100uL
15,B0,BJA-Nilerat-20220915_1061M_9wk_0401
16,B1,BJA-Nilerat-20220915_1081M_10wk_0408
17,B2,BJA-Nilerat-20220915_1094M_10wk_0413
18,B3,BJA-Nilerat-20220915_1095M_9wk_0406
19,B4,BJA-Nilerat-20220915_1096M_9wk_0406
20,H7,BJA-Nilerat-20220915_1000s_QC100uL
21,B5,BJA-Nilerat-20220915_1095M_8wk_0330
22,B6,BJA-Nilerat-20220915_1096M_8wk_0330
23,B7,BJA-Nilerat-20220915_1081M_8wk_0325
24,G1,BJA-Nilerat-20220915_extract_blank
25,H1,BJA-Nilerat-20220915_1000s_QC25uL
26,H2,BJA-Nilerat-20220915_1000s_QC50uL
27,H3,BJA-Nilerat-20220915_1000s_QC100uL
28,H4,BJA-Nilerat-20220915_1000s_QC150uL
29,H5,BJA-Nilerat-20220915_1000s_QC200uL
30,G1,BJA-Nilerat-20220915_extract_blank
31,G2,BJA-Nilerat-20220915_resuspension_blank
