animal,Date of birth,litter,lcms_sampled,glucose_tolerance,OGTT(0min),OGTT(10min),OGTT(20min),OGTT(30min),OGTT(60min),OGTT(120min),OGTT (AUC),Insulin(0min),Insulin(10min),Insulin(20min),Insulin(30min),Insulin(60min),Insulin(120min),Insulin (AUC),RBGweek4,RBGweek8,RBGweek9,RBGweek10,RBGweek11,RBGweek12,FBGweek8,FBGweek9,FBGweek10,FBGweek11,FBGweek12,InsulinFBGweek8,InsulinFBGweek9,InsulinFBGweek10,InsulinFBGweek11,InsulinFBGweek12,InsulinRBGweek8,InsulinRBGweek9,InsulinRBGweek10,InsulinRBGweek11,InsulinRBGweek12,WeightRBGweek4,WeightRBGweek8,WeightRBGweek9,WeightRBGweek10,WeightRBGweek11,WeightRBGweek12,WeightFBGweek8,WeightFBGweek9,WeightFBGweek10,WeightFBGweek11,WeightFBGweek12,Weightprefastweek8,Weightprefastweek9,Weightprefastweek10,Weightprefastweek11,Weightprefastweek12,HbA1c,Interscapular brown fat (g),BF (%BW),Inguinal white fat one side (g),WF (%BW),BF/WF,Plasma,Fatty liver,Notes
1060,2021-01-23,0,True,impaired,58.5,178.0,314.5,551.0,589.0,200.0,48742.5,2.358,2.154,2.537,2.207,3.396,5.576,422.93999999999994,71.0000001,225.0,83.0,206.0,221.0,193.0,41.0,48.0,52.5,50.0,58.5,2.874,1.668,0.9635,1.414,2.358,11.42,12.25,13.18,11.28,32.33,53.7,92.6,98.1,100.9,104.4,104.6,85.4,90.9,94.9,99.5,105.1,90.2,96.0,101.3,104.5,105.1,,2.0448,1.9455756422454804,0.7185,0.6836346336822074,2.845929018789144,murky,No,
1061,2021-01-23,0,False,,48.0,196.5,344.5,449.5,518.0,284.5,46485.0,3.087,2.407,1.783,1.425,2.155,2.648,262.25,73.0,265.0,289.5,326.0,309.0,370.5,43.0,44.0,40.0,34.0,48.0,1.92,3.101,1.89,1.681,3.087,16.9,13.42,9.667,6.699,48.37,52.1,88.9,93.4,98.2,98.8,100.4,82.5,86.7,92.5,94.3,101.7,85.9,90.7,97.0,98.1,101.7,,1.7808,1.7510324483775812,0.6059,0.595771878072763,2.939098861198218,murky,Slight,
1062,2021-01-23,0,True,impaired,56.5,219.0,334.0,462.0,511.0,189.0,43717.5,3.344,2.591,3.498,2.878,3.076,5.281,432.02,78.0,256.5,250.5,139.5,248.5,90.33333333333333,52.333333333333336,48.0,40.0,38.5,56.5,4.154,2.879,1.977,2.734,3.344,10.37,12.76,11.56,9.45,38.47,51.3,93.5,99.3,103.0,107.0,106.9,86.7,91.9,96.8,102.1,109.1,91.2,96.1,101.3,106.7,109.1,,2.5185,2.3084326306141154,0.7439,0.6818515123739688,3.385535690280952,murky,No,
1063,2021-01-23,0,False,,,,,,,,,4.366,,,,,,,73.0,63.0,46.5,78.0,63.0,,41.0,50.0,64.5,63.5,42.0,2.304,0.9952,1.381,2.53,4.366,43.94,10.64,39.24,51.56,,49.6,91.9,98.3,102.8,105.0,,85.2,92.5,97.1,101.0,109.2,89.0,96.7,102.3,105.7,109.2,,2.5485,2.333791208791209,0.8614,0.7888278388278389,2.958555839331321,,No,OGTT failed Didn't collect tissue or post-OGTT blood
1074,2021-01-23,0,True,impaired,38.5,160.0,308.0,368.0,445.5,99.0,35250.0,1.81,2.81,4.831,3.99,7.0,4.88,626.66,70.0,232.5,203.5,205.5,225.5,139.5,171.33333333333334,51.5,55.0,46.0,38.5,7.387,2.765,1.392,2.571,1.81,8.187,14.11,13.63,14.34,25.71,55.8,95.7,102.3,106.3,108.3,108.6,93.2,95.6,100.5,103.4,110.4,96.7,98.7,106.2,110.1,110.4,,2.506,2.269927536231884,0.7164,0.6489130434782608,3.498045784477945,murky,Slight,
1075,2021-01-23,0,False,,169.0,355.0,600.0,600.0,569.5,392.0,59782.5,1.846,1.388,1.617,1.71,0.9908,1.123,151.756,69.0,383.0,389.0,367.0,514.0,509.0,77.25,105.0,67.5,61.5,169.0,2.039,1.476,1.063,1.603,1.846,2.708,2.297,3.373,3.086,11.62,56.3,91.7,95.3,98.5,103.2,101.8,86.7,89.4,93.0,96.7,105.5,90.9,93.2,96.8,102.3,105.5,,1.3107,1.2423696682464453,0.591,0.5601895734597157,2.2177664974619287,White,Yes,
1076,2021-01-23,0,True,diabetic,138.0,352.5,513.5,585.0,600.0,406.5,60245.0,2.827,2.017,1.297,1.543,2.076,2.215,238.005,96.0,387.6666666666667,281.0,349.0,391.5,435.5,174.33333333333334,78.5,71.0,50.5,138.0,5.183,2.09,1.2,1.824,2.827,2.845,3.697,3.637,2.937,16.37,60.7,95.4,99.1,106.3,112.6,110.7,93.1,94.9,99.5,105.5,112.1,95.2,100.7,103.2,110.3,112.1,,1.4332,1.2785013380909902,0.696,0.6208742194469223,2.0591954022988506,White,Slight,
1080,2021-01-24,1,False,,,,,,,,,4.951,,,,,,,57.0,117.33333333333333,73.5,45.0,61.0,,50.25,56.5,41.5,52.0,52.0,2.132,1.875,1.29,1.934,4.951,10.52,12.96,4.553,16.79,,48.7,94.9,102.0,106.0,109.8,,87.3,93.7,100.9,104.7,112.1,91.4,101.0,107.4,109.9,112.1,,1.9369,1.7278322925958969,0.7754,0.6917038358608385,2.497936548877999,,No,OGTT failed Didn't collect tissue or post-OGTT blood
1081,2021-01-24,1,False,,171.0,345.0,547.0,600.0,563.0,428.5,59965.0,2.043,1.54,1.59,2.976,1.249,1.561,204.07,79.0,297.3333333333333,326.5,321.5,384.5,600.0,57.0,66.75,73.5,63.5,171.0,4.534,8.913,2.239,1.725,2.043,3.96,6.798,5.126,3.001,14.42,56.2,97.7,104.0,106.5,109.3,109.2,90.6,95.1,99.6,102.9,113.2,95.8,100.1,106.1,108.3,113.2,,1.3511,1.1935512367491166,0.6283,0.555035335689046,2.1504058570746456,White,No,
1082,2021-01-24,1,True,diabetic,62.0,258.0,600.0,600.0,571.5,328.5,56462.5,1.279,1.443,2.022,1.398,1.347,2.301,198.65,90.0,272.0,339.5,330.5,413.0,537.5,59.0,53.333333333333336,50.0,73.5,62.0,2.324,,1.119,1.389,1.279,4.588,2.971,3.465,2.145,13.01,54.1,95.9,102.0,105.8,106.5,105.5,89.6,93.8,98.4,99.9,108.8,94.5,99.7,103.9,107.4,108.8,,0.8904,0.8183823529411764,0.6515,0.5988051470588235,1.3666922486569455,White,Yes,
