feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_0,0.341121308814621,0.03670407521245283,0.8225623457923004,0.43285562110422515,0.05674837770090066,0.8872986703206138,-50.70355554118314,-51.77907266181937,-54.008423030058125,-50.72869969746824,"{'Intercept': 23.67567725361177, 'bg_type[T.RBG]': 0.269116643591915, 'ogtt': -0.00026334262196228404, 'ogtt:bg_type[T.RBG]': 7.002267120274821e-05}","{'Intercept': 23.24699628316563, 'bg_type[T.RBG]': 0.3831026987970003}","{'Intercept': 23.810235575407763, 'ogtt': -0.00022833128635934728}","{'Intercept': 23.6186842260093, 'bg_type[T.RBG]': 0.38310269879700076, 'ogtt': -0.00022833128635965346}"
l_1,0.5935566461294604,0.9025863437260219,0.6840487733392187,0.6669305971799467,0.9250840448752758,0.7965962451495824,-72.11303825326155,-72.63466087855393,-72.21552917489431,-72.1958401541148,"{'Intercept': 24.670772845133506, 'bg_type[T.RBG]': 0.33698831418463104, 'ogtt': -0.00011916930008427061, 'ogtt:bg_type[T.RBG]': -0.00018164189750749906}","{'Intercept': 24.476783695839988, 'bg_type[T.RBG]': 0.04130345953763914}","{'Intercept': 24.839267002225867, 'ogtt': -0.00020999024883637963}","{'Intercept': 24.81861527245705, 'bg_type[T.RBG]': 0.04130345953763914, 'ogtt': -0.0002099902488366897}"
l_2,0.6769551275567554,0.2880545169621801,0.5181384182227446,0.7357466993647052,0.35281570978275534,0.6623869160258115,-58.6803460451993,-59.07049633477051,-59.92495156695196,-58.889144663149,"{'Intercept': 23.618616065261367, 'bg_type[T.RBG]': -0.133712137059673, 'ogtt': -7.502566303376965e-06, 'ogtt:bg_type[T.RBG]': 0.00023082720070342574}","{'Intercept': 23.60640305021915, 'bg_type[T.RBG]': 0.24203876747039743}","{'Intercept': 23.55175999673154, 'ogtt': 0.00010791103404980641}","{'Intercept': 23.43074061299636, 'bg_type[T.RBG]': 0.24203876747039743, 'ogtt': 0.0001079110340495076}"
l_3,0.4378412769719966,0.11416307405308576,0.5067290041062034,0.5298503353290029,0.15735006296063778,0.6523500381348999,-44.84986626763853,-45.67576508326268,-47.019993646229786,-45.07027412817993,"{'Intercept': 27.267338988868747, 'bg_type[T.RBG]': -0.040815774152571205, 'ogtt': -0.00025134723442010726, 'ogtt:bg_type[T.RBG]': 0.00018835208364626388}","{'Intercept': 26.85818465005638, 'bg_type[T.RBG]': 0.26579222345175824}","{'Intercept': 27.246931101792473, 'ogtt': -0.00015717119259525095}","{'Intercept': 27.114034990066614, 'bg_type[T.RBG]': 0.2657922234517591, 'ogtt': -0.0001571711925955968}"
l_4,0.5122596844997307,0.06257204935299822,0.2513480798140373,0.5949377774922898,0.09267746932472379,0.39860251041216016,-59.173590657095716,-59.84251424333037,-61.945027253639296,-59.831488250134115,"{'Intercept': 22.73239618202266, 'bg_type[T.RBG]': -0.3206070828575127, 'ogtt': -0.00018034366717871382, 'ogtt:bg_type[T.RBG]': 0.000414669223634138}","{'Intercept': 22.438824645125887, 'bg_type[T.RBG]': 0.3544101394901449}","{'Intercept': 22.572092640593894, 'ogtt': 2.699094463973011e-05}","{'Intercept': 22.39488757084885, 'bg_type[T.RBG]': 0.3544101394901431, 'ogtt': 2.6990944639439327e-05}"
l_5,0.888609097150376,0.8997283613866788,0.6457872713383995,0.9102182151712334,0.922702422871018,0.7670389392031747,-62.44875055763831,-62.566848408549646,-62.554412939534636,-62.55437693718271,"{'Intercept': 26.58774985356929, 'bg_type[T.RBG]': -0.2828279579339894, 'ogtt': -0.0001173725599789287, 'ogtt:bg_type[T.RBG]': 0.00017466756847842372}","{'Intercept': 26.396685518672477, 'bg_type[T.RBG]': 0.0015037700768880669}","{'Intercept': 26.446335874602294, 'ogtt': -3.003877573808946e-05}","{'Intercept': 26.445583989563843, 'bg_type[T.RBG]': 0.0015037700768907314, 'ogtt': -3.0038775738417322e-05}"
l_6,0.8339809927754765,0.8184679282195698,0.5661971879592947,0.8671193103692041,0.8519481103312424,0.7034694558314404,-46.84202771505243,-47.023572382372606,-47.042348781595756,-47.00657121740267,"{'Intercept': 30.247183000066983, 'bg_type[T.RBG]': -0.3103274920875956, 'ogtt': -0.00011114544747539609, 'ogtt:bg_type[T.RBG]': 0.0001681568670557276}","{'Intercept': 30.06625543912378, 'bg_type[T.RBG]': -0.03659417683399813}","{'Intercept': 30.092019254023185, 'ogtt': -2.7067013945677922e-05}","{'Intercept': 30.11031634244018, 'bg_type[T.RBG]': -0.036594176833994574, 'ogtt': -2.7067013946049804e-05}"
l_7,0.17877514073515632,0.40213734421657327,0.2020099178659556,0.2568591248332903,0.4698857871867538,0.34706738420383043,-48.720461742445686,-50.44208820227423,-49.63142333887862,-49.53435341328655,"{'Intercept': 22.78010611474499, 'bg_type[T.RBG]': -0.5686706253661573, 'ogtt': -0.0004018209789247217, 'ogtt:bg_type[T.RBG]': 0.0003879810877137587}","{'Intercept': 22.126003843308943, 'bg_type[T.RBG]': 0.06290244836416736}","{'Intercept': 22.495770802061884, 'ogtt': -0.00020783043506651883}","{'Intercept': 22.464319577879806, 'bg_type[T.RBG]': 0.06290244836416603, 'ogtt': -0.000207830435066799}"
l_8,0.5353142432948893,0.5302046235042297,0.2667519120532198,0.6157617378750596,0.5896093913662619,0.41652852813373475,-41.57623790264325,-42.201139236519346,-42.21073016750628,-42.192924813473816,"{'Intercept': 26.220352962618225, 'bg_type[T.RBG]': -0.5110635632561245, 'ogtt': -0.0001670211516202506, 'ogtt:bg_type[T.RBG]': 0.0002993170519413938}","{'Intercept': 25.948468416060933, 'bg_type[T.RBG]': -0.023821796837513176}","{'Intercept': 25.964821180990143, 'ogtt': -1.7362625647998403e-05}","{'Intercept': 25.976732079408904, 'bg_type[T.RBG]': -0.023821796837508735, 'ogtt': -1.7362625648319543e-05}"
l_9,0.5555942207520195,0.4134011329691498,0.4721768702323823,0.6330382658479233,0.48044667337666336,0.6215315967159484,-76.34880647156878,-76.93652354153905,-77.23214336269464,-76.60724502231056,"{'Intercept': 24.265899377552095, 'bg_type[T.RBG]': -0.8131262457969046, 'ogtt': -0.0003680417764745164, 'ogtt:bg_type[T.RBG]': 0.0003448818112044617}","{'Intercept': 23.66678441192864, 'bg_type[T.RBG]': -0.2517121138358278}","{'Intercept': 23.8593362546536, 'ogtt': -0.00019560087087091985}","{'Intercept': 23.98519231157149, 'bg_type[T.RBG]': -0.25171211383582737, 'ogtt': -0.00019560087087120825}"
