feature_name,gluc_pval,sampling_pval,cross_pval,fdr_gluc_qval,fdr_sampling_qval,fdr_cross_qval,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
l_0,0.44886026911128996,0.02883076032871995,0.5105381769595234,0.59264654797798,0.06185182992260789,0.8397137443896161,-50.978029017493355,-51.77907266181937,-54.52434141234186,-51.194510970588766,"{'Intercept': 23.17976367215701, 'bg_type[T.RBG]': 0.6892337244241631, 'bg': 0.0011261219914903285, 'bg:bg_type[T.RBG]': -0.0022361014610793716}","{'Intercept': 23.24699628316563, 'bg_type[T.RBG]': 0.3831026987970003}","{'Intercept': 23.352066335503793, 'bg': 0.0006291137548214126}","{'Intercept': 23.30376762436216, 'bg_type[T.RBG]': 0.5309913426463146, 'bg': -0.000950899494289217}"
l_1,0.46995521001825713,0.6144426215166483,0.9028218180513858,0.6088617012014479,0.7018137614809865,0.9627112043459678,-71.87954299190127,-72.63466087855393,-72.36658272049792,-71.88699688914548,"{'Intercept': 24.600094960250267, 'bg_type[T.RBG]': 0.23622761916901203, 'bg': -0.0020654192149867504, 'bg:bg_type[T.RBG]': 0.0005868209256416693}","{'Intercept': 24.476783695839988, 'bg_type[T.RBG]': 0.04130345953763914}","{'Intercept': 24.59281703621743, 'bg': -0.000693859657875287}","{'Intercept': 24.56755255764338, 'bg_type[T.RBG]': 0.2777552253921245, 'bg': -0.001520345705542556}"
l_2,0.39829112200949895,0.7333841480039093,0.4642749932343657,0.5463453278081054,0.8024540801853143,0.8190514671572601,-58.14992425602004,-59.07049633477051,-58.46000989399191,-58.41770864451672,"{'Intercept': 23.383201919041515, 'bg_type[T.RBG]': 0.26409167741927586, 'bg': 0.0037385384647996753, 'bg:bg_type[T.RBG]': -0.0028039554694935034}","{'Intercept': 23.60640305021915, 'bg_type[T.RBG]': 0.24203876747039743}","{'Intercept': 23.544669213536864, 'bg': 0.001329450050018572}","{'Intercept': 23.538696455437325, 'bg_type[T.RBG]': 0.06566392285867373, 'bg': 0.0011340610487812763}"
l_3,0.8223233295666895,0.3610307277938218,0.5570886786707112,0.8804416554009131,0.48183930981447465,0.866563870156071,-45.480143466968514,-45.67576508326268,-46.498935672697705,-45.65252852324348,"{'Intercept': 26.74698288417821, 'bg_type[T.RBG]': 0.36783141861900637, 'bg': 0.0018625894810465169, 'bg:bg_type[T.RBG]': -0.0018200179746851557}","{'Intercept': 26.85818465005638, 'bg_type[T.RBG]': 0.26579222345175824}","{'Intercept': 26.869655170400392, 'bg': 0.0008833182702192334}","{'Intercept': 26.847912750677413, 'bg_type[T.RBG]': 0.2390340522179064, 'bg': 0.00017205061073030832}"
l_4,0.2754855885721218,0.2480163370759934,0.17226394700835648,0.41298924606254717,0.36084601021924234,0.6677398470003284,-58.55329428148994,-59.84251424333037,-59.94755494117035,-59.484859457922056,"{'Intercept': 22.681536988036854, 'bg_type[T.RBG]': -0.1528248262477505, 'bg': -0.004065344225932374, 'bg:bg_type[T.RBG]': 0.0052943799273552136}","{'Intercept': 22.438824645125887, 'bg_type[T.RBG]': 0.3544101394901449}","{'Intercept': 22.40811364082083, 'bg': 0.0015124988463358652}","{'Intercept': 22.387934910092277, 'bg_type[T.RBG]': 0.2218430071774542, 'bg': 0.0008523847118641539}"
l_5,0.7380494289477078,0.7770695765606854,0.5158065902939626,0.8217997187573767,0.8335398501368346,0.8451593751780582,-62.26310392881904,-62.566848408549646,-62.51532931631931,-62.474238864417245,"{'Intercept': 26.221728859812814, 'bg_type[T.RBG]': 0.11936312388147119, 'bg': 0.0029304609495866118, 'bg:bg_type[T.RBG]': -0.002665173143131175}","{'Intercept': 26.396685518672477, 'bg_type[T.RBG]': 0.0015037700768880669}","{'Intercept': 26.36322881711765, 'bg': 0.0002488525622344473}","{'Intercept': 26.36952716360708, 'bg_type[T.RBG]': -0.0692434100169681, 'bg': 0.000454892654517515}"
l_6,0.6135826791471689,0.5971485879555813,0.37291122371958296,0.7338346862099451,0.6870187872765818,0.7754690019122779,-46.53513212479732,-47.023572382372606,-47.05072143030722,-46.932102432015995,"{'Intercept': 29.889253712960844, 'bg_type[T.RBG]': 0.1084314435704119, 'bg': 0.0029647150895007047, 'bg:bg_type[T.RBG]': -0.0028161464145438197}","{'Intercept': 30.06625543912378, 'bg_type[T.RBG]': -0.03659417683399813}","{'Intercept': 30.037159810851957, 'bg': 7.855467234629127e-05}","{'Intercept': 30.045424303370183, 'bg_type[T.RBG]': -0.09085902863269091, 'bg': 0.0003489140125295994}"
l_7,0.7866133962384403,0.7936101779115805,0.510482063002963,0.8527817547418621,0.8439438283579431,0.8397137443896161,-50.20206981370471,-50.44208820227423,-50.43323271180903,-50.4186092333192,"{'Intercept': 21.992397952716416, 'bg_type[T.RBG]': 0.1900111413751584, 'bg': 0.0022378504914762846, 'bg:bg_type[T.RBG]': -0.002207662949475362}","{'Intercept': 22.126003843308943, 'bg_type[T.RBG]': 0.06290244836416736}","{'Intercept': 22.117897562938165, 'bg': 0.0002877636097808542}","{'Intercept': 22.114824835233527, 'bg_type[T.RBG]': 0.033781270160348154, 'bg': 0.00018724435430831493}"
l_8,0.49972614315004726,0.5654425567472998,0.44945888360808084,0.6350456579986251,0.6624961299203438,0.8172587097462792,-41.507444192209555,-42.201139236519346,-42.07759076037544,-41.79345224065033,"{'Intercept': 25.78620221659739, 'bg_type[T.RBG]': 0.02615944738683318, 'bg': 0.0027179003306592713, 'bg:bg_type[T.RBG]': -0.002196197433392052}","{'Intercept': 25.948468416060933, 'bg_type[T.RBG]': -0.023821796837513176}","{'Intercept': 25.896235935178105, 'bg': 0.0002933219436639309}","{'Intercept': 25.90799327407118, 'bg_type[T.RBG]': -0.129259042678723, 'bg': 0.0006779440336999992}"
l_9,0.4712738337302044,0.27407742506193383,0.26273359854043316,0.6097858232109495,0.39118323395203286,0.7283160909780547,-76.18420757559504,-76.93652354153905,-77.47855221488666,-76.8113554427801,"{'Intercept': 23.304312882659566, 'bg_type[T.RBG]': 0.055183018771944425, 'bg': 0.006071267414360575, 'bg:bg_type[T.RBG]': -0.00581304611395504}","{'Intercept': 23.66678441192864, 'bg_type[T.RBG]': -0.2517121138358278}","{'Intercept': 23.594279009154082, 'bg': -0.00038810276315450094}","{'Intercept': 23.626677813333828, 'bg_type[T.RBG]': -0.35618930867722565, 'bg': 0.0006717710647251348}"
