,ID,molec_class,550,551,552,553,562,568,569,570,571,582,650,651,652,653,690,691,692,713,714,715,superclass,ttpval,log_qval_tt,last_meal_rab_mean,last_meal_rod_mean,log2_fc_last_meal,log2_fc_rod-rab2rod,fa_carbons,fa_unsat,fa_carbon:unsat,is_sum_comp,Type,dummy,i
dl_6,LysoPC 20:3,LysoPC,20.487097365877094,21.103673757756436,20.017513429343026,19.174148466299453,20.446944146919133,20.522644561778083,20.628915709659353,20.27776656290188,20.100758406666174,20.038479076539335,20.725227181319507,20.258546239251306,20.336131174167257,19.910954568467556,20.602625667443984,20.430485161807756,19.93539276968671,19.986716917945067,17.094389168330512,19.81961204773481,Phospholipid,0.5699292340575608,0.22054761687567956,19.948374841258705,20.173799883929497,-0.22542504267079266,0.6536876164275824,20.0,3.0,20:3,False,lipid,True,dl_6
dl_8,LysoPE 16:0,LysoPE,20.151721666195797,19.891347556472542,18.650359590011615,16.85304726934409,19.809907395652203,19.58647340412393,19.20299489134273,18.980986641916324,19.653426242282688,19.595812532771646,19.7169389915085,19.720726302636265,19.348234779060874,19.15796514338011,19.352038438539005,20.28332304845221,19.25671141485522,19.32125777370185,20.145829188072653,19.10617304165007,Phospholipid,0.004021336339464977,2.0940501936834015,18.795508944610013,19.70897789997694,-0.9134689553669268,-0.022026212927659827,16.0,0.0,16:0,False,lipid,True,dl_8
dl_17,LysoPC 16:0,LysoPC,26.632008287465265,26.54774980065605,25.59263404913112,25.433007714483047,26.346042405755103,26.29614100162003,26.2714185722088,26.014781937573154,26.27675201651184,26.35110746083796,26.40730200029057,26.24445152460853,26.207692974598412,26.246265094980462,26.299638445856257,26.6997528941011,26.09948843487611,26.325602464691958,26.549219688751506,26.05878911981225,Phospholipid,0.003039293268415491,2.1882627343037666,25.988496095762038,26.383105632190407,-0.39460953642836927,0.01222003705687058,16.0,0.0,16:0,False,lipid,True,dl_17
dl_23,LysoPC 18:1,LysoPC,23.876427015131714,24.749191826835606,23.202696742561656,23.19220395524022,24.448844262533754,24.019031410574513,24.323885992102934,23.504458237744757,23.632008287465265,23.69710331568715,24.913421222613916,24.522529810666775,23.563836784823685,23.44253048860155,24.659489023887375,24.467621469564385,23.245022401669836,23.718164931214982,23.89504269329906,23.838459164932694,Phospholipid,0.00015214518262515872,3.315558135537561,23.409844791693814,24.234081191945783,-0.8242364002519693,-0.27611883411342575,18.0,1.0,18:1,False,lipid,True,dl_23
dl_38,LysoPC 20:2,LysoPC,18.889907776361746,19.841993499950654,18.605773578708522,18.220915732205853,19.333497143225287,18.827757049846635,19.295764918485116,18.883918186723907,18.33103586247072,18.185058979699217,19.41146995296804,19.184015412129874,18.763596550980015,18.65437393206647,18.905416915314373,19.052218870110465,18.830606293536995,18.91376300866309,18.529235790438715,18.319436955648293,Phospholipid,0.2524929066717476,0.5118958765268709,18.69613532612641,18.93129300974224,-0.23515768361583156,0.05756033580876263,20.0,2.0,20:2,False,lipid,True,dl_38
dl_39,LysoPC 17:0,LysoPC,21.49040298447415,21.724754091607984,21.93700767099947,21.74278574951001,21.557796029024075,21.42282773270055,21.448198143795942,22.003856339640308,21.38914791884828,21.54972634009299,21.81074061065575,21.47361195932551,22.12203843281808,22.061247647812422,21.257030675129496,21.747231467119107,21.854374662562527,22.216816498868635,21.581394715452205,21.45172763520736,Phospholipid,7.1608925964644215e-06,4.437868357093085,21.99116100031592,21.531122331033338,0.4600386692825822,-0.041786666594340716,17.0,0.0,17:0,False,lipid,True,dl_39
dl_57,LysoPE 18:0,LysoPE,19.791925709763817,19.190515954430357,18.312699416808705,18.823644552567036,19.497813696864885,19.178919136757834,19.14423661265466,18.676604178058042,19.39560292344745,19.358417918836857,19.328893941220105,18.988043926464925,18.899357769727256,18.63355056090168,18.521331095023392,20.137652440531802,18.4620230841214,18.761433277590175,20.37096159343078,18.92910227873708,Phospholipid,0.0019379544064009149,2.3645139043551033,18.65275897711061,19.37180132524338,-0.719042348132767,-0.013983457412418687,18.0,0.0,18:0,False,lipid,True,dl_57
dl_58,LysoPC 18:0,LysoPC,25.843260151196514,25.869383738127592,25.330739663143998,25.213266819423005,25.915702163865152,25.782067983082293,25.67303555572532,25.470727380432205,25.623660944751748,25.718164931214982,25.816654794614344,25.623660944751748,25.58405506424234,25.483084586952188,25.303127431936137,25.97596268868263,25.313544047881475,25.416995396494414,26.11941547876375,25.5314814115113,Phospholipid,0.0007791492818554903,2.698784305889684,25.40177327979566,25.753506016786424,-0.35173273699076546,0.046655560856248,18.0,0.0,18:0,False,lipid,True,dl_58
dl_79,LysoPC 20:1,LysoPC,17.894694360696924,18.374496261161454,17.681327280142465,17.684890896437892,17.888461094793993,17.67196853985311,18.021915899208185,17.753718482465807,17.581107395541782,17.647756014151874,18.39530540528402,17.94304978113946,17.70815855146109,17.775186728470594,18.09072640586936,18.184637230453053,17.77799133538513,17.692230821404998,18.123610670956182,17.749443120214817,Phospholipid,0.028716009017340293,1.3407222560044354,17.724786299395426,17.96670555225571,-0.24191925286028493,-0.2125002596422476,20.0,1.0,20:1,False,lipid,True,dl_79
dl_163,PI 16:0_20:5,PI,17.482311926139733,17.878440375119826,16.974497492419296,16.679229365470515,18.579481515346117,17.813042238197184,18.321451183080704,17.01477385478133,18.07019372482341,17.797882617250476,18.348769790843576,18.363035929289172,16.47566758069923,16.40204951374958,18.281540336221582,18.468011875681498,16.910367286433342,17.38950301492387,18.17964443983215,17.907058887886098,Phospholipid,1.3597841226898626e-07,5.891503918742398,16.835155444068167,18.11468191074704,-1.279526466678874,-0.26618112710794506,36.0,5.0,36:5,False,lipid,True,dl_163
dl_172,PC 36:6,PC,15.247331187371033,15.484453579233069,17.169062588247265,17.289554399312948,15.070649343380031,15.606505994242948,15.780494753290133,17.064340424599198,14.898401356887492,14.731990544203999,15.233194052645796,14.61118420388105,17.24245573621354,17.132819025120444,14.818079388343202,14.90531437904631,16.831011678052395,16.43114485236353,14.480073256448543,14.510019985030626,Phospholipid,1.783131977100619e-09,7.4975839843714525,17.022912671987047,15.029053232615711,1.9938594393713363,0.5003310403305612,36.0,6.0,36:6,True,lipid,True,dl_172
