,ID,molec_class,pval_sex,qval_sex,log2fcM-F,qval_significant,more_abundant_in_females
vl_5405,TG 50:4,TG,0.5956059088197632,0.7352010436993952,0.2792139769493893,False,False
vl_5156,TG 56:10,TG,0.0524954186087808,0.1642430918848985,-0.5446186100639743,False,True
vl_5124,TG 18:2_20:5_22:5,TG,0.558765656077381,0.7047992623202479,-0.2027250472758091,False,True
vl_4879,TG 22:6_22:6_22:6,TG,8.326116157031882e-14,1.973289529216556e-11,-3.057226577441668,True,True
vl_5337,TG 15:0_18:2_22:6,TG,0.4925611066498574,0.659530973310826,-0.3382555812777283,False,True
vl_5342,TG 51:5,TG,0.5532811814674351,0.7020453754597985,0.3402029377091011,False,False
vl_5356,TG 18:1_22:6_22:5,TG,0.0101888839444671,0.0460461544753765,-0.6460705303437138,True,True
vl_5360,TG 60:11,TG,1.3898620811759902e-06,2.8033813892656146e-05,-0.9265293712139028,True,True
vl_5370,TG 56:8,TG,0.4496447595507173,0.632438029753828,0.301266777291385,False,False
vl_5383,TG 46:2,TG,0.4221581957514332,0.6102278795630934,0.3098012221342543,False,False
vl_5414,TG 16:1_18:2_18:2,TG,0.8426813178159495,0.8947768555276844,0.1015514455663506,False,False
vl_5428,TG 48:3,TG,0.518876606103545,0.6829058722051424,0.2595138604608102,False,False
vl_5437,TG 58:9,TG,0.9290035347651536,0.9579387834009389,0.0247280287344615,False,False
vl_5443,TG 56:8,TG,0.1636475913914837,0.3583597343673627,-0.4142007596181756,False,True
vl_5448,TG 52:5,TG,0.8240396150132623,0.8869686068728726,0.0968279962036895,False,False
vl_5282,TG 18:1_22:6_22:6,TG,2.2236551933796845e-05,0.0003115160387976,-1.036934103457046,True,True
vl_5265,TG 58:10,TG,0.4916894863236091,0.6592950962302424,-0.3136528099282571,False,True
vl_5244,TG 50:5,TG,0.9108547822822052,0.9437052826268094,0.0592366288847223,False,False
vl_5240,TG 14:0_18:2_22:6,TG,0.2007144890031159,0.4016059183927196,-0.4745343999671121,False,True
vl_5226,TG 16:0_20:5_22:6,TG,0.0055882487592941,0.0280299461577291,-0.9662348916026532,True,True
vl_5379,TG 54:7,TG,0.6975113513126631,0.8093522167006176,-0.1135060783852672,False,True
vl_5381,TG 48:3,TG,0.6965068053969524,0.8093522167006176,0.2070225130961347,False,False
vl_5511,TG 51:4,TG,0.4375806250829874,0.6209976535608863,0.405091420602556,False,False
