,Unique Identifier,Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64)
0,unknown_679.05463_0.536,0.536,679.05463,+,24084205.57,unknown,unknown,49,11455478.21,17288137.24,16208909.58,23818488.87,13962650.02,12229009.83,10494434.11,7822806.08,10610635.14,15805753.61,12939878.97,15366943.02,14069438.42,18877733.16,6530743.197,20081743.35,11666614.09,16596488.16,16942031.07,13884339.05,19806452.42,15173587.4,1388749.128,24084205.57,14153460.05,15357748.31,14464866.08,17559085.4,11525043.23,13009527.35,15219103.21,21629923.54,13937285.86,20822275.13,21296217.33,14267835.85,14850858.35,22963650.86,11800295.84,16236839.02,8071878.242,19484730.98,16661006.19,10080276.13,9897530.792,22649046.26,12113248.65,16147738.02,17754213.28,18021836.63,12319384.66,12584421.9,6377443.224,17719399.28,16472464.05,13669828.58,15683805.67,12904388.9,13538198.09,13608930.58
1,unknown_641.1087_0.537,0.537,641.1087,+,55222376.41,unknown,unknown,36,46772700.12,55222376.41,46361317.05,36999507.96,21865710.91,31437186.21,25372876.75,15701206.28,27771795.22,8711962.413,25622877.18,34409196.52,43726393.46,37490826.2,7173091.256,50073861.94,39343041.54,35528135.01,20212995.0,28194419.59,51310112.09,17548354.88,3035805.818,39693314.78,41791713.07,19532496.72,36573797.23,41847967.77,28619642.61,28711497.75,44848228.26,48444034.33,10665036.72,49039559.46,46346470.31,19655945.68,26287229.4,45412422.26,28605453.86,33333064.24,38366337.52,38503139.4,36012595.65,21254265.97,22077642.63,43059243.64,36084237.38,30110811.1,36168662.24,37466648.74,34287034.65,34155738.17,24558476.04,38528445.84,41729029.86,6220326.429,42798938.73,37898803.55,32198578.04,28891737.45
2,unknown_951.15973_0.541,0.541,951.15973,-,32381127.66,unknown,unknown,10,16259389.51,32381127.66,24240650.21,9969524.962,12240584.1,24287983.35,14024378.34,14289363.56,12905229.08,25074143.01,10647833.21,17973418.39,21479046.06,13757544.97,17772086.69,28729330.96,14064272.81,23208174.38,27138146.25,32048437.84,25179070.95,23253828.58,1663566.711,30600566.14,24823983.23,8646979.005,18181809.65,26337479.03,18722228.95,24474323.96,14854938.73,22454839.67,23265294.9,22532458.58,17782537.29,3993011.155,9132579.86,26666662.98,16211881.69,19471282.7,16274523.74,17368646.86,13530453.53,24491943.25,8735852.518,23077456.92,18084369.02,13522412.25,19142177.78,23250971.03,18026723.55,16588840.84,13496342.23,15699164.4,19125932.28,12168198.47,20368608.7,19528222.23,19539215.5,15434617.96
3,unknown_329.03067_0.542,0.542,329.03067,-,288277026.4,unknown,unknown,55,129019863.3,67602836.68,209789265.4,217059858.9,151754559.3,232183947.1,118735467.4,191392900.3,140423626.7,245613944.4,193258459.1,201420000.3,205923916.4,225896334.5,161557245.2,212017103.8,201599953.4,203076561.8,183854689.0,192630527.4,201211482.5,122775785.7,22151942.96,247618206.9,150937557.8,114324367.6,188803875.3,231263740.4,166653067.6,238038486.3,227571002.6,189510416.6,142463253.0,211750813.5,172325867.8,192183915.5,79927725.45,242265599.7,200734289.6,176580237.0,232851050.7,149293712.0,136530658.6,112964029.5,111440472.6,202958359.2,208687407.0,188008701.1,165039338.4,207781994.2,157576528.1,217341441.4,128211291.4,288277026.4,114266418.0,145278124.9,176354883.6,223619620.9,179076688.8,165124249.7
4,unknown_969.13147_0.544,0.544,969.13147,-,16972960.37,unknown,unknown,14,10891965.47,16972960.37,14112598.49,5828326.675,7216628.264,11105718.2,6906003.247,6922304.194,8222578.778,13703290.01,6667397.753,9840100.241,6517963.745,11839501.07,7109025.966,12546602.83,6655209.007,10275901.8,6439191.643,11578317.56,7618582.024,10317682.75,681656.4071,14907127.0,7110013.534,5477882.397,4376205.752,11937090.92,8089105.403,11708190.83,10386431.98,8204882.105,3452861.714,12594044.24,5381199.414,3022488.127,4954662.345,5136129.347,8558984.538,9870417.448,8912733.398,6381818.965,11071790.45,6923498.016,3505334.308,11917934.86,9341663.344,7580782.643,11790220.47,10934655.29,7257362.037,9879814.545,6178661.045,6578465.142,8023916.555,4351532.486,11324090.27,10406612.1,8373267.305,9059848.112
5,unknown_623.13641_0.546,0.546,623.13641,+,201069498.2,unknown,unknown,55,193398940.3,168581951.8,197696000.3,77802025.02,73406526.66,112858178.7,80684686.99,58537386.26,90480141.74,72823283.69,82626117.05,115020927.7,157186749.8,128553075.9,67507822.78,168132407.7,103151334.0,124883359.7,201069498.2,118328434.9,181405189.4,139694478.0,8682616.178,181145550.6,151707161.7,51598996.7,111918871.7,183927475.2,87715814.19,108087190.4,162130586.8,147877911.3,72749116.27,164361454.4,130501683.4,40666341.92,101202777.2,137189072.1,121032733.7,112061829.2,127102013.1,157018835.8,145986899.1,73471667.77,72308154.19,169527544.5,127887066.4,82836628.76,180113056.0,150820580.5,115507526.0,125861309.7,101103001.1,116163637.6,158305891.1,75330226.49,119236901.2,164038932.2,151186161.1,95814390.98
6,unknown_291.08359_0.551,0.551,291.08359,-,4234264441.0,unknown,unknown,61,2044391196.0,4234264441.0,2277229870.0,947404126.6,889479482.9,1598987146.0,1338627133.0,1622973854.0,1441437684.0,1814209668.0,1200713435.0,1408531110.0,2122874107.0,1611693877.0,1452457693.0,1699517286.0,1149227698.0,1502382550.0,1826063311.0,1365739554.0,2186566409.0,1509629691.0,374751758.7,2096053023.0,2170702013.0,875510140.0,1304232753.0,1830320737.0,1231058160.0,1588445114.0,1750858335.0,1457035844.0,2573042833.0,1773019260.0,1526645310.0,915231317.5,769875650.9,1771033941.0,1516254249.0,1813531937.0,1664868311.0,1211621672.0,1446243079.0,812885797.6,825738984.5,1702030818.0,1542798054.0,1023908784.0,1732544189.0,1479139956.0,1447830896.0,1445214612.0,790246592.5,1374632572.0,2445335401.0,774361927.4,1570888665.0,1597642482.0,1722987060.0,1157658882.0
7,unknown_345.08728_0.551,0.551,345.08728,+,154649474.9,unknown,unknown,4,391151.3932,423187.6575,528240.6961,317728.1557,294561.3809,448459.9339,293346.4444,373127.3465,300181.5879,260152.3134,252838.2734,328992.5235,422392.692,408712.0615,321383.057,404203.4992,415841.0914,329628.8891,491260.3685,327665.3737,405196.2944,425371.0142,190244.8284,382728.5082,373750.0236,239904.6436,430419.9867,431659.7513,271062.7348,370676.9501,409198.755,2611287.949,154649474.9,1467814.769,1184495.09,267734.4622,282702.6118,493116.9583,312219.4576,295387.9004,401627.348,400159.0104,609893.5011,446228.855,906924.5055,560904.8548,7580532.272,673770.9789,8388841.743,7194662.948,5197247.337,7301068.939,4275901.707,9067864.506,19612242.21,15943235.11,37279845.65,40250144.33,30200214.49,17514782.36
8,unknown_352.99652_0.553,0.553,352.99652,-,10188315.29,unknown,unknown,21,6825096.787,5076570.353,6153003.856,7656925.299,5584366.714,3024459.611,4245590.656,6153203.139,4883169.683,7476979.778,6790468.666,6829223.759,7327851.114,5322178.531,5498774.885,7810724.808,6668286.793,4702203.515,6580412.431,5354628.289,6843037.193,6004195.368,653076.0724,6481128.877,5808017.377,3559481.492,7972857.241,5915703.343,6723898.132,7201796.721,5885777.034,5585284.127,10188315.29,4520904.396,5991200.734,6907760.945,2340818.956,6448254.805,8471776.353,6113765.483,10019413.26,5063694.628,6139151.961,5305524.247,4715529.042,6417412.011,8385460.652,5514657.76,5809973.756,7832758.97,6416476.378,8764535.721,3451543.93,6463606.884,3067273.596,4708918.598,5175083.265,6499974.382,5454893.748,5738054.418
9,unknown_247.09372_0.554,0.554,247.09372,-,151047298.5,unknown,unknown,35,106983107.2,138026447.8,116322472.5,52569099.39,45363397.94,92022072.51,79759799.29,92892724.71,79659150.47,115857048.9,62274555.56,77257378.35,104016428.7,86188219.66,85711784.01,93597691.55,73544923.5,75853342.58,104730789.9,107611981.3,113492582.4,91685947.85,21061100.82,119089599.2,127764444.0,52531451.07,73955947.1,91594252.78,71904804.33,87613832.34,101342683.2,85000380.77,151047298.5,101902401.1,89107443.02,44162172.49,41099042.11,117867868.9,90910711.34,87454037.13,94543661.52,61024151.4,78398779.32,49173531.53,52672919.83,96346072.43,88113618.38,61093001.52,105069456.9,87165077.12,84222244.63,85741545.4,39666831.76,77248393.1,103258255.6,42808574.76,81053875.54,96486611.43,104948592.1,64621589.68
