Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46)
0.523,498.05923,+,22.897356791749868,,,29,12.798713046766716,14.241491112448028,21.104892279788825,21.10414772250176,13.040385790801333,13.019622707743517,12.930029832422758,20.943563548267335,22.897356791749868,21.986093640646505,21.72978776832696,22.41216758822625,20.712360138374592,20.49939574873741,21.633246522662525,20.97352332523871,19.513092323240226,21.406608107317155,21.894997299092502,21.99541107266371,21.75450245691964,21.242055977106176,21.369329972459838,21.596664043332773,19.722473019010067,19.886242867345963,21.188351444849413,20.60807901045749,21.48976907864785,20.341172948679553,19.76746130433481,21.37589477174869,21.603303334631633,20.170907564596803,21.779075300116485,20.26820110135832,19.217227285215856,20.869742397790716,20.198185452132133,19.02166195786204,20.67147965241565,20.506147138125453,20.1136145830261,21.117870856745512,20.14682494470979,21.112549214039074,18.639639384606276,20.10178969541138,20.070652341533403,20.355489734148957,20.958338062477758,20.72240140533817,20.246524915632325,19.40462607123505,20.610172331309794,18.767889514711136,19.502167105478986,20.451094773724126,18.606947480896405,19.395073708029084,20.376869629340785,18.99497979759951,19.324007435126877,20.057993017942213,19.446657075785055,20.268059526948168,19.31071000560025
0.527,287.05502,+,23.357322301976534,,,30,11.928308406398319,12.1062017386109,19.02226536173239,22.776965659941,12.178379102496244,12.15761601963459,12.068023144206384,20.04743827424694,21.863794481217365,20.60328533174683,22.480981737403734,22.758172338682048,22.345579677271715,22.461202379534,22.17388059645746,23.357322301976534,22.35124866266395,22.524842239775833,22.813350297813457,22.834673821924284,22.649027186572766,22.672619422677887,22.362170893207313,22.33804226686566,22.255482909320495,22.071876309748156,22.34119081712795,22.40448562083946,22.906274114617997,22.744572350179162,22.204250428127015,22.727952490115687,23.016122016412837,21.57358597090741,22.58471008539712,22.548576141204258,21.338414878819357,21.142923583952193,22.282877651662748,20.2805843739671,22.418734407704335,21.69970949575983,22.039427561940613,22.459215870303392,22.37710256518511,22.664804522290545,21.542826489467664,22.125982189411133,22.537311064754046,22.17109254122427,22.1041763657711,22.269839015343457,21.570551966050584,22.272962839884073,22.12416072705156,22.310361239958688,22.332952420318612,22.427266003645812,22.53576971556353,21.26470159297944,22.311420488012015,19.63849479661568,20.502860639799984,21.834969958544946,22.573329957254515,22.423272788505276,22.162195285900427
0.53,329.03067,-,27.522027804316696,,,48,12.40672538585327,12.514096453416663,22.448466576018436,27.0688957374183,12.948813954518926,16.290424969599517,15.909092333382771,24.016212443742884,26.534964951530164,26.752302188360193,26.7769787314645,27.13797172901838,27.082145556364555,27.133150967479352,26.96697047800786,27.522027804316696,26.914110800653134,27.260267934256763,27.14034444208095,27.19261087050303,27.504167857676418,27.04571145752623,27.087880751530317,27.027140272504653,27.033230490824586,26.822036700246507,27.112197157259757,26.786178895577724,27.247136529983706,26.552606471979637,27.324245751608885,27.189543864135103,27.327433742903583,25.692370993319965,26.149484562068082,26.27691269138439,26.864773488376166,26.561658955034513,26.92409154707172,25.687772112848,26.82052041415889,26.579981983532363,27.00375285697808,26.76683776071608,27.0984531900522,27.069613168202558,26.029166598690022,26.445223817642052,27.01220956702723,26.722519237521265,26.326151322786664,25.725986640314574,26.12608587037294,27.007124607255356,26.395693099632968,26.487332984253865,26.716228021043115,26.875126278541497,25.882718196897876,26.630576544231698,26.655341985580574,25.004350356024332,26.372221895425415,26.85200117155521,26.08579023344241,26.661340637637178,26.478829005235546
0.53,679.0553,+,22.75535967777902,,,93,11.90958951112123,12.0874828432563,17.834198623357754,22.472130588883648,12.159660207376458,12.138897124136966,12.049304248947033,19.19547559291763,21.74251687836712,21.633600954098046,22.499306550755318,22.716143008749384,22.3383306019101,22.21288697863605,21.88133994154321,22.75535967777902,22.018448144500187,22.10042623379054,22.538503515659688,22.299454072627224,22.341008012536186,22.498883121120677,22.02396156832858,22.191243300715904,21.9085830591243,21.908052110615042,21.84950525420555,22.15501859510281,22.549699469678586,22.098814601682808,21.84253256244571,22.357183557531286,22.535908486149683,21.415063411616345,22.00258809501878,21.621121295166844,20.572463959070053,20.753231594463706,21.896835139521006,21.70720332299303,21.729847758653452,21.915275299317788,21.725543908772572,22.193770134447103,22.279875666104658,22.40550422813247,21.157618971904405,20.65591864156017,20.75125644560353,21.719894643512507,21.995700442013796,21.692245138031886,21.481928069376508,21.975389993239084,21.927444776200122,21.960667906345066,21.990835123586407,21.682875780666162,21.86587693156107,20.6065986741463,21.9643782373714,21.301238590469303,21.609310677528196,21.81286176194564,22.069902935997597,21.783615980422663,21.977077658987902
0.532,990.10492,+,22.52164910394059,,,25,11.993839504032165,12.171732835972152,17.36868230653123,21.88552872005892,12.243910200052552,12.22314711710477,12.133554241796139,19.35387359594348,20.849782369170928,21.048014287117326,21.91907161437111,22.07837544251415,20.01744829924169,21.487338906843302,21.101032925001167,22.52164910394059,21.645075727553028,21.895767013953744,22.168294916345022,22.104246953607166,22.06849466739875,22.09131333902267,21.76418600791216,20.374866377740936,19.902933616900512,21.602054146921645,19.74112692943102,19.974446132339708,22.29903203915031,20.661239796931206,21.718019260322947,22.138942073469376,22.30422684171412,20.968710208376688,19.984370087501137,21.921538137709597,19.459061039968176,19.782044049395,21.74912260286656,19.910164345520528,21.262356940372964,21.538647197737124,19.804062138799708,21.853452780867737,21.85184224233115,19.830356014096868,20.716574358685932,21.369842825611247,21.845252517218917,21.25981446571362,21.476231419305837,21.380996140861043,21.115873726074202,19.323845396828084,21.30454853526858,21.73114731766333,20.09222703332003,19.823084114991047,21.701704187850524,20.514022643190966,21.567829165784662,20.942650869317305,20.93240260100041,21.105915842889683,21.812554885014514,21.726700953379105,21.75721244832301
0.532,975.14197,+,22.103147330231433,,,79,11.776158366597915,11.954051698412275,17.15100116873932,21.812656842736846,12.026229062586273,12.0054659798043,11.915873104368153,18.566488641757765,20.681363858636615,20.351600526435327,21.43142370136356,21.801034698782974,21.356304778064885,21.13950820911256,20.88600901998791,22.084237130238744,21.091631535542874,21.43921637990272,21.884730965527762,21.732580516852746,21.779844751020445,21.71223285199899,21.258222817922675,21.788756327108462,21.081630568359756,21.27358384320278,21.112650988956762,21.696241950916153,22.103147330231433,21.78206411499381,21.017276477780307,21.991446252900786,22.065214154615212,20.326147722882446,21.673936753880803,21.55624866031927,21.21918292532623,19.47020312229764,21.39288732322565,21.103510809506236,20.866408833625915,21.13538765237093,21.03522482204302,21.694104050722785,21.697321175175045,21.7376520641466,21.13405631170414,21.34598324090764,21.45426003429405,21.087255153507947,21.26551062700098,21.18893347576353,21.100119038100342,21.29537886949037,21.25842928126299,21.249528938721728,21.18748123801636,21.566280974176102,21.67817165245064,20.10530362125608,21.43490079544771,20.72114883128636,20.948531841755102,20.915606045061757,21.368735356612646,21.310092639782656,21.329428132816123
0.534,352.99805,-,22.10973199062771,,,88,13.032325518389985,13.171332437188456,17.85521080255101,21.7785688076974,13.57441408748711,16.916025101783465,16.534692466040056,18.048392668737403,21.395738261928827,21.53362632596233,21.608813455840195,21.602865409252814,20.846655361860268,21.613020258495283,21.617422782459965,22.10973199062771,21.789640153495057,21.055226150478834,21.495742831301357,21.62781832975502,21.913538332397625,21.688796581191802,22.02259892249863,21.663326936529117,21.83397685490994,21.612986992259106,19.7521347270606,20.805162174596152,21.94342643742879,20.88404469112157,21.709356944705902,21.588134048912202,21.671026502163965,20.625045410301443,21.445548481954784,21.684597678771134,21.514908259298927,21.24004219422123,21.73735008265252,19.97179716151573,21.495685466627943,21.321754654714024,21.318422949071,21.57619134692126,21.671801545573697,21.465692346774922,21.81582963921416,21.473275876526344,21.37743908875866,21.395716406754595,20.44072387799268,20.668649859173176,21.349264488893912,21.678557338956153,21.29706754579043,20.732508811593622,21.35214349431717,21.62659485248831,21.668126412185668,21.133803578158624,21.328468727158224,21.174042026452142,21.174019645693257,21.50984714913228,21.58244233667896,21.279646964584604,19.873506608486984
0.535,329.03073,-,26.681574328833694,,,90,11.935732912425985,12.113626244491389,22.198336498008814,25.94406732249095,12.185803608411051,12.16504052561207,12.075447650190998,23.626058823045526,25.322091892816672,25.041787014538574,25.86512010633828,26.23650537184807,25.864864404155234,25.877681185152557,25.62900669783509,26.681574328833694,25.81756677774416,26.055429966274506,26.2168394084636,26.259448327770137,26.24187649196387,26.174344834168135,25.95052151566303,25.871447693272895,25.701335205276063,25.555938357354076,25.93616136988175,25.787453775023955,26.34725180131624,26.111963082470616,25.841871325109825,26.20606560356224,26.41388091306593,25.092193380490805,25.845388559251308,25.954199788116235,25.725860379553882,24.69727939438328,25.746401086401516,24.881261869222136,25.852536476919322,25.214892099188713,25.561637521365217,25.879590212012605,25.94301979697186,26.11643497819894,25.03232592449004,25.690916192818637,25.97930618712137,25.615933840612318,25.48754076659158,25.575752276435544,24.968778309723515,25.641439050579645,25.41637773807976,25.65633554651314,25.752222237762286,25.87221336771735,25.909333173658602,25.063711518303826,25.603118755430327,24.198833409711522,24.59270640634238,23.942565976007504,25.914496456516623,25.510335941779363,25.49073874418501
0.539,951.15942,-,24.319862124133127,,,81,12.18726190812946,12.294632975565424,18.558246147101627,23.83481586463349,12.729350476733654,15.643528446343977,15.331271223866931,20.152807523260954,22.97403434166541,22.988634186001015,24.319862124133127,23.381953975394453,23.40676949877307,22.907024082311015,23.14079367703235,22.527864359779272,23.41566232918127,23.347436063601727,23.576591810852378,23.00580151534542,23.23268536100583,23.783588143173798,23.24949482548502,23.67605704297299,21.56620109076236,23.13605622924326,23.806294741914485,23.62401283684031,23.558626023519434,22.723590753207606,23.521558099861835,23.799471703908445,23.795491184643808,23.408799507818248,23.28458178545622,23.42281833978751,23.014332012110504,22.818281112141953,23.53895790394558,22.53763393832378,22.601052099106216,22.622453732631666,23.349341062014005,23.717639060646373,23.649906757764395,23.890374723169344,21.753361853760254,23.21269954142343,23.430116024402494,22.927726990213646,23.430492589501736,23.08131415898191,23.272556492045208,23.332202437885837,23.3589533039568,23.269352725069258,22.925086506366487,23.094674927542147,21.744077444898377,22.61076500234041,23.406102344451803,23.39148990357072,23.056726247206104,23.61716780975325,23.247288811825936,23.30380955391958,23.142155564733667
0.541,347.00339,-,23.707328284140733,,,58,12.6386636587779,12.788342400695278,20.353712798465605,23.521670374158248,12.860519764773152,12.83975668183481,12.750163806638362,20.764011185924204,23.014921276970274,22.670685310364114,22.187057007390834,23.613191523839763,23.574131832148463,23.40575125280897,23.28810690754066,23.707328284140733,23.373155366983514,23.175920947279952,23.518933852198273,23.400760743116212,23.355576075766123,23.51256047576448,21.93819856119111,23.25138316460353,23.11388309571502,23.262654503159514,22.797160915608917,22.07426545702755,23.31141540988782,22.04164250438958,23.02331119912819,23.25808474679198,22.420920918390355,22.57294614723646,22.134974287880347,22.07345523683683,21.25796449199806,22.48392909865826,21.911533091302086,22.18792277424431,22.982447852872156,22.266855201407434,22.783923431248827,23.299149223712135,23.16764116035748,23.193003521423787,22.973078527808443,22.87033969098378,21.43487680511846,22.863463244235483,23.0903786787476,22.78694856232094,22.688919488874124,22.60610783070364,22.72230300961716,22.548707204586385,22.910748693100622,23.013563860603483,22.357792232179644,22.620685733868747,22.774620263975294,20.861106180076174,22.14959875782135,22.504005790424962,22.955704801530437,22.92243173085319,22.75548787541286
