unique_identifier,Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),qc_rsd,qc123_rsd,data_rsd,is_id,sample_mean,blank_mean,blank_max,sample_blank_diff,sample_maxblank_diff
0.818_622.291_unknown,0.818,622.29077,+,21.601900557051074,unknown,unknown,19,12.941801843442565,12.86021107963494,19.833946635667967,20.601827548730306,13.015147728987213,12.822536873643779,12.804903979608481,19.74580908230603,20.974238734984766,20.06731672602477,21.11405575249064,19.764036421648917,20.44427564658724,19.973237448870613,19.818512106021917,21.375607098913644,20.213457561095968,20.192921987014135,20.56591133267189,20.225635652868284,20.295131548046715,21.484545789490102,19.24421609842436,20.72501822656337,19.19062452629686,19.333782367013573,21.097976114227567,20.18297125277927,21.241528588531708,19.09747389089289,19.6719020258465,20.809600382813823,21.04775913283438,19.204892281489883,20.01683409761993,20.36148830635987,19.179025696492236,20.290049149978895,20.299476884350003,19.710588374026052,20.136785872123042,19.487772039914034,19.76983611501339,19.97680134356752,20.42545486392344,20.97529220862338,20.792084998287553,20.46164221294967,21.601900557051074,19.657880176264296,20.892833073758226,20.581653455645426,21.050314070527048,20.05670601917526,21.10029877382962,20.90326804274526,21.1529336989026,20.02791100969658,19.789678724998577,20.489237560732025,19.85104595355324,19.969424087349193,19.48854489941425,20.470248723113762,20.009130236834448,20.49394368177193,20.379312571003126,0.010782611989611383,0.019078917845953558,0.031120505415200235,False,20.282530587605752,12.901006461538753,12.941801843442565,7.381524126066999,7.3407287441631865
0.871_453.169_unknown,0.871,453.16891,+,20.579857293291504,unknown,unknown,19,15.573106697748115,14.23715706146507,19.363592465847706,19.541561331571458,14.00363257036104,15.86623324479751,15.239031957721432,19.13750384720236,19.997678643082295,19.255190537972034,20.195513873704922,20.56308433004008,19.531118634889257,19.79320460763808,19.6756171359569,20.579857293291504,19.697174803566476,19.663138611247426,19.427671442435376,19.667699386510293,19.757995288036717,20.36713011741038,19.046733549117473,19.336107657295532,20.248605307696476,19.80050958617956,19.88709212569358,20.067110290376082,20.340003848458146,19.113513679401997,19.79812491323157,20.09088028665319,20.5038611256163,19.16303562352865,19.26665748474863,19.19884546645152,19.228640907668193,19.16605618250788,19.577734224243628,19.054896169235164,19.557312475456456,19.32693652511264,19.334755545965763,19.39998139794466,19.706509586653105,19.948039961085794,20.44933865886174,20.49379508191174,20.044424463078148,19.97471936470697,20.196054271559472,20.038934752824982,19.905838910617657,19.729422131694605,19.953933155293722,19.996981851194725,20.022578970749624,20.25123020997525,19.907330759178187,19.735165894427222,19.996254867733736,19.839790209092843,19.069099025735635,19.381902034920465,19.286964611451946,19.956239851705853,19.250024184461033,0.013719378991834948,0.009703820165589941,0.021801291535025066,False,19.74919242890802,14.905131879606593,15.573106697748115,4.844060549301428,4.1760857311599064
0.873_645.12_unknown,0.873,645.11963,+,21.044105574202153,unknown,unknown,7,14.08751893769225,14.005928174374635,16.95245585882266,20.16309931854196,14.185126854522961,13.968253967854361,13.950621073825301,18.737097010222982,20.088745231609984,19.987428163331444,20.126871264045825,19.83944157319703,20.078035002641467,20.066369264830232,19.955961681336667,19.443532132935466,20.72798151851681,20.397966061413804,20.51584891387508,20.23732109766599,20.17749858833849,20.784399400548562,20.303272085754745,20.561613636558455,19.680235945134683,20.638872694525762,19.676315436629462,20.045002284009662,20.49489697058667,19.57235688022562,20.499133934857955,20.1803039231666,20.23473213457636,20.04900473883283,19.869505316645057,19.560867438229653,19.943099728617113,19.943914417048198,20.121947806517532,19.556225735155444,19.777637906669163,19.931714275875127,20.17525591072676,20.683114139055768,20.81726453185552,20.465763932027798,20.923962387672617,20.67776702719245,20.348837495597547,20.493416146181865,20.302774794796886,20.48368130505576,21.044105574202153,20.060711430473464,19.88503612768915,20.03480844693268,20.308343127528982,19.90522638288628,18.590346150597522,19.742125267685527,20.155317397089387,20.064387789216035,19.585272377997065,19.96728376437651,19.389789521621772,19.614501095076584,19.38448857178441,0.0077286796370187915,0.09430916544952897,0.023597977999460885,False,20.081812181490776,14.046723556033442,14.08751893769225,6.035088625457334,5.994293243798525
0.876_631.35_unknown,0.876,631.34955,-,20.51105533697457,unknown,unknown,10,12.929551991249246,12.888105146686428,18.186927118429026,19.9143226171792,13.326093442740177,12.98500285978225,12.902866662238269,17.425892238381543,19.38479857620164,20.05484647906237,17.948044990115022,20.189022789319477,16.638635938946564,17.892412427066244,19.041242881585962,18.201462875377395,19.559205159391826,17.912171005058273,17.32018164299534,20.146965010788083,17.35270588948155,19.80901134672839,17.74277407068556,18.52984843891884,17.25223616609214,20.45031121034271,17.996666229604724,18.343722951516096,18.2818700004529,18.580144582274684,18.649411597038803,19.141496567682108,17.910337187359957,19.362758309189115,18.96512952570936,17.19849951583577,18.053282836878648,20.047606546070146,17.64001933287947,17.866190938929208,19.56031357712156,17.577705408993534,16.08945031179256,18.71758195064124,17.539858073393457,17.225794765492957,19.407520934111893,19.063798645835938,18.171934013244893,18.970107419150484,20.51105533697457,19.507443587106895,19.73987753579537,17.481327013593578,19.785008532404543,17.961806229962434,19.70118890203152,18.423920999966594,18.143304313284872,17.44421374805034,18.734051117530537,16.97603327869165,18.56895155944139,18.41224602743862,16.468088595210098,16.386137060897532,16.585924224648178,0.004716787798555363,0.05354858458834156,0.060010665707799685,False,18.400725807012783,12.908828568967838,12.929551991249246,5.491897238044945,5.471173815763537
0.933_376.26_unknown,0.933,376.25961,+,26.282296936805846,unknown,unknown,58,12.595865500558615,12.403225744505916,24.07931238162655,24.074399031199857,12.755033354974453,12.533461699524555,12.46758482571158,24.675472348592887,24.648705985507824,24.881295524205385,22.696275491006567,24.605913901647423,23.695492917229352,26.282296936805846,23.557720685252598,23.70045964040496,24.12548797257334,23.20910949025744,25.931021777435703,25.822129187480115,25.052195142476545,23.708340637043868,24.11226028179512,24.293689665932188,24.244825954616985,23.02569451566541,22.04078693911202,23.817502717741146,24.532649296096213,23.999921265869318,22.171939769695296,24.55159983791055,24.370365409157888,23.43946664729731,24.137296619052755,23.147354435533888,23.66453281112194,23.605876226432446,22.41079509924507,23.515986041635987,23.544187717156067,23.225873472101554,23.263291744962125,21.773421561919715,23.861509507029037,22.137961576477327,23.656996968318033,24.32530826124194,23.525371916402882,23.612373778820942,24.373733648049477,24.67435809918093,22.985628439956333,24.341078775114223,22.31149323862805,23.881371109840842,23.89682650519855,24.399407345710127,23.796467556081367,24.300745922701125,23.260507847317168,23.874489582605626,22.979182125334617,24.507622970760092,23.58415063805967,23.491878371866036,22.905408865623087,0.013896549489342358,0.011368427651683229,0.03780737247431186,False,23.802751811971465,12.499545622532265,12.595865500558615,11.3032061894392,11.20688631141285
1.036_542.325_LysoPC 20:5,1.036,542.32452,+,27.103004340473074,LysoPC 20:5,LysoPC,22,12.473223310167468,12.405818107680687,25.25080375166967,25.548291099160927,12.644064325448248,12.499306923135897,12.419602770383873,25.76136556292751,24.72219884230431,26.57247263617503,26.317479971705232,26.72053440308733,26.205485024554164,26.534038225988542,25.11098107453918,27.103004340473074,25.8152242741098,26.209007881085114,26.73772106676905,26.566979373685943,26.63469783004617,26.246504632834064,26.507751879815576,25.782562224955342,26.04117913087498,25.39813680826372,25.72163256831648,23.83508399128682,26.973064524513862,26.022961433047037,25.454453344092435,26.404661403956297,26.95073317177911,25.03886316210521,25.808673789766225,25.78600595220223,25.56397701756603,25.174896280738206,25.183230728464178,25.200274915815942,25.017969677011166,25.64776023252642,25.753318734227445,24.658725782622238,25.33370534712778,26.069292997067564,26.204598791520112,25.451869340162787,26.051540320594885,25.610832889656027,24.444500316031764,25.375463867403486,24.28003979648915,26.10894561557888,24.705489878891328,25.7629186743749,24.625530447235292,26.219155088573444,25.52556433038065,26.130162440834923,25.538301162014587,24.531729270369944,24.893138235389635,26.422086043834558,26.37503694454029,25.85976331598763,25.68805323871141,0.010410623693228588,0.007792835486454094,0.02809855079971481,True,25.73985550411671,12.439520708924078,12.473223310167468,13.300334795192633,13.266632193949244
1.095_496.34_LysoPC 16:0,1.095,496.33994,+,29.05239639937467,LysoPC 16:0,LysoPC,70,16.70333911022818,15.705830625254436,28.259540381496702,17.786298833170978,12.816770582887461,12.731169861375953,12.656342676928931,27.95305166638748,28.214652179967064,28.53690065989828,28.43152620261825,28.60208885870382,28.05131279788913,27.8185964711201,28.06731613090734,28.351528074655338,27.909846337809025,27.59450853884359,29.05239639937467,28.296913986929876,28.394655371134434,28.794843462527126,26.569833223877666,27.239442320050014,27.112292511386254,27.295426590348043,28.28996636315262,26.25307537234744,28.708609044309195,26.181376981753008,26.767479153840466,28.01640511238596,28.12897087996361,27.26945022231718,26.959104146776564,27.955176259695822,27.639610828325992,24.139769373858726,27.356400518412787,26.681412026235925,26.475048117849973,26.92277159147886,27.121727544606923,26.88549855418847,27.91246149353688,28.060477684545205,28.45025286724998,28.650947599191884,27.768209749186994,28.3093719437116,28.042375180654894,28.024098216852217,27.590884503556726,27.642816395656535,28.277623772653932,25.689846523995215,27.69743462510684,26.904489969735558,26.559958934111695,25.925570289585878,26.67661712436223,26.78912573765583,25.93032538476304,27.346398566408368,27.90434119513502,27.504397966946925,26.862307721867168,0.21430972640720938,0.22552363160005098,0.033160082148811144,True,27.509321955373295,16.204584867741307,16.70333911022818,11.304737087631988,10.805982845145117
1.137_522.352_LysoPC 18:1,1.137,522.35236,+,23.843148429650615,LysoPC 18:1,LysoPC,28,13.642248270432985,13.515073085704357,21.427543164634827,18.57869405976049,13.689037688776589,13.530115306938981,13.47930226433614,21.15116106843524,21.929049863604288,22.627843679350292,23.457071452128876,22.56722273419914,23.23036233805836,23.00602132940198,21.31104545606763,23.317397377447598,21.782939973653722,22.89473582023696,23.843148429650615,22.70040885114234,23.606858708773505,22.816337620798013,21.759277972521858,22.248453180964038,22.64421435772702,21.063301188446367,22.38199062336815,21.278808795867313,23.842277241736667,21.577888156291667,21.82951372778269,23.810434554624408,23.618766595985083,20.161631202602482,20.77506140173416,22.143943602565752,22.521444792437894,17.652325347466515,21.992028680831037,21.320964584798652,21.0498868552725,23.03380124641608,22.576843012583637,20.96300152804325,22.751225381364684,22.696910958248193,23.33422511847787,22.777811703001685,23.03081672499954,22.180271335508994,21.690523759811846,22.00135780447185,21.647169961599158,23.144797813254804,21.884774268316963,22.460644423241572,21.684318352778323,21.712409868543563,22.562428775887373,22.641485063243735,21.889491579969818,21.9264697401445,21.358819613052884,22.73277013474541,23.127453204975,22.83992002478674,21.983505910881085,0.036159159143695434,0.10236994885817188,0.04623263701821209,True,22.24245108123869,13.57866067806867,13.642248270432985,8.66379040317002,8.600202810805706
1.282_552.307_unknown,1.282,552.30719,-,22.392718052261632,unknown,unknown,8,13.001307904952247,12.845902832989662,17.74253928676183,22.392718052261632,13.35006960878044,13.094752670252781,13.026045791804542,17.99224407401712,19.79044416253095,20.123374250594676,20.291490123081015,19.958447049986006,19.51454750142299,19.38124989301376,19.842841452545468,20.1859898423938,19.972319925784774,19.648655719231535,20.30784785873894,20.050192346438017,20.30110681383787,20.276315839052167,19.687086495466573,20.317236670065792,18.950851524769163,19.272495108217946,19.191927852567982,19.990324368889205,20.235572116865796,19.85097198315831,18.83725423200038,19.85008600662544,19.868640677767903,20.10959327390226,19.125122801996966,19.815836212675766,18.43556757028801,19.911432749113096,19.158431835123675,19.523766324150184,18.558840113819862,18.389618560307674,19.231734373263173,18.884402738287328,19.48843537539624,19.536839126028166,20.437033165556745,19.989029374209952,19.382206250876035,19.419732170761097,19.28793933960365,19.468630141222484,19.568718559018443,19.817102475458874,19.570502436479266,19.60830278805105,19.319112282706566,19.51356001889692,19.476616196597885,20.411864388732443,19.671093671206396,19.266159694358567,19.09475313054703,19.572210819062168,19.913022369889788,20.00098333544645,19.570167944563796,0.0829485348684901,0.1162514148067121,0.02672333904833525,False,19.603631258277694,12.923605368970954,13.001307904952247,6.680025889306741,6.602323353325447
1.289_568.34_LysoPC 22:6,1.289,568.33972,+,27.48563644497256,LysoPC 22:6,LysoPC,42,13.093071682021678,12.975820170966882,25.09864097128061,27.48563644497256,13.219219456713262,13.093856944363758,13.06143803086222,24.99107858308838,25.75271978898473,25.75417237175819,26.096576102883795,25.631634889944603,24.957855395696154,24.927829973901666,25.031237397325082,25.63885847682967,25.16460494496512,24.831254410458666,25.87581463920827,25.778207358601424,25.623185824068813,25.744556358850733,25.085717709320726,25.726684224894495,24.274057396957684,24.48945375053383,24.631468468604627,25.394377219934366,25.81216781192179,25.36286388344646,24.475924226315872,25.322747344062623,25.43909299285312,25.527553540305615,24.430153179120115,24.75377830371494,23.78548545827969,25.017792315530183,24.221473614946007,25.363503670307,23.84938106214919,24.16904901633252,24.538915711401174,24.460478672159322,24.554895227945675,24.509516353535634,25.626742056429638,24.933566016725564,24.55855839034575,24.31900001076134,24.639002843628703,24.609072210012574,24.59782916522446,24.98153666845156,24.831788926924485,24.7208643172989,24.718156668327655,25.202893920109776,24.711696020134287,25.289566922261358,25.22229061805134,24.72319258892441,25.012058630129022,25.030353073688385,25.237143107345695,24.71791002491346,24.60504098579416,0.06647296605332817,0.054201686756520095,0.021253226875441903,True,24.988073013943676,13.03444592649428,13.093071682021678,11.953627087449396,11.895001331921998
