,feature_name,no_gluc_tol_pval,no_feeding_pval,no_cross_pval,no_gluc_tol_fdr_corr,no_feeding_fdr_corr,no_cross_fdr_corr,full_model_converged,no_gluc_tol_converged,no_feeding_converged,no_cross_converged,full_model_ll,no_gluc_tol_ll,no_feeding_ll,no_cross_ll,full_model_params,no_gluc_tol_params,no_feeding_params,no_cross_params
0,unknown_67905463_0536,,,,,,,True,True,True,True,-50.486818096340514,-51.77907266362452,-53.921342379696696,-50.6315428499294,"{'Intercept': 23.08876673856573, 'glucose_tolerance[T.impaired]': 0.14805162797550522, 'glucose_tolerance[T.normal]': 0.42101865306082503, 'bg_type[T.RBG]': 0.4932690499031254, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.13479188218444174, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.2138520500695298, 'Group Var': 1.8706375572767683e-10}","{'Intercept': 23.246996283165636, 'bg_type[T.RBG]': 0.38310269879700637, 'Group Var': 1.4277359349588187e-10}","{'Intercept': 23.33540126351727, 'glucose_tolerance[T.impaired]': 0.08065568688330174, 'glucose_tolerance[T.normal]': 0.3140926280260762, 'Group Var': 1.144301645791006e-10}","{'Intercept': 23.143849914118785, 'glucose_tolerance[T.impaired]': 0.08065568688329242, 'glucose_tolerance[T.normal]': 0.3140926280260633, 'bg_type[T.RBG]': 0.38310269879699865, 'Group Var': 1.8215219113924036e-10}"
1,unknown_6411087_0537,,,,,,,True,True,True,True,-72.1729734638072,-72.63466087999016,-72.40625789372164,-72.38669368827463,"{'Intercept': 24.345929044832303, 'glucose_tolerance[T.impaired]': 0.1915068292433488, 'glucose_tolerance[T.normal]': 0.17550618193005585, 'bg_type[T.RBG]': 0.14611377409267506, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.2387103459108389, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': 0.07272429200191126, 'Group Var': 3.2854082456827633e-10}","{'Intercept': 24.476783695840005, 'bg_type[T.RBG]': 0.04130345953762267, 'Group Var': 2.1472859646308133e-10}","{'Intercept': 24.418985931878645, 'glucose_tolerance[T.impaired]': 0.0721516562879194, 'glucose_tolerance[T.normal]': 0.21186832793100865, 'Group Var': 1.0219445094902313e-09}","{'Intercept': 24.398334202109833, 'glucose_tolerance[T.impaired]': 0.07215165628792125, 'glucose_tolerance[T.normal]': 0.21186832793099983, 'bg_type[T.RBG]': 0.04130345953763779, 'Group Var': 5.630583190306867e-10}"
2,unknown_95115973_0541,,,,,,,True,True,True,False,-58.74002118607403,-59.070496337892976,-59.911115481022804,-58.8744443322811,"{'Intercept': 23.6237395642576, 'glucose_tolerance[T.impaired]': -0.02404272844213534, 'glucose_tolerance[T.normal]': -0.026575749086965295, 'bg_type[T.RBG]': 0.33473907515934737, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.08603556234232827, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.24841263258884716, 'Group Var': 2.0291449970432567e-05}","{'Intercept': 23.60640305021915, 'bg_type[T.RBG]': 0.24203876747039885, 'Group Var': 1.3159497534870878e-10}","{'Intercept': 23.79110910183732, 'glucose_tolerance[T.impaired]': -0.06706050961335203, 'glucose_tolerance[T.normal]': -0.15078206538143296, 'Group Var': 3.5552008550919305e-05}","{'Intercept': 23.670089718102098, 'glucose_tolerance[T.impaired]': -0.06706050961332241, 'glucose_tolerance[T.normal]': -0.1507820653814068, 'bg_type[T.RBG]': 0.24203876747039885, 'Group Var': 2.1855665634012214e-05}"
3,unknown_32903067_0542,,,,,,,True,True,True,True,-45.118830849151905,-45.675765087453854,-47.40467439406551,-45.48060994190364,"{'Intercept': 26.718229285201385, 'glucose_tolerance[T.impaired]': 0.1862554887188754, 'glucose_tolerance[T.normal]': 0.23413810247783653, 'bg_type[T.RBG]': 0.43802750703600984, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.25242661879425193, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.2301098709356432, 'Group Var': 2.5629279136770506e-10}","{'Intercept': 26.85818465005639, 'bg_type[T.RBG]': 0.26579222345174763, 'Group Var': 3.6552731980844666e-10}","{'Intercept': 26.93724303871936, 'glucose_tolerance[T.impaired]': 0.060042179321781956, 'glucose_tolerance[T.normal]': 0.11908316701004817, 'Group Var': 2.5207221793319825e-10}","{'Intercept': 26.80434692699351, 'glucose_tolerance[T.impaired]': 0.060042179321751744, 'glucose_tolerance[T.normal]': 0.11908316701002498, 'bg_type[T.RBG]': 0.26579222345175524, 'Group Var': 1.7890468806083253e-10}"
4,unknown_96913147_0544,,,,,,,True,True,True,True,-57.93969787803,-59.842514248447415,-61.32288830515934,-59.163428674565196,"{'Intercept': 22.161484274595722, 'glucose_tolerance[T.impaired]': 0.4785741905990174, 'glucose_tolerance[T.normal]': 0.19026637615330888, 'bg_type[T.RBG]': 0.741520973065167, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.5947175728045524, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.4487602358637806, 'Group Var': 1.3496114895774356e-10}","{'Intercept': 22.438824645125877, 'bg_type[T.RBG]': 0.35441013949015715, 'Group Var': 4.872679648758685e-10}","{'Intercept': 22.5322447611283, 'glucose_tolerance[T.impaired]': 0.18121540419675636, 'glucose_tolerance[T.normal]': -0.034113741778573695, 'Group Var': 1.2507264046843878e-10}","{'Intercept': 22.355039691383254, 'glucose_tolerance[T.impaired]': 0.18121540419672935, 'glucose_tolerance[T.normal]': -0.03411374177859058, 'bg_type[T.RBG]': 0.35441013949014166, 'Group Var': 3.4050126795004604e-10}"
5,unknown_62313641_0546,,,,,,,True,True,True,True,-62.34907969462894,-62.56684841333474,-62.56407278785041,-62.56403679708917,"{'Intercept': 26.307193240125088, 'glucose_tolerance[T.impaired]': 0.1245844764199588, 'glucose_tolerance[T.normal]': 0.13600020168708304, 'bg_type[T.RBG]': 0.1756275259725661, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.2324697197187723, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.2894444801813763, 'Group Var': 2.8049536761478967e-10}","{'Intercept': 26.396685518672477, 'bg_type[T.RBG]': 0.0015037700768895472, 'Group Var': 2.825212741192082e-10}","{'Intercept': 26.395007003111346, 'glucose_tolerance[T.impaired]': 0.008349616560599578, 'glucose_tolerance[T.normal]': -0.008722038403578936, 'Group Var': 2.8286118095071443e-10}","{'Intercept': 26.39425511807287, 'glucose_tolerance[T.impaired]': 0.008349616560633034, 'glucose_tolerance[T.normal]': -0.008722038403552075, 'bg_type[T.RBG]': 0.0015037700768971254, 'Group Var': 2.8286085218102e-10}"
6,unknown_29108359_0551,,,,,,,True,True,True,True,-46.47524520122393,-47.02357238527752,-46.82754666696444,-46.791511859213486,"{'Intercept': 29.971289122347866, 'glucose_tolerance[T.impaired]': 0.11625014599310443, 'glucose_tolerance[T.normal]': 0.18420621889685937, 'bg_type[T.RBG]': 0.030961699229288174, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.021948712254725777, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.2829075996796682, 'Group Var': 2.526408288982644e-10}","{'Intercept': 30.06625543912379, 'bg_type[T.RBG]': -0.036594176834000784, 'Group Var': 2.5821455406405796e-10}","{'Intercept': 29.986769971962488, 'glucose_tolerance[T.impaired]': 0.10527578986576337, 'glucose_tolerance[T.normal]': 0.0427524190570491, 'Group Var': 1.7788267196305734e-10}","{'Intercept': 30.005067060379513, 'glucose_tolerance[T.impaired]': 0.10527578986574286, 'glucose_tolerance[T.normal]': 0.04275241905702823, 'bg_type[T.RBG]': -0.036594176834000784, 'Group Var': 1.8462145351265057e-10}"
7,unknown_35299652_0553,,,,,,,True,True,True,True,-49.160363947583264,-50.44208820560381,-49.92861610544155,-49.83250458276264,"{'Intercept': 21.951629745298856, 'glucose_tolerance[T.impaired]': 0.16730482368572197, 'glucose_tolerance[T.normal]': 0.4536084308361248, 'bg_type[T.RBG]': 0.2823724911627319, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.25176339860250463, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.4679417174865151, 'Group Var': 1.92594387449399e-10}","{'Intercept': 22.126003843308936, 'bg_type[T.RBG]': 0.06290244836417666, 'Group Var': 2.6156744753687133e-10}","{'Intercept': 22.092815990880233, 'glucose_tolerance[T.impaired]': 0.041423124384452586, 'glucose_tolerance[T.normal]': 0.21963757209285958, 'Group Var': 2.331262664387888e-10}","{'Intercept': 22.061364766698144, 'glucose_tolerance[T.impaired]': 0.04142312438445178, 'glucose_tolerance[T.normal]': 0.21963757209286094, 'bg_type[T.RBG]': 0.06290244836416908, 'Group Var': 2.2869652090837098e-10}"
8,unknown_24709372_0554,,,,,,,True,True,True,True,-41.4951989356462,-42.20113924145359,-42.20685778636617,-42.18905013319669,"{'Intercept': 25.863742315093045, 'glucose_tolerance[T.impaired]': 0.0742109260264655, 'glucose_tolerance[T.normal]': 0.23810318977333547, 'bg_type[T.RBG]': 0.11957041526416248, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.11852834534330965, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.42064019715011947, 'Group Var': 2.8521940573829324e-10}","{'Intercept': 25.948468416060948, 'bg_type[T.RBG]': -0.02382179683751624, 'Group Var': 2.8421566156217254e-10}","{'Intercept': 25.92352752272516, 'glucose_tolerance[T.impaired]': 0.014946753354767953, 'glucose_tolerance[T.normal]': 0.027783091198241926, 'Group Var': 2.8296113906418605e-10}","{'Intercept': 25.935438421143868, 'glucose_tolerance[T.impaired]': 0.014946753354825135, 'glucose_tolerance[T.normal]': 0.027783091198281835, 'bg_type[T.RBG]': -0.023821796837516254, 'Group Var': 2.8310595669682164e-10}"
9,unknown_60514441_0555,,,,,,,True,True,True,True,-76.3547936318352,-76.93652354476804,-77.31218545908034,-76.68896958446739,"{'Intercept': 23.526566122021215, 'glucose_tolerance[T.impaired]': 0.09451372307331861, 'glucose_tolerance[T.normal]': 0.46480714185377636, 'bg_type[T.RBG]': -0.14234124343878826, 'glucose_tolerance[T.impaired]:bg_type[T.RBG]': -0.029056803289646566, 'glucose_tolerance[T.normal]:bg_type[T.RBG]': -0.4742123437610336, 'Group Var': 1.1611903703336888e-10}","{'Intercept': 23.666784411928642, 'bg_type[T.RBG]': -0.2517121138358334, 'Group Var': 1.433488332081259e-10}","{'Intercept': 23.4553955003018, 'glucose_tolerance[T.impaired]': 0.07998532142852297, 'glucose_tolerance[T.normal]': 0.22770096997327996, 'Group Var': 1.0796984376861654e-10}","{'Intercept': 23.581251557219698, 'glucose_tolerance[T.impaired]': 0.07998532142854212, 'glucose_tolerance[T.normal]': 0.22770096997330141, 'bg_type[T.RBG]': -0.2517121138358182, 'Group Var': 1.2101774549297103e-10}"
