,pval_sex,pval_animalvar,qval_sex,qval_animalvar,ID,superclass,molec_class,fa_carbons,fa_unsat,RT,m/z,signif_sex,logqvalsex,log2fcM-F,i
vl_6,0.5303210476392479,0.12342214735480607,0.7131235524893175,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,0.703,287.05676,False,0.14683521977536473,-0.1748279438060969,vl_6
vl_4557,0.02254031532367978,0.08915564927089907,0.08983576937668764,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.309,1105.70068,False,1.0465507084342835,-0.49873358991291283,vl_4557
vl_4591,0.9296452328363286,0.10858655265619895,0.9618822277894159,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.412,841.7215,False,0.01687809943027725,-0.023457607125298097,vl_4591
vl_4608,0.713110933924578,0.12267143494197282,0.8338235784739099,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.437,715.62134,False,0.07892582825945949,0.06723580437587628,vl_4608
vl_4611,0.4388788719161989,0.11507512315921874,0.6528285603601839,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.438,698.63177,False,0.1852008540466208,0.15378346626089368,vl_4611
vl_4629,0.010200097510368218,0.1613317566587601,0.05095433326446386,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.488,683.59491,False,1.292818876764089,-0.6056412248137484,vl_4629
vl_4630,0.002259782819553141,0.14175683272263023,0.015195397783546973,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.489,680.67352,True,1.8182879265193304,-0.5586072103439115,vl_4630
vl_4632,0.007844422756766233,0.14633320860261584,0.0410438043766347,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.49,666.60547,True,1.3867523909955455,-0.4992368672346785,vl_4632
vl_4655,0.033566250534860384,0.11252998886838077,0.12270576354465518,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.575,873.67963,False,0.9111350377876353,-0.42715475005321224,vl_4655
vl_4690,0.20529342460544708,0.14459020413101156,0.4325266045122397,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.729,980.77106,False,0.36398717412400955,-0.3082365364581463,vl_4690
vl_4719,0.8754367929506202,0.15713179380410705,0.9257492523155983,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.821,650.61102,False,0.0335066300377323,0.022411331299231563,vl_4719
vl_4733,0.06067879198674317,0.1322840071786962,0.19361094321781636,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.869,622.61542,False,0.7130700992755721,-0.3783594085035382,vl_4733
vl_4741,0.09950261976429545,0.21596324937203015,0.28356015232133536,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.888,491.48389,False,0.5473547990279423,0.6848812016292349,vl_4741
vl_4745,0.86138439249782,0.16233827960962355,0.919679651150113,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.899,909.64636,False,0.03636342261702297,-0.058850399334396286,vl_4745
vl_4769,0.8225983043312515,0.13709660170667298,0.9001061679031934,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.971,712.6474,False,0.0457062623215993,0.04211520985540673,vl_4769
vl_4771,0.620164726079997,0.1569593310700663,0.7738802000226374,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.976,927.78522,False,0.11132626476414634,0.32636851647939835,vl_4771
vl_4772,3.507167122563413e-08,0.12530282638862247,1.3828258940392884e-06,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.976,1055.79224,True,5.859232496693207,-2.4467569144886028,vl_4772
vl_4784,0.17237444703878402,0.10759984488356357,0.39076260683946107,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.02,600.61346,False,0.40808700181167423,-0.30688046990077567,vl_4784
vl_4814,0.48948685920567214,0.20151391101431138,0.6890443466806763,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.102,648.63507,False,0.1617528261345704,0.15171638509195873,vl_4814
vl_4838,0.0652076883291107,0.1910781225181497,0.20278672652207946,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.164,725.53351,False,0.6929604753094825,-0.334834250047507,vl_4838
vl_4862,0.21184736536814497,0.21055539870182383,0.4437941012645769,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.241,659.5647,False,0.3528184745358931,0.9033640571090267,vl_4862
vl_4872,0.5216682226422871,0.1926315065465125,0.71057208016543,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.264,891.71149,False,0.14839186083248143,0.24909553920950955,vl_4872
vl_4877,0.16398560808891682,0.1951146272629254,0.3797093510023216,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.274,917.72723,False,0.4205487074725219,0.5064299807625403,vl_4877
vl_4903,0.26175215227688575,0.16799793991357748,0.49811181771846824,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.348,648.63501,False,0.3026731544952092,-0.17012246079482196,vl_4903
vl_4904,5.731736023816787e-07,0.11502451371909467,1.5433747732423738e-05,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.351,1037.70789,True,4.81152860265492,-1.8767593300079,vl_4904
vl_4907,0.9597582740861059,0.1388063937183508,0.9747682930920524,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.355,859.63,False,0.011098605830268176,0.019670118662986624,vl_4907
vl_4912,0.19832328031344848,0.20602472958457219,0.4243195764845874,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,14.382,561.52869,False,0.3723069310825371,0.7539827360089895,vl_4912
vl_4578,0.12389843951352247,0.10134704080397779,0.3256758981498305,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.383,670.61682,False,0.4872143804828466,-0.3764695469993491,vl_4578
vl_4556,0.011863132636094498,0.10350435426457567,0.05694303665325359,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.309,1023.698,False,1.2445593765535456,-0.5379265119628762,vl_4556
vl_4931,0.5700517916328576,0.23735988906206773,0.7377927057006738,0.3718444528769667,Unidentified,Unidentified,Unidentified,,,14.432,505.49973,False,0.132065642806161,0.13819475584868357,vl_4931
vl_4555,0.005305617337599852,0.13870915371409265,0.030349230780882055,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,13.309,856.69196,True,1.517852311898504,-0.6342916673661811,vl_4555
vl_4356,0.012057251815121425,0.11161146522966113,0.057533003448757364,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,941.6947,False,1.2400829535049283,-0.45278258696406937,vl_4356
vl_4357,0.001332718804053454,0.11188558655222355,0.010288961955769322,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,1077.66858,True,1.9876284386118963,-0.5627157323494565,vl_4357
vl_4358,0.014864331000483346,0.11820806063991315,0.06624176582001028,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.777,1091.68567,False,1.1788680989939357,-0.44483812257321276,vl_4358
vl_4373,0.15349581793960881,0.12687538462867315,0.36916424071775,0.3697161888317224,Unidentified,Unidentified,Unidentified,,,12.796,831.70074,False,0.4327803737650238,-0.3867370234561811,vl_4373
vl_4381,0.17090161629797762,0.28113697835892903,0.38822095554108493,0.39689926356554683,Unidentified,Unidentified,Unidentified,,,12.813,664.62585,False,0.41092102579920475,-0.1583268795456334,vl_4381
vl_4382,0.02303795868813084,0.39900233696629006,0.09083537997034445,0.4884560473652335,Unidentified,Unidentified,Unidentified,,,12.813,710.63165,False,1.0417449627879525,-0.28791464290037894,vl_4382
vl_4396,0.40358883753415487,0.36644557633809616,0.6228449089827671,0.4623496186025807,Unidentified,Unidentified,Unidentified,,,12.853,809.49048,False,0.20562008104250382,0.7426648552146062,vl_4396
