,Unique Identifier,Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64)
0,unknown_679.05463_0.536,0.536,679.05463,+,24084205.57,unknown,unknown,49,9961275.714728586,16917812.069194432,12558165.323359266,22460007.91238575,11952116.497847045,8887376.267361173,10421149.156256853,5512415.573502154,8620075.302794255,10669298.532253038,10270418.250323907,14307259.385044377,12560860.823020872,15440486.654818738,4531085.74616987,16887966.242736563,10724057.11549308,12943975.349237563,12149728.15957979,12138208.032387003,17896702.675483808,12185110.071238799,1388749.1280000017,18283499.650210056,10327274.480391072,10735638.845625952,12730760.28614896,13492598.980528666,10971621.280239373,11066309.543574883,10788038.823553415,19963225.470910758,10601301.838166527,17379397.917310495,20682946.87549989,12647368.852548696,11846491.040991342,15150787.20159745,10621549.7216291,15663927.311487721,5759542.105076135,12818358.40320794,13744267.139596296,6969780.914367466,9760334.714876221,19438935.423093982,9048047.936294416,15466961.464026652,13079602.5229747,12044001.187673973,11561714.662933454,9016912.85387509,5355227.88341867,16136674.791257352,12067924.68509864,10766590.571495533,11823975.004513232,9694285.285256159,9361181.79813984,11097409.415777575
1,unknown_641.1087_0.537,0.537,641.1087,+,55222376.41,unknown,unknown,36,40182833.57339032,53957989.948261224,35343731.30405225,34836164.11669174,18638015.265198197,22428797.518793922,25186052.107456785,10895314.297940064,22284715.79631146,5964447.8640593,20141866.302088633,31925069.952158697,38734040.92680149,30413147.881837703,4965887.424262532,41715706.660821654,35937606.48744099,27395652.38935053,14444428.551584626,24506338.31393399,46097204.584801875,14065005.936846122,3035805.817999999,29890047.05227947,29868437.022192266,13583085.009309078,31958741.265448157,31718433.387708385,27170456.510626633,24232706.10566242,31083696.852681436,44540334.42658857,8148472.4407596225,40556745.308331855,44951253.61401076,17382721.913842283,20806001.9405866,29464778.794232845,25601091.582821183,32106913.179083806,26484772.6826156,24903164.02008622,29444253.900045812,14447065.778370604,21756478.994706765,36742686.12951682,26432110.246624727,28794760.221741013,26300765.42257625,24600806.432999752,32050504.70416056,23979822.045468494,20314404.926935904,34934573.88742412,30043729.68954542,4955607.991947056,31718397.083194148,27940234.171743374,21834961.652808998,23340520.744887758
2,unknown_951.15973_0.541,0.541,951.15973,-,32381127.66,unknown,unknown,10,14096074.58962543,31661672.150163375,18665077.606060266,9429265.368498268,10491059.448040806,17415876.499435626,13924692.740870075,9936239.450854398,10457874.95492912,16741529.904453296,8474493.449502384,16722678.85496314,19120160.175906118,11295372.654047882,12046187.709551582,24071294.324291084,12915503.352584152,18010060.76423793,19279425.029329482,27827064.586544394,22718362.238430068,18568473.24456982,1663566.7110000008,23140378.44241723,17919418.647679206,6120158.94211957,15973781.083352668,20108855.97857643,17797052.31770444,20689100.39112508,10535209.086767038,20720895.15132651,17546420.031486947,18790894.744665507,17275844.15758511,3572646.6043162392,7333677.949960004,17529515.408449963,14562532.897712361,18776863.165418193,11440856.237198398,11459075.665184725,11188679.21524211,16593873.579514248,8615691.310973912,19803277.05695073,13411715.603988478,12958283.058505386,14082703.387083407,15443433.763067162,16893018.940804444,11819361.845863963,11238736.507658638,14306595.945713043,13972757.682693481,9600099.395798085,15287553.31621551,14564575.854197683,13399752.744533358,12566503.807011109
3,unknown_329.03067_0.542,0.542,329.03067,-,288277026.4,unknown,unknown,55,109879218.06230372,66037625.259681426,156264977.84320292,203122182.03548598,127006638.55186564,159297976.8751323,117782382.22413729,125684859.73685308,110358068.26046894,155355074.88139805,147648672.4182837,185458282.5749706,180475678.17946285,179344537.12853795,104017526.62758647,174021674.04443556,182598798.30565605,152563136.52240193,125716260.38371757,164823873.18176782,179284657.42491445,95897823.74088517,22151942.96000002,181009833.81486535,105255402.175701,76519949.13285317,162895550.67506117,170616207.44076312,157373046.00097415,196753045.6669383,152485087.9981026,173114634.51370972,104254270.51370686,172396349.84867874,166758507.42709652,167145274.1216639,62306156.570941545,150862115.90449828,177403615.8807969,169472329.89151177,154704802.18632656,93350570.84274428,109920301.50670326,73904856.07343958,109665387.41831113,170779101.05394632,148141472.04374185,178938821.5962553,116722609.03358918,130907982.89233746,146427061.3549044,146938872.14813668,104118203.92671554,258454543.91193965,80731463.70853914,110560731.20852292,127579318.50659697,159825994.92529663,116845440.41145465,130540510.12885575
4,unknown_969.13147_0.544,0.544,969.13147,-,16972960.37,unknown,unknown,14,9475374.077541016,16609783.59641092,10957310.108871602,5522723.294938084,6216130.319670935,8086253.183890215,6859021.141042135,4891041.555702713,6701929.420537134,9281437.842620134,5341672.989647055,9179190.597170023,5850018.5695817955,9738124.26487699,4922564.111203463,10602450.92623914,6135331.809113715,8072057.070090031,4707871.8868510015,10137233.483122949,6923798.945469995,8328089.113191998,681656.4070999995,11405085.501530007,5256741.575022621,3915622.572595505,3887400.076577051,9228668.404723482,7708928.776306999,9969723.602081584,7421167.480629879,7607583.903510238,2688059.6498960033,10568510.189115036,5238700.3837998025,2709812.1623341786,4012152.9512858405,3515508.3298387537,7720023.443215821,9532403.052321503,6346158.459213035,4316939.199503065,9176821.949848207,4828423.920423266,3459855.3579367506,10288216.756785607,7010304.728632662,7275445.973139286,8751238.104348637,7396244.883359182,6825044.309490024,7114038.52149047,5190139.814478034,6024236.8330126675,5958120.142432925,3484822.651534525,8584740.501435215,7847293.025108824,5852656.371080849,7425286.006311855
5,unknown_623.13641_0.546,0.546,623.13641,+,201069498.2,unknown,unknown,55,164135092.65114853,164483365.3985441,147391570.24134192,73064981.22744252,61858599.389301226,78530565.39394565,80050439.16891252,39458145.2672434,71510316.9250237,47409002.65347771,63887352.346069865,106162507.02327019,138018103.39418533,102753968.33261955,44357051.164661564,138331586.88013637,93753810.91040626,94504268.04901727,137241822.84397846,101651471.09479201,161737843.8197994,108925994.37747896,8682616.177999996,133090829.35523717,105781782.4688115,35136062.37231716,96952876.4648036,136185242.96542016,82992437.13808279,90039824.78884575,109405544.33395083,135243209.27652848,53836034.80030186,134178523.12068294,126346352.45958965,35772414.18191365,78636298.08483502,86629840.12553376,107315824.61913013,107656856.42340392,85537803.26997814,98057451.53810744,117442425.58873193,48543100.94433954,71183067.39455792,142880672.53221476,91582244.5964326,79008319.68857908,127179714.97994286,95758076.65307474,107464368.77947706,86044728.11821191,82321760.8263543,104678444.58341534,111165592.40696453,57878123.83968396,86836378.45191906,117878663.42506082,99023150.85141541,76260744.8067173
6,unknown_291.08359_0.551,0.551,291.08359,-,4234264441.0,unknown,unknown,61,1700220911.825714,4114053226.222525,1635180740.2817533,882064983.69163,732087062.1913527,1056410939.8213944,1326488352.4478374,1016704629.6760736,1099438950.2677553,1094384345.3780165,894000450.5660831,1286064953.5853133,1830856272.4329314,1249751560.5078533,888514522.2714103,1365358357.5086353,1031573511.3752346,1095407891.4989989,1192659941.2236006,1150035397.6318104,1920438820.9608345,1140540122.596031,374751758.70000017,1480073371.279393,1438419020.3284945,560745984.1229858,1108542367.5834057,1306928890.5647583,1155492783.1934633,1288563024.00227,1124406501.472379,1318151378.3453074,1794470674.6617804,1410971273.9515333,1471753676.1912878,786950607.2678335,581821265.9036146,1050312113.4556668,1322627430.1990068,1731782017.4947827,1060900477.3418722,719046212.0917273,1132990206.0998664,508335495.1759815,811177085.2333561,1404948168.9507277,1056691284.7318441,970236455.920188,1173706388.5598066,888802789.661097,1333837217.2997086,940045086.059786,628863975.7152789,1221680877.4708047,1631368153.5255034,575154939.9999889,1094823459.1044562,1103312686.3953254,1068472785.864736,893327207.1469251
7,unknown_345.08728_0.551,0.551,345.08728,+,154649474.9,unknown,unknown,4,350153.15549186745,416123.6883873495,431381.05299384694,304111.8717582169,261510.8615946766,347684.41333958757,291749.9923538403,281177.0522136576,255293.05561465168,193569.12187220278,212135.92026329684,311432.0624105169,386323.1185551213,350024.0036145179,239184.04872379254,353873.54086835106,388900.1430981207,272598.6469472945,378118.14623506746,295363.5980771358,374822.0819113682,358179.7024395149,190244.82839999988,310728.2360437046,292357.812901971,183494.88280488635,389273.84531230974,351682.3247353015,260991.8017556524,326585.98566814896,312726.5553131806,2434387.9251264078,113017736.2267144,1260467.97934997,1156154.9208682168,244333.24955728295,238076.15630285724,357496.17757941067,287706.5593475516,287446.36438014725,305417.1349291644,290047.4788457271,522755.903559198,331348.1851513091,896207.2510486636,497745.0460999314,5709988.983037299,650707.7572458729,6265497.9326651115,4915888.069110237,4893998.405903686,5289718.105729452,3606573.924616788,8288980.386007613,14321304.686556472,12529125.539799355,27693298.2032882,29642531.84342462,20509306.29354833,14237749.829044614
8,unknown_352.99652_0.553,0.553,352.99652,-,10188315.29,unknown,unknown,21,5961347.452224845,4975742.104318406,4838670.269731788,7248599.098645098,4821832.386197475,2258899.8076556106,4217596.910884649,4358930.388981594,4006821.8398502986,5137531.7576192515,5438869.139097709,6380594.565816127,6571604.865515417,4419744.882388996,3830414.1817104244,6632720.591462831,6147325.536787477,3737162.1232242067,4809037.894900241,4717808.898098147,6223010.992012855,4881317.17723381,653076.0724000002,5025969.5269099,4310776.713840577,2568183.805917092,7049489.54055444,4624468.5452919435,6411470.169861642,6161954.00443639,4255416.3202425465,5188151.657301085,7790162.646725086,3835712.037061765,5831463.88137654,6155804.302449318,1915086.7746926656,4389045.908182159,7641869.290719406,5910520.719642697,7116451.472412362,3445130.2080115876,5123265.810126821,3722658.677423768,4653152.733063631,5570898.462978328,6304904.475422276,5296912.384099329,4368658.555560579,5340919.962555438,6037139.542828636,6326406.48024344,2918217.091844581,5919639.755479829,2318969.8938049125,3766704.4922398184,3975940.87074479,4941887.923241512,3849690.455907966,4729557.667216066
9,unknown_247.09372_0.554,0.554,247.09372,-,151047298.5,unknown,unknown,35,91258561.60836264,134705726.7944477,87433741.30627283,49435343.50964538,38401341.87455919,64288215.35172139,79133217.32187404,61981532.684102,63061098.97434848,74598823.3568798,48343808.45602375,71429985.25237088,91592028.39837752,69222474.08997639,56005881.411826044,77473901.04852459,66961843.353838876,57830769.59339895,72422419.55849303,92517120.14175366,101474885.83362104,71892067.29392394,21061100.820000004,88094213.10656683,89380478.18499069,35757152.28899087,64272341.88023765,68569848.06785673,68073765.10867131,73136432.9262286,69057839.43230599,77942576.4664129,110428544.73961195,83616924.43356371,86327172.06686449,38824106.00910487,32330989.498553205,74706931.10589013,80756825.96254197,84061439.7695663,64027369.57941849,39018487.60787306,63525091.64884044,32789090.522525296,51867588.55549153,81617250.0737943,63521637.85860971,58315639.39428093,74926257.31350783,56079138.963433884,78453868.5157129,59077565.33107018,32636876.011478942,69770171.49260968,73092486.10941626,33162116.35407272,59418699.8056106,69981252.65955238,69304790.32287718,51685940.47996756
