combined_col_name,ogtt
1091_8_FBG,846.75
1091_9_FBG,846.75
1091_10_FBG,846.75
1093_8_FBG,993.0
1093_9_FBG,993.0
1093_10_FBG,993.0
1060_8_FBG,1761.75
1060_9_FBG,1761.75
1060_10_FBG,1761.75
1062_8_FBG,1648.75
1062_9_FBG,1648.75
1062_10_FBG,1648.75
1074_8_FBG,1350.25
1074_9_FBG,1350.25
1074_10_FBG,1350.25
1092_8_FBG,1377.95
1092_9_FBG,1377.95
1092_10_FBG,1377.95
1102_8_FBG,1738.25
1102_9_FBG,1738.25
1102_10_FBG,1738.25
1076_8_FBG,2321.25
1076_9_FBG,2321.25
1076_10_FBG,2321.25
1082_8_FBG,2224.75
1082_9_FBG,2224.75
1082_10_FBG,2224.75
1101_8_FBG,2015.75
1101_9_FBG,2015.75
1101_10_FBG,2015.75
1091_8_RBG,846.75
1091_9_RBG,846.75
1091_10_RBG,846.75
1093_8_RBG,993.0
1093_9_RBG,993.0
1093_10_RBG,993.0
1060_8_RBG,1761.75
1060_9_RBG,1761.75
1060_10_RBG,1761.75
1062_8_RBG,1648.75
1062_9_RBG,1648.75
1062_10_RBG,1648.75
1074_8_RBG,1350.25
1074_9_RBG,1350.25
1074_10_RBG,1350.25
1092_8_RBG,1377.95
1092_9_RBG,1377.95
1092_10_RBG,1377.95
1102_8_RBG,1738.25
1102_9_RBG,1738.25
1102_10_RBG,1738.25
1076_8_RBG,2321.25
1076_9_RBG,2321.25
1076_10_RBG,2321.25
1082_8_RBG,2224.75
1082_9_RBG,2224.75
1082_10_RBG,2224.75
1101_8_RBG,2015.75
1101_9_RBG,2015.75
1101_10_RBG,2015.75
