Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),
0.536,679.05463,+,2.408420557E7,,,49,6939.264074,7204.617522,1.145547821E7,1.728813724E7,1.620890958E7,2.381848887E7,1.396265002E7,1.222900983E7,1.049443411E7,7822806.08,685473.6374,1.061063514E7,1.54243167E7,1.580575361E7,1.293987897E7,1.536694302E7,1.406943842E7,1.887773316E7,6530743.197,2.008174335E7,1.166661409E7,1.659648816E7,1.694203107E7,1.388433905E7,1.980645242E7,1.51735874E7,1388749.128,2.408420557E7,1.415346005E7,1.535774831E7,1.446486608E7,1.75590854E7,1.152504323E7,1.300952735E7,1.521910321E7,2.162992354E7,1.393728586E7,2.082227513E7,2.129621733E7,1.426783585E7,1.485085835E7,2.296365086E7,1.180029584E7,1.623683902E7,8071878.242,1.948473098E7,1.666100619E7,1.008027613E7,9897530.792,2.264904626E7,1.211324865E7,1.614773802E7,1.775421328E7,1.802183663E7,1.231938466E7,1.25844219E7,6377443.224,1.771939928E7,1.647246405E7,1.366982858E7,1.568380567E7,1.29043889E7,1.353819809E7,1.360893058E7,8616.499626,7755.590041,7473.385618,
0.537,641.1087,+,5.522237641E7,,,36,4957.644286,5147.221739,4.677270012E7,5.522237641E7,4.636131705E7,3.699950796E7,2.186571091E7,3.143718621E7,2.537287675E7,1.570120628E7,286282.5193,2.777179522E7,2.781395224E7,8711962.413,2.562287718E7,3.440919652E7,4.372639346E7,3.74908262E7,7173091.256,5.007386194E7,3.934304154E7,3.552813501E7,2.0212995E7,2.819441959E7,5.131011209E7,1.754835488E7,3035805.818,3.969331478E7,4.179171307E7,1.953249672E7,3.657379723E7,4.184796777E7,2.861964261E7,2.871149775E7,4.484822826E7,4.844403433E7,1.066503672E7,4.903955946E7,4.634647031E7,1.965594568E7,2.62872294E7,4.541242226E7,2.860545386E7,3.333306424E7,3.836633752E7,3.85031394E7,3.601259565E7,2.125426597E7,2.207764263E7,4.305924364E7,3.608423738E7,3.01108111E7,3.616866224E7,3.746664874E7,3.428703465E7,3.415573817E7,2.455847604E7,3.852844584E7,4.172902986E7,6220326.429,4.279893873E7,3.789880355E7,3.219857804E7,2.889173745E7,5992.201567,5261.096948,5307.954232,
0.541,951.15973,-,3.238112766E7,,,10,31210.49125,6708.897037,1.625938951E7,3.238112766E7,2.424065021E7,9969524.962,1.22405841E7,2.428798335E7,1.402437834E7,1.428936356E7,500261.0813,1.290522908E7,1.909526541E7,2.507414301E7,1.064783321E7,1.797341839E7,2.147904606E7,1.375754497E7,1.777208669E7,2.872933096E7,1.406427281E7,2.320817438E7,2.713814625E7,3.204843784E7,2.517907095E7,2.325382858E7,1663566.711,3.060056614E7,2.482398323E7,8646979.005,1.818180965E7,2.633747903E7,1.872222895E7,2.447432396E7,1.485493873E7,2.245483967E7,2.32652949E7,2.253245858E7,1.778253729E7,3993011.155,9132579.86,2.666666298E7,1.621188169E7,1.94712827E7,1.627452374E7,1.736864686E7,1.353045353E7,2.449194325E7,8735852.518,2.307745692E7,1.808436902E7,1.352241225E7,1.914217778E7,2.325097103E7,1.802672355E7,1.658884084E7,1.349634223E7,1.56991644E7,1.912593228E7,1.216819847E7,2.03686087E7,1.952822223E7,1.95392155E7,1.543461796E7,9861.40938,94752.40307,72744.08263,
0.542,329.03067,-,2.882770264E8,,,55,35414.6409,7612.606206,1.290198633E8,6.760283668E7,2.097892654E8,2.170598589E8,1.517545593E8,2.321839471E8,1.187354674E8,1.913929003E8,6381284.414,1.404236267E8,1.704726715E8,2.456139444E8,1.932584591E8,2.014200003E8,2.059239164E8,2.258963345E8,1.615572452E8,2.120171038E8,2.015999534E8,2.030765618E8,1.83854689E8,1.926305274E8,2.012114825E8,1.227757857E8,2.215194296E7,2.476182069E8,1.509375578E8,1.143243676E8,1.888038753E8,2.312637404E8,1.666530676E8,2.380384863E8,2.275710026E8,1.895104166E8,1.42463253E8,2.117508135E8,1.723258678E8,1.921839155E8,7.992772545E7,2.422655997E8,2.007342896E8,1.76580237E8,2.328510507E8,1.49293712E8,1.365306586E8,1.129640295E8,1.114404726E8,2.029583592E8,2.08687407E8,1.880087011E8,1.650393384E8,2.077819942E8,1.575765281E8,2.173414414E8,1.282112914E8,2.882770264E8,1.14266418E8,1.452781249E8,1.763548836E8,2.236196209E8,1.790766888E8,1.651242497E8,235854.3305,107515.8446,82542.93541,
0.544,969.13147,-,1.697296037E7,,,14,36157.66032,7772.323038,1.089196547E7,1.697296037E7,1.411259849E7,5828326.675,7216628.264,1.11057182E7,6906003.247,6922304.194,191124.897,8222578.778,1.127504594E7,1.370329001E7,6667397.753,9840100.241,6517963.745,1.183950107E7,7109025.966,1.254660283E7,6655209.007,1.02759018E7,6439191.643,1.157831756E7,7618582.024,1.031768275E7,681656.4071,1.4907127E7,7110013.534,5477882.397,4376205.752,1.193709092E7,8089105.403,1.170819083E7,1.038643198E7,8204882.105,3452861.714,1.259404424E7,5381199.414,3022488.127,4954662.345,5136129.347,8558984.538,9870417.448,8912733.398,6381818.965,1.107179045E7,6923498.016,3505334.308,1.191793486E7,9341663.344,7580782.643,1.179022047E7,1.093465529E7,7257362.037,9879814.545,6178661.045,6578465.142,8023916.555,4351532.486,1.132409027E7,1.04066121E7,8373267.305,9059848.112,240802.6892,109771.5886,84274.7334,
0.546,623.13641,+,2.010694982E8,,,55,5377.914702,5448.03349,1.933989403E8,1.685819518E8,1.976960003E8,7.780202502E7,7.340652666E7,1.128581787E8,8.068468699E7,5.853738626E7,3737808.536,9.048014174E7,1.098174994E8,7.282328369E7,8.262611705E7,1.150209277E8,1.571867498E8,1.285530759E8,6.750782278E7,1.681324077E8,1.03151334E8,1.248833597E8,2.010694982E8,1.183284349E8,1.814051894E8,1.39694478E8,8682616.178,1.811455506E8,1.517071617E8,5.15989967E7,1.119188717E8,1.839274752E8,8.771581419E7,1.080871904E8,1.621305868E8,1.478779113E8,7.274911627E7,1.643614544E8,1.305016834E8,4.066634192E7,1.012027772E8,1.371890721E8,1.210327337E8,1.120618292E8,1.271020131E8,1.570188358E8,1.459868991E8,7.347166777E7,7.230815419E7,1.695275445E8,1.278870664E8,8.283662876E7,1.80113056E8,1.508205805E8,1.15507526E8,1.258613097E8,1.011030011E8,1.161636376E8,1.583058911E8,7.533022649E7,1.192369012E8,1.640389322E8,1.511861611E8,9.581439098E7,6500.17368,5707.091714,5757.921193,
0.551,291.08359,-,4.234264441E9,,,61,40212.70224,8787.970161,2.044391196E9,4.234264441E9,2.27722987E9,9.474041266E8,8.894794829E8,1.598987146E9,1.338627133E9,1.622973854E9,2.165559911E8,1.441437684E9,1.616394549E9,1.814209668E9,1.200713435E9,1.40853111E9,2.122874107E9,1.611693877E9,1.452457693E9,1.699517286E9,1.149227698E9,1.50238255E9,1.826063311E9,1.365739554E9,2.186566409E9,1.509629691E9,3.747517587E8,2.096053023E9,2.170702013E9,8.7551014E8,1.304232753E9,1.830320737E9,1.23105816E9,1.588445114E9,1.750858335E9,1.457035844E9,2.573042833E9,1.77301926E9,1.52664531E9,9.152313175E8,7.698756509E8,1.771033941E9,1.516254249E9,1.813531937E9,1.664868311E9,1.211621672E9,1.446243079E9,8.128857976E8,8.257389845E8,1.702030818E9,1.542798054E9,1.023908784E9,1.732544189E9,1.479139956E9,1.447830896E9,1.445214612E9,7.902465925E8,1.374632572E9,2.445335401E9,7.743619274E8,1.570888665E9,1.597642482E9,1.72298706E9,1.157658882E9,267808.4466,122082.3517,93726.05226,
0.551,345.08728,+,1.546494749E8,,,4,6094.374114,5542.157117,391151.3932,423187.6575,528240.6961,317728.1557,294561.3809,448459.9339,293346.4444,373127.3465,220975.5335,300181.5879,543354.3935,260152.3134,252838.2734,328992.5235,422392.692,408712.0615,321383.057,404203.4992,415841.0914,329628.8891,491260.3685,327665.3737,405196.2944,425371.0142,190244.8284,382728.5082,373750.0236,239904.6436,430419.9867,431659.7513,271062.7348,370676.9501,409198.755,2611287.949,1.546494749E8,1467814.769,1184495.09,267734.4622,282702.6118,493116.9583,312219.4576,295387.9004,401627.348,400159.0104,609893.5011,446228.855,906924.5055,560904.8548,7580532.272,673770.9789,8388841.743,7194662.948,5197247.337,7301068.939,4275901.707,9067864.506,1.961224221E7,1.594323511E7,3.727984565E7,4.025014433E7,3.020021449E7,1.751478236E7,6563.867029,6101.943209,5814.341422,
0.553,352.99652,-,1.018831529E7,,,21,50312.69939,10995.19496,6825096.787,5076570.353,6153003.856,7656925.299,5584366.714,3024459.611,4245590.656,6153203.139,407859.1343,4883169.683,8016773.29,7476979.778,6790468.666,6829223.759,7327851.114,5322178.531,5498774.885,7810724.808,6668286.793,4702203.515,6580412.431,5354628.289,6843037.193,6004195.368,653076.0724,6481128.877,5808017.377,3559481.492,7972857.241,5915703.343,6723898.132,7201796.721,5885777.034,5585284.127,1.018831529E7,4520904.396,5991200.734,6907760.945,2340818.956,6448254.805,8471776.353,6113765.483,1.001941326E7,5063694.628,6139151.961,5305524.247,4715529.042,6417412.011,8385460.652,5514657.76,5809973.756,7832758.97,6416476.378,8764535.721,3451543.93,6463606.884,3067273.596,4708918.598,5175083.265,6499974.382,5454893.748,5738054.418,335072.3805,152745.086,117266.6951,
0.554,247.09372,-,1.510472985E8,,,35,37945.96119,8292.602986,1.069831072E8,1.380264478E8,1.163224725E8,5.256909939E7,4.536339794E7,9.202207251E7,7.975979929E7,9.289272471E7,1.256690556E7,7.965915047E7,9.441871705E7,1.158570489E8,6.227455556E7,7.725737835E7,1.040164287E8,8.618821966E7,8.571178401E7,9.359769155E7,7.35449235E7,7.585334258E7,1.047307899E8,1.076119813E8,1.134925824E8,9.168594785E7,2.106110082E7,1.190895992E8,1.27764444E8,5.253145107E7,7.39559471E7,9.159425278E7,7.190480433E7,8.761383234E7,1.013426832E8,8.500038077E7,1.510472985E8,1.019024011E8,8.910744302E7,4.416217249E7,4.109904211E7,1.178678689E8,9.091071134E7,8.745403713E7,9.454366152E7,6.10241514E7,7.839877932E7,4.917353153E7,5.267291983E7,9.634607243E7,8.811361838E7,6.109300152E7,1.050694569E8,8.716507712E7,8.422224463E7,8.57415454E7,3.966683176E7,7.72483931E7,1.032582556E8,4.280857476E7,8.105387554E7,9.648661143E7,1.049485921E8,6.462158968E7,252712.4106,115200.7183,88442.82885,
