Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),
0.528,664.07684,+,7218669.692,,,2,Dimer,3616.600742,3754.897464,3712247.69,4213029.868,5481966.285,5732820.418,2463440.998,4482691.845,2542516.677,905840.1358,253656.3125,1418996.303,1481793.169,2260407.361,2342649.712,3412911.141,4254334.191,4679314.973,1604784.46,5445056.33,4599532.174,3119250.935,4601758.763,3466829.197,5682256.682,3184872.116,556497.7247,5798007.053,4095484.566,4869290.725,2998543.784,4534231.636,3793449.701,3695602.308,3237854.872,5564808.542,7218669.692,5372051.874,5375853.964,2108459.394,4061309.217,4130647.87,3999288.837,3868049.035,4442244.035,5158989.226,4806503.707,2778706.176,2488693.259,5523266.275,4255856.668,3776976.474,3904162.889,4763259.967,3117516.798,3200545.57,1716404.519,3967980.548,4451847.713,2456581.174,4949764.501,3271366.771,3898190.561,3586651.849,4371.310119,3837.969412,3872.151793,
0.529,662.08582,+,2.056865039E7,,,4,Dimer,4138.791646,4297.056647,1.367455252E7,1.172024298E7,1.239098928E7,1.812862855E7,1.258055606E7,1.599621309E7,7606702.267,4770949.019,728540.0809,4719379.03,1.599433064E7,1.313608671E7,1.042556879E7,1.347688877E7,1.186753422E7,1.387120132E7,3821497.811,1.793662538E7,1.45157222E7,1.260798049E7,1.44203495E7,1.238816349E7,1.791773486E7,1.254227502E7,1184102.376,2.048230165E7,1.043851905E7,1.587262421E7,1.18057671E7,1.96482658E7,8597840.585,1.185744811E7,1.3186358E7,1.669174783E7,8977302.288,1.916271118E7,1.354077409E7,1.025647068E7,7365356.815,1.551176435E7,1.232093992E7,1.104207065E7,1.666782942E7,2.056865039E7,1.42900789E7,8312441.011,4893155.801,1.951663788E7,1.567929378E7,1.064882211E7,1.524642452E7,9336570.893,9957667.389,1.411210189E7,6162164.861,1.61940432E7,1.318391973E7,1.187315754E7,1.415339009E7,5295644.374,9765148.736,1.210702649E7,5002.471406,4392.123121,4457.358249,
0.53,991.11859,+,9722883.539,,,6,Adduct of existing peak,5222.040196,5421.727995,6383490.891,5113204.911,7034688.492,8240929.795,8821805.141,5859355.722,3451552.149,2629496.667,212488.621,1394605.772,7388733.094,4279788.96,4257604.001,6484325.936,4944385.107,5430494.617,1269100.636,9722883.539,6866435.672,5717243.96,5907265.824,6344689.011,5982874.543,6624401.004,805104.7389,8212348.355,5893255.208,6977196.728,5374156.864,5513538.486,3815191.735,6453450.451,5444943.316,6035962.998,4209307.527,9556220.275,5986139.343,4743079.674,3788623.377,7891318.72,5339975.23,5080227.471,7612817.787,6704872.313,6337972.786,4205959.404,2636151.895,6606906.43,6719493.649,4632162.681,5564186.492,7804880.039,4019695.093,6966186.942,1886822.061,7060151.814,5697791.761,5513679.767,5899307.235,7166797.152,5926878.143,6104698.575,6484.218919,5541.676278,5623.985437,
0.531,661.08264,+,7.778702873E7,,,44,Dimer,4970.354146,5160.417616,4.536171792E7,4.570921887E7,5.895709596E7,7.778702873E7,5.597490564E7,6.140828383E7,1.609821039E7,2.397778878E7,2287957.959,2.853354789E7,5.107808951E7,2.428392099E7,3.158892644E7,5.7918069E7,4.024244858E7,4.374280264E7,1.30102453E7,7.416974017E7,5.86774227E7,4.681903695E7,4.739572246E7,4.591577714E7,5.704576476E7,3.896324761E7,4993394.273,7.313521022E7,4.428908256E7,5.991234024E7,4.805117445E7,6.423450858E7,2.842396954E7,4.628898007E7,4.549743572E7,5.952945267E7,3.895483839E7,6.64251331E7,5.292591909E7,3.459238801E7,3.567815776E7,5.488790925E7,3.258309407E7,3.892072507E7,4.61412958E7,7.416493537E7,4.92579735E7,3.078170339E7,1.777579615E7,7.178658427E7,3.802097892E7,3.420853111E7,5.585260989E7,5.468407144E7,2.606301604E7,4.525376198E7,2.210018005E7,5.666436659E7,5.004314658E7,3.948893135E7,4.646822788E7,6.05213342E7,4.309349982E7,4.11675478E7,6171.699792,5274.584766,5352.926881,
0.532,659.06866,-,6.691757509E7,,,47,Dimer,28520.3541,6130.63465,3.214938742E7,1.860174819E7,4.008853925E7,5.999075257E7,3.524631225E7,3.430982294E7,2.187255025E7,2.805145047E7,1439747.797,2.132119008E7,2.761294813E7,5.253601935E7,3.988471054E7,4.197522669E7,4.04262207E7,5.297104712E7,2.564669503E7,4.343660077E7,4.975351918E7,4.193913865E7,2.628819279E7,4.240555814E7,2.918966944E7,3.078526917E7,4134069.917,5.985951843E7,2.338459487E7,6.209908992E7,2.947096587E7,5.362858236E7,2.060384107E7,4.47832464E7,3.381170481E7,4.025741402E7,2.542148101E7,5.431199385E7,3.172460927E7,3.120534474E7,1.149958554E7,3.542071039E7,3.994429167E7,2.911145524E7,4.934252835E7,3.742651892E7,2.933063765E7,2.42022649E7,1.354076881E7,4.182829761E7,4.050832027E7,3.265630703E7,2.623824693E7,4.749714418E7,3.6510265E7,5.498015041E7,1.586105368E7,6.691757509E7,2.853993879E7,4.258936551E7,3.593391276E7,5.41206791E7,4.535155926E7,4.205162293E7,9011.421356,6850.520434,6319.495392,
0.532,971.14502,+,1.265219697E7,,,16,Adduct of existing peak,4398.50536,4566.701663,9200948.946,4346295.556,1.020968309E7,8766926.649,8048807.228,8117746.838,5236215.072,2513821.075,193833.0011,2170184.311,7922813.151,4888015.291,5489663.137,6639127.202,9287312.1,7714718.242,2270629.018,1.125574917E7,6631522.314,7602476.724,8498543.5,6799271.42,7013922.299,7128203.771,1546564.997,1.265219697E7,7073902.353,7415174.415,4787761.496,1.044749502E7,5534776.177,5966104.818,8703740.856,9786427.518,4958946.434,9246768.549,7456670.903,4680519.173,2470600.0,9611831.459,5692614.934,5902905.202,6335642.964,1.005828698E7,6738315.882,4836621.502,3641888.821,9842016.27,7927919.593,5843622.367,8544865.982,8707308.078,6660566.388,8275560.971,4128104.151,8815462.355,6849380.01,5813269.572,7530752.505,8479968.677,1.083524692E7,7197139.067,5316.381972,4667.733663,4709.306233,
0.533,660.07056,-,1.670651075E7,,,2,Dimer,18544.47364,3986.254597,8626049.648,6864835.356,6373088.976,1.670651075E7,1.276875364E7,1.105016596E7,6418664.658,7518588.681,173601.4498,4276957.186,7591384.083,1.220768871E7,1.10989077E7,1.130587554E7,1.235917634E7,7700518.074,8554331.134,1.330239665E7,1.284157791E7,1.077416158E7,6891450.765,1.078313003E7,6981775.465,7053603.279,489606.8165,1.481073518E7,5590766.532,1.553737019E7,9616951.619,1.240782811E7,5910746.234,1.287635937E7,7852919.848,1.356672072E7,8173504.503,1.404459449E7,1.131463897E7,1.272738202E7,4717707.542,7240645.109,1.011001978E7,1.021661009E7,1.343172951E7,9721035.892,7322957.758,7092027.518,4335982.7,1.269784584E7,9618258.199,1.171204296E7,7581713.875,1.133722734E7,8773775.732,9420733.485,8780611.324,1.585890918E7,6201431.302,1.191225842E7,8181078.59,1.38508512E7,1.117162433E7,9717856.32,5313.027548,4312.45238,4109.055423,
0.533,355.0112,+,4341629.224,,,2,Adduct of existing peak,7771.929755,8069.123857,2172333.086,4341629.224,2568496.775,1926398.529,1624131.008,818817.7584,2019027.508,1004935.169,505512.5896,958064.5205,1573332.45,1127473.503,2487465.21,1566239.54,2567005.524,1704995.356,924050.8369,2137182.704,2488752.667,1052277.139,1206123.553,1965599.176,3424306.581,2352052.745,1625495.339,1159408.123,1444166.898,2129276.547,612705.8451,1812885.95,1492978.999,1209467.497,2545921.386,2629589.111,2463794.151,2751410.448,2865726.288,3203347.759,1122541.993,1926605.635,2347939.514,1910338.152,2262959.629,1657721.819,3151035.978,3182951.161,669679.6433,1913457.664,2552592.727,1303233.717,1727214.268,2321755.131,2364093.927,2347561.154,1634538.832,2355874.96,1439651.119,1438833.074,2868617.104,2527505.804,2519570.821,2114587.962,9650.422453,8686.209425,8370.142343,
0.535,331.0448,+,1.332896147E8,,,47,Adduct of existing peak,5557.230318,5769.735594,6.419380441E7,8.209289598E7,1.0230621E8,1.244272549E8,8.617530197E7,1.332896147E8,5.255978165E7,6.611734263E7,3885110.633,3.84725451E7,6.620262752E7,7.27028801E7,8.541352789E7,8.273856825E7,6.792580509E7,8.838407883E7,2.601802617E7,1.136783847E8,1.027441554E8,8.714009132E7,6.535950775E7,8.445598381E7,1.036035637E8,8.993756762E7,1.257152705E7,1.254354102E8,5.953528321E7,9.993840874E7,7.94071159E7,1.03488065E8,6.352822941E7,9.567435675E7,9.491144444E7,1.067771427E8,5.847410789E7,8.510366221E7,1.021607351E8,7.088779314E7,4.938645988E7,9.134142722E7,7.910561956E7,8.195667919E7,9.50091713E7,1.064909378E8,1.017580959E8,1.640784696E7,3.701442946E7,1.290696293E8,1.060949813E8,8.275270578E7,9.473924446E7,1.323901144E8,7.687630285E7,1.050559943E8,6.006925861E7,1.105973873E8,8.398947705E7,5.506736876E7,8.078599471E7,1.086793921E8,9.687326402E7,8.007666019E7,6900.425239,5897.383067,5984.975452,
0.535,975.14276,+,9245987.915,,,4,Adduct of existing peak,4512.215141,4684.75964,6938273.132,4792313.649,8260286.725,7959683.402,7804184.914,5934775.343,3422542.895,1410138.42,329731.7123,1678339.179,7251868.137,3439336.847,4485665.583,6445158.36,6445123.71,6032489.547,1281875.282,8962480.785,6971550.671,4780020.198,6310662.535,6131162.605,8319992.841,6019274.07,1801508.762,9245987.915,5891222.905,7745034.983,4108430.373,8733746.168,4024708.329,4080129.063,6021670.419,8018383.187,6143956.29,7067061.981,7156390.677,4187423.474,5339628.29,8135990.296,6028212.064,5064166.058,8110536.768,7841258.949,7037369.416,4411520.63,2936858.94,8742582.024,5817739.722,5140262.408,6421606.023,6877892.309,4500571.729,6549318.788,2672520.739,7364011.849,6658707.759,5640533.781,6980757.808,5713726.699,7399548.339,5412648.985,5453.82062,4788.403511,4831.050812,
