Name,Precursor,Retention,Sample,DotProduct,GaussianScore,Polarity,Purity,Associated
LysoPI 20:4,619.29,0.881,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),789.0,0.9809304219154326,-,100,Associated
AC 14:1,370.295,0.935,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),953.0,0.9809304219154316,+,100,Associated
LysoPC 20:5,542.325,1.003,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),742.0,0.14582109863502027,+,0,Associated
LysoPC 16:0,496.34,1.087,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),931.0,1.0,+,0,Associated
LysoPC 20:4,544.34,1.089,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),869.0,0.022966135204771265,+,0,Associated
LysoPC 16:0,554.347,1.097,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),688.0,0.5000061334372912,-,100,Associated
LysoPC 22:6,568.34,1.111,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),782.0,5.941242610455999E-6,+,0,Associated
LysoPC 18:2,520.34,1.245,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),879.0,0.02296613520477116,+,0,Associated
LysoPC 20:4,544.34,1.267,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),867.0,0.09732460343509035,+,0,Associated
LysoPC 22:6,568.34,1.288,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),945.0,0.9809304219154327,+,0,Associated
LysoPC 18:2,520.34,1.352,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),870.0,1.0,+,0,Associated
LysoPC 22:5,570.356,1.418,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),815.0,0.9809304219154312,+,0,Associated
LysoPC 16:0,496.34,1.462,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),863.0,0.0038321355064537686,+,0,Associated
LysoPC 20:3,546.355,1.464,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),816.0,0.14582109863502038,+,0,Associated
LysoPC 16:0,554.347,1.493,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),772.0,0.02296613520477056,-,100,Associated
LysoPC 18:1,522.355,1.548,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),900.0,2.2254901363271075E-6,+,0,Associated
LysoPE 16:0,452.279,1.56,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),742.0,0.92587597423474,-,100,Associated
AC 16:0,400.342,1.569,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),849.0,0.0038321355064538636,+,0,Associated
LysoPC 16:0,496.34,1.65,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),935.0,0.6179524970389513,+,0,Associated
LysoPC 18:1,580.363,1.661,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),672.0,0.29163861977566746,-,100,Associated
LysoPC 16:0,554.347,1.682,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),702.0,0.2102299061415247,-,100,Associated
AC 18:1,426.358,1.718,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),646.0,0.09732460343508975,+,0,Associated
LysoPC 18:1,522.356,1.74,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),939.0,0.6179524970389503,+,0,Associated
LysoPC 16:0,496.34,1.832,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),886.0,5.941242610455956E-6,+,0,Associated
AC 18:1,426.358,1.904,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),761.0,0.9809304219154312,+,0,Associated
LysoPC 18:1,522.356,1.929,20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),691.0,0.013140013861681064,+,0,Associated
