Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),
0.146,288.25342,+,2310989.495,,,6,239518.9352,295884.5559,1475696.77,623045.7241,720868.6033,693425.6105,556900.3175,655241.645,584912.5744,404273.1132,305086.6778,414801.6853,474246.402,399476.098,427947.0186,540061.9111,643655.3456,1261255.797,1434994.127,677391.5286,649005.7282,396304.4719,558150.2619,1724242.859,712999.1016,466529.0628,310625.4927,696980.3899,465791.0756,613842.767,423468.1058,650140.5673,451236.0173,424372.8,540150.5762,661080.8113,555107.7941,711614.4983,600834.9293,490546.3695,1326212.094,258283.4554,493085.3364,1996756.605,669697.5557,430221.7144,291492.6935,1234248.038,379867.7108,724760.0425,588476.8848,456619.3373,543874.2186,632380.8192,498070.7394,679027.0452,369140.0179,630070.7662,594402.3425,409833.7997,545710.414,2310989.495,672620.4627,1380362.295,221981.5518,371964.351,346214.3824,
0.456,311.16934,-,6977057.416,,,2,449723.1115,176629.571,3864368.842,3737213.127,4168185.977,2190389.099,4393487.422,2300404.72,2317547.813,5328646.804,643213.3568,3026177.042,3604811.343,1343993.847,4805827.262,2442922.55,3173478.62,2576871.253,3883794.413,1232947.806,2261314.867,5563397.939,2839320.262,2013451.593,3319706.495,2463790.299,2375815.822,3078491.728,2990969.047,1638768.317,1787727.396,4625548.784,3082951.708,1900300.021,2857459.238,2649795.713,2865813.125,6977057.416,2381055.039,1614304.464,2569271.661,2725542.964,2450497.83,4649840.545,2737165.238,3292491.503,3447354.693,4220816.534,3036143.748,2279384.676,4473721.582,1758883.096,3035480.558,2904783.181,4602873.178,3057953.701,3425732.996,2332490.341,3910926.099,6047908.969,3305419.753,2290522.953,3859135.705,2120424.73,949797.9255,1227794.236,604018.619,
0.499,216.85361,-,493542.9192,,,2,77448.76894,15894.94907,9297.696126,72536.35909,8458.43512,26561.58563,9549.781835,44158.51097,14936.94096,15472.30871,2127.800547,16906.18602,58497.77685,10499.99087,6855.145136,431691.529,10475.27642,28035.3782,5233.414187,16386.21931,89939.56057,10392.20088,7693.30793,14853.5252,69631.94754,25894.74156,29884.06819,13873.12991,28645.22388,19767.73615,13342.65312,19559.29667,70600.80068,16583.3947,6420.180809,85277.23435,66977.18457,4414.949539,88485.54743,24531.64072,10958.24905,19769.95304,18515.63864,72795.0603,5415.369193,11179.18618,18541.53831,17498.04558,14749.6639,39994.85198,35533.14388,51764.63996,26286.3254,37316.3373,493542.9192,7281.871841,4471.375173,26071.3089,18325.42661,29299.66473,11270.04269,11924.49674,20898.51235,41020.30843,2943.262047,29836.92617,22906.64672,
0.505,444.97171,-,100665.9867,,,4,1124.599236,1310.745205,3874.973499,67043.57355,2473.170673,44627.02942,1291.492675,26004.19628,3587.918593,18675.29061,1253.025563,2394.659983,34448.34614,6410.891664,6668.832619,22161.19953,2320.325728,1765.839863,3456.944181,28972.34293,24403.89171,6870.324943,6170.523721,23262.54368,25171.5607,2416.660927,1138.977367,7797.693372,16868.68529,5009.764479,47809.29994,4541.382726,78986.10784,30514.86884,9233.867259,26323.74709,39441.72517,2594.445966,10870.89664,11132.77578,13993.10424,17843.1119,21616.60169,100665.9867,2659.748713,33041.86543,5213.636856,27812.45044,2770.328633,23552.28829,27641.13627,48184.47487,18955.58479,12639.37169,2288.520234,15734.43683,1078.537362,5351.171353,25882.696,3065.667824,9235.025689,21379.85058,1269.740911,4546.288028,1733.236975,17570.4585,13489.33477,
0.509,315.04129,-,6774792.291,,,2,2571.24734,2880.095893,1642710.788,3715661.015,5696682.055,5684554.844,2011512.079,5886473.457,1526799.779,1993100.719,2982813.843,2328525.02,1937969.51,2201232.068,2693400.759,4515967.293,215004.4586,2688721.289,2482149.114,3011771.505,2344472.089,504215.5931,6170667.891,1691951.166,2720322.55,6774792.291,1924300.073,3844492.21,1340726.688,3820746.384,1041024.102,3775469.9,1675445.408,1397819.702,101309.3847,272877.6946,238926.1415,124029.3139,274170.9098,64345.95018,54481.84216,284837.4296,119877.2345,432550.7915,74730.0016,273596.0557,223739.6317,131694.65,400843.4028,300062.5792,209243.4754,266832.8623,289319.0884,92595.82585,119305.2881,116258.1604,287823.0765,864026.7741,243487.1587,129754.2783,173359.6079,144119.8354,203483.544,146004.2848,3808.435592,38607.50751,29640.06849,
0.524,349.0549,+,5281741.789,,,4,3614.264179,4214.033583,1867550.89,2543623.156,3635759.81,4996967.869,3591729.465,3814991.841,1601446.43,1725432.188,148132.4677,1163587.085,3715923.469,1329015.203,3263485.108,3061911.58,2033211.103,2994041.549,1268322.99,4019281.725,3920487.523,2972200.144,3466939.598,3072227.365,2139884.082,3027759.724,770285.6256,3698689.54,2302391.744,3788674.279,2765698.781,3824835.445,2405983.313,2899516.061,4095050.446,3531764.437,2156122.201,4183872.929,3194127.76,2948352.616,870958.5347,3702313.816,3029597.521,2464694.657,3413154.28,4149964.985,3429404.621,1221530.717,1421222.627,3971938.423,3277877.095,2936867.702,2838795.349,5281741.789,2471059.233,2913534.025,1849419.905,3624510.043,3281609.094,2060804.153,2628868.295,4169175.007,3381186.89,1351850.758,4273.371394,4212.310026,3958.678067,
0.526,684.05231,+,1691106.152,,,11,4033.381169,4702.700981,1269321.745,1057385.482,1296166.423,1628733.734,1420317.7,895848.3608,708969.2005,252355.5527,166391.1167,499042.3522,832597.888,783069.3041,930399.6458,999853.1089,1110384.058,1204446.384,803926.6624,1373440.205,1374298.139,978894.4231,872653.4779,645282.3979,1311583.762,1177852.011,203839.8701,1691106.152,738891.6646,1344677.748,672424.4458,1233917.355,584823.9013,664481.5943,1048660.634,1442360.13,555656.9323,1578205.441,1464054.431,897671.3463,962913.1179,1428575.958,1035575.176,890042.9759,1494604.222,989257.2568,1449577.529,516329.7514,475404.6884,1624269.782,694866.482,536400.779,897640.249,1560506.134,677934.7881,1140225.014,444465.8065,1375448.145,1362854.689,690353.3784,874343.2187,1189175.908,1366374.179,649771.0829,4768.919718,4700.777557,4417.733951,
0.527,287.05502,+,1.143406718E7,,,30,3897.432729,4408.896024,6442276.886,5986534.713,7542107.228,1.143406718E7,8297673.581,7121589.924,3844243.121,3637230.16,532442.1879,2858394.848,7187036.887,5614484.248,7167994.629,6503322.808,5969819.555,7565604.424,2160682.145,8326367.057,8192878.156,5568860.263,6456340.447,6117605.549,7428683.94,6418411.445,1083628.096,8850853.367,4298928.255,8905985.649,5030242.63,7170918.073,4981801.392,5725204.934,7597928.369,8011074.24,4038261.736,1.026879826E7,7311727.052,5677109.151,1579977.053,8662129.245,6026366.768,5530973.463,8184402.597,7245106.638,7702116.496,1160655.369,1614912.977,9222384.219,6433486.358,6038511.274,6181371.895,9567450.644,5720117.159,7421943.69,3759962.258,7252640.61,7001530.608,4351681.876,6140619.732,8272888.83,7707810.772,3256413.667,4635.081858,4568.85208,4293.751981,
0.53,329.03067,-,2.143586194E8,,,48,5429.958234,5849.495364,1.382604016E8,1.181021995E8,1.57245687E8,2.073512317E8,1.195005606E8,2.037537376E8,9.809500251E7,1.645497467E8,5723501.435,1.29052527E8,1.407827896E8,1.995730701E8,1.590063574E8,1.75982406E8,1.578844962E8,1.038099334E8,1.406036138E8,1.900945609E8,1.709415153E8,1.841760338E8,1.332897831E8,1.721351754E8,1.57098673E8,1.680042061E8,1.696681513E7,1.981993607E8,1.082117988E8,9.590229767E7,1.392706862E8,2.004630079E8,1.396653193E8,2.070355276E8,1.702806285E8,1.63346391E8,9.592873515E7,2.112986324E8,1.531078062E8,1.599871961E8,7.101145772E7,1.773606038E8,1.632518479E8,1.486158687E8,1.923077236E8,1.571113532E8,9.410090248E7,5.269523095E7,1.150697292E8,1.926276128E8,1.607417641E8,1.553706132E8,1.225196716E8,1.1668731E8,1.370519497E8,1.434907648E8,6.768681875E7,2.143586194E8,8.082143515E7,1.354233407E8,1.298218807E8,1.955210142E8,1.689592313E8,1.582888588E8,7906.447811,80150.55943,61533.83691,
0.53,1281.1991,-,2465238.206,,,16,2758.240112,3120.206225,2182346.323,1596506.369,1979380.144,846274.6877,1219514.566,1809936.617,768978.9018,461822.3818,68242.47928,793333.2194,1475069.929,1227356.658,952329.9928,971090.1227,2249982.398,2417176.708,799497.8032,2120667.711,1147563.132,1528590.259,1191905.223,1586301.867,1215724.393,1872568.446,164183.6183,2273868.615,979505.8082,857360.6102,1064307.712,2185876.805,923375.7519,1498144.457,1623590.692,1425079.273,1242233.704,2016880.02,1406387.252,826233.7595,972437.9282,1731069.225,1183021.343,1221041.684,1581893.866,1925644.589,1640730.594,759513.5059,339091.3828,2251620.077,1837376.42,840281.3344,1534097.134,1657086.5,1085305.896,2156393.478,707985.6155,1628488.324,1419036.574,1325933.126,1807900.476,2465238.206,1937311.802,1605255.404,3280.279505,3233.408232,3038.717989,
