File,Feature Groups,Avg. Peak FWHM (min.),Peak Capacity,Identified Lipids,Avg. MS2 Purity,Avg. Lipid Mass Error(ppm)
20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),68,0.076,238.657,0,0.0,-1.129
20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),26,0.087,178.367,0,NaN,-1.226
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),2700,0.099,206.747,287,52.331,0.331
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),2684,0.101,202.396,285,43.107,0.059
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),2909,0.099,209.898,324,49.6,0.53
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),2826,0.097,219.742,315,42.91,0.427
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),2628,0.095,217.399,269,46.325,0.329
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),2845,0.095,217.273,303,45.504,0.593
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),2428,0.103,195.941,247,47.866,0.122
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),3402,0.102,205.676,385,49.054,0.546
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),1785,0.101,193.821,180,35.27,-0.134
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),2715,0.095,212.652,306,47.602,0.155
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),2956,0.094,218.563,313,47.734,0.25
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),3119,0.099,214.616,351,46.79,0.306
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),2880,0.103,212.815,313,48.64,0.227
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),2695,0.098,208.602,284,41.278,0.578
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),2985,0.099,219.939,302,46.252,0.379
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),2766,0.096,212.916,295,46.11,0.401
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),2678,0.098,212.02,301,48.54,0.352
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),2938,0.101,216.475,334,45.076,0.65
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),2651,0.098,206.061,270,47.35,0.509
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),2806,0.103,198.388,312,43.8,0.474
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),3208,0.101,216.445,343,53.459,0.702
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),3524,0.102,212.843,390,51.712,-0.022
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),3163,0.1,204.89,328,51.384,0.273
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),3667,0.101,214.831,411,51.772,0.071
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),2259,0.103,193.126,242,46.5,-0.301
