Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),
0.523,498.05923,+,7872146.171,,,29,7125.191366,19369.39286,1832677.568,3554009.694,2929167.077,2176986.225,1541119.015,933457.4547,7872146.171,963689.0378,2255306.811,2358873.541,2254143.175,1585026.313,2094627.271,2984700.348,3556915.46,1524666.026,934051.5407,3226756.775,4563950.387,1433239.842,2207848.038,2731389.034,2737670.864,1480993.996,2016697.891,2959399.876,1683435.097,547134.5314,1091376.117,1486943.233,3420531.533,1037916.061,1019861.796,4224567.038,519900.7589,3811758.704,5749930.277,966953.5535,651430.3089,1865583.716,3013235.385,1778180.751,2013035.301,949295.2822,4374748.194,734471.3167,4215166.382,3420921.204,1781964.357,1544080.063,2748197.868,1032460.585,793142.5033,602014.3348,1404999.191,3886336.821,2341797.14,1877184.81,1469580.994,1447221.307,1948891.246,733377.7536,8424.560977,8304.184072,7804.171855,
0.527,287.05502,+,1.143406718E7,,,30,3897.432729,4408.896024,6442276.886,5986534.713,7542107.228,1.143406718E7,8297673.581,7121589.924,3844243.121,3637230.16,532442.1879,2858394.848,7187036.887,5614484.248,7167994.629,6503322.808,5969819.555,7565604.424,2160682.145,8326367.057,8192878.156,5568860.263,6456340.447,6117605.549,7428683.94,6418411.445,1083628.096,8850853.367,4298928.255,8905985.649,5030242.63,7170918.073,4981801.392,5725204.934,7597928.369,8011074.24,4038261.736,1.026879826E7,7311727.052,5677109.151,1579977.053,8662129.245,6026366.768,5530973.463,8184402.597,7245106.638,7702116.496,1160655.369,1614912.977,9222384.219,6433486.358,6038511.274,6181371.895,9567450.644,5720117.159,7421943.69,3759962.258,7252640.61,7001530.608,4351681.876,6140619.732,8272888.83,7707810.772,3256413.667,4635.081858,4568.85208,4293.751981,
0.53,329.03067,-,2.143586194E8,,,48,5429.958234,5849.495364,1.382604016E8,1.181021995E8,1.57245687E8,2.073512317E8,1.195005606E8,2.037537376E8,9.809500251E7,1.645497467E8,5723501.435,1.29052527E8,1.407827896E8,1.995730701E8,1.590063574E8,1.75982406E8,1.578844962E8,1.038099334E8,1.406036138E8,1.900945609E8,1.709415153E8,1.841760338E8,1.332897831E8,1.721351754E8,1.57098673E8,1.680042061E8,1.696681513E7,1.981993607E8,1.082117988E8,9.590229767E7,1.392706862E8,2.004630079E8,1.396653193E8,2.070355276E8,1.702806285E8,1.63346391E8,9.592873515E7,2.112986324E8,1.531078062E8,1.599871961E8,7.101145772E7,1.773606038E8,1.632518479E8,1.486158687E8,1.923077236E8,1.571113532E8,9.410090248E7,5.269523095E7,1.150697292E8,1.926276128E8,1.607417641E8,1.553706132E8,1.225196716E8,1.1668731E8,1.370519497E8,1.434907648E8,6.768681875E7,2.143586194E8,8.082143515E7,1.354233407E8,1.298218807E8,1.955210142E8,1.689592313E8,1.582888588E8,7906.447811,80150.55943,61533.83691,
0.53,679.0553,+,7521379.134,,,93,3847.190387,4352.060338,5410318.554,6063170.084,6254715.145,7521379.134,5278556.913,5767992.259,3534151.484,2278909.843,233683.8689,2173338.463,5818156.162,5526829.945,4413100.891,4839063.604,5388049.832,3943728.936,4747239.549,6420365.798,5641480.81,4463686.553,5616111.79,4337327.273,6580536.313,4892056.003,600363.0213,7370671.562,4037445.212,5534742.778,4485880.457,6695573.505,4064691.553,4443276.982,5960602.976,6614814.215,3076585.777,7332122.367,7101394.48,4455018.982,4312103.09,5491850.685,4758968.512,5503185.585,4825428.957,6349562.692,5118083.612,3786055.921,3300670.616,7184949.572,4676161.873,5081180.774,5724765.782,6685156.203,4537222.315,5792005.106,3364101.442,5850536.733,4652164.275,5065307.689,2173698.508,2341214.636,6022939.537,1900912.744,4575.33038,4509.954378,4238.400633,
0.532,990.10492,+,6392547.568,,,25,4078.546836,4613.777883,1176294.563,4053037.397,4920339.576,6392547.568,1928418.648,881538.463,1902902.592,2133854.394,169236.6264,1097916.355,3874365.74,3341605.769,3175341.245,4196214.071,1515153.908,4870286.955,2932937.0,5509436.965,4923706.045,1152316.887,3611632.078,992568.0788,4951624.747,4409254.677,670033.4503,1197288.593,3115572.637,4925713.109,3621919.967,4950545.536,2362349.244,4072003.76,1550017.055,5110772.027,2253309.885,6232342.807,4560249.361,1096912.703,1217401.7,5273628.79,3969635.931,1097199.358,1289060.21,5428591.301,1240809.664,2933924.942,2198640.102,6028457.544,3377575.449,3068493.046,3964247.985,5565789.07,3498719.937,4922068.343,2459403.827,4837824.894,3732371.498,3884927.048,3599398.939,5072651.786,4543646.634,869237.1671,4850.474597,4781.167114,4493.283085,
0.532,975.14197,+,5270352.573,,,79,3507.332197,3967.602278,3924588.614,2889169.335,4397431.51,4715146.868,4228232.991,3562952.964,1693141.471,1596111.52,145534.4495,881752.506,3683528.164,2918296.417,2402779.467,3053260.276,4067638.0,3768048.703,2966784.804,4968165.766,3799847.9,2744117.83,3495486.599,2590526.51,3800736.91,3431904.321,388212.9293,4600487.056,3081009.312,4844088.225,2878769.038,4439285.926,2034222.267,2491950.407,3371164.995,4194454.104,3025822.468,5270352.573,3761323.883,2499682.098,2819510.964,3919344.785,2788342.626,2781549.928,4442185.693,4001949.312,4063439.905,2506371.128,1356162.901,5255884.723,2989609.048,2409443.321,3415237.309,4057660.185,2380058.259,3498101.084,1566715.242,3955639.788,3257988.838,2924236.321,3539239.122,3847891.923,4134025.6,2994667.089,4171.148796,4111.548067,3863.983195,
0.534,352.99805,-,4896795.628,,,88,8377.624571,9224.995149,2103693.278,3267754.156,4046613.163,4799537.116,2254130.908,4674122.663,2778717.446,3314247.894,237112.2712,3060398.55,3597513.843,4454639.983,3742309.071,2336778.315,3726446.448,4123553.705,3482996.639,3744476.997,3532225.036,3350296.518,3592533.245,1000239.824,3739086.161,4372891.229,271086.298,3797042.771,3675445.91,4809658.574,3649709.873,4360083.244,3383095.09,4047359.885,3788888.327,3198610.158,4896795.628,3997203.486,3277717.52,4228710.522,1271369.066,3835250.743,4754443.453,1952089.053,4636474.509,1417778.343,3461408.673,3458649.466,3079484.278,4699821.515,3718251.228,3348634.475,1905552.651,4724594.062,3869145.232,2424460.069,1932359.431,4342233.235,2254381.37,3334481.271,3872247.084,3644544.498,3832838.018,3686442.468,12198.48268,123660.49,94937.63338,
0.535,329.03073,-,1.155407884E8,,,90,3917.54169,4431.6439,6.873392653E7,6.27143177E7,8.411714981E7,1.155407884E8,8.776575856E7,7.743441669E7,4.230199091E7,5.405979385E7,4812437.915,3.479098353E7,6.455687117E7,2.516398645E7,8.04295894E7,7.603953202E7,7.043278003E7,8.275411712E7,3.964560311E7,9.53914551E7,8.919136752E7,6.665526962E7,6.658188388E7,7.561802738E7,8.552751207E7,7.337283054E7,1.294650028E7,1.011448499E8,4.768483132E7,9.773197124E7,5.746980421E7,8.872564843E7,5.507706027E7,7.326373685E7,8.593277514E7,8.583055163E7,4.745298238E7,1.113259447E8,8.186701076E7,6.307825254E7,4.025528816E7,7.811659122E7,7.379359213E7,6.378952215E7,9.437534673E7,7.768835834E7,7.600947877E7,2.971761101E7,3.511974735E7,1.025890727E8,7.350402739E7,6.491551992E7,6.769534265E7,1.032882867E8,6.388066415E7,7.960067094E7,4.442038935E7,8.887651131E7,7.266884576E7,5.176872689E7,7.619520663E7,9.422183552E7,7.998142189E7,7.109522587E7,4658.996749,4592.425256,4315.905767,
0.539,951.15942,-,2.145503326E7,,,81,4663.70852,5024.042578,1.512414803E7,2.145503326E7,1.831676711E7,6420252.624,8176617.678,1.508225535E7,8302071.119,9463896.461,386001.291,9283312.769,1.496216764E7,1.996167918E7,8149826.768,1.153312385E7,1.519955875E7,1.398127377E7,1.329341527E7,1.764913568E7,9230966.957,1.401848171E7,1.549048631E7,1.704652874E7,1.612834132E7,1.552960988E7,1165734.263,2.102008399E7,1.434694294E7,5076172.464,1.05852546E7,1.760022413E7,9759606.151,1.441150447E7,1.156456731E7,1.363515405E7,4685500.417,1.773956066E7,1.127604411E7,3507058.15,7735809.301,1.62202445E7,1.11965968E7,1.156156676E7,1.314344781E7,1.456732694E7,1.258975996E7,1.673756984E7,8450815.932,1.456116881E7,1.098496601E7,8232302.633,1.579683685E7,1.546029674E7,1.20007066E7,1.465010996E7,1.36307161E7,1.089654823E7,1.243426757E7,8335948.988,1.323168537E7,1.554880148E7,1.678145745E7,1.0574249E7,6790.727742,51188.36999,41226.12446,
0.541,347.00339,-,1.458702819E7,,,58,6377.006599,7074.156403,5113059.167,4881667.415,1.36363543E7,1.458702819E7,5071346.819,9017237.434,8540839.084,9530831.921,1339917.55,7338487.041,1.204282376E7,9038836.699,1.066043493E7,1.023454232E7,1.12982598E7,5418755.55,6972190.832,1.207469084E7,1.215696696E7,9411081.469,9865048.094,8415723.647,1.334919494E7,4942898.015,1780697.698,1.284941411E7,9490295.848,7848677.681,1.156484451E7,1.252473664E7,1.081251436E7,1.016411348E7,1.144753458E7,1.30982059E7,1.108630976E7,6763950.96,1.324035372E7,1.034274499E7,6048092.6,1.236122211E7,4482394.542,1.298728727E7,1.240816632E7,1.105837896E7,5616620.038,2768640.73,6777894.327,1.224700212E7,1.04969754E7,1.164353041E7,1.241871462E7,1.256161702E7,1.165080087E7,8788540.18,7581721.535,1.187170557E7,1.009577277E7,6488819.959,1.038914407E7,3795537.877,1.071292997E7,3077408.493,7437.075819,7330.808897,6889.405627,
