File,Feature Groups,Avg. Peak FWHM (min.),Peak Capacity,Identified Lipids,Avg. MS2 Purity,Avg. Lipid Mass Error(ppm)
20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),45,0.085,183.305,0,0.0,-1.129
20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),17,0.099,147.929,0,NaN,-1.226
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),2147,0.092,222.01,280,52.331,0.331
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),2132,0.093,219.806,278,43.107,0.059
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),2287,0.092,222.108,317,49.6,0.53
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),2259,0.093,219.849,300,42.91,0.427
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),2167,0.09,224.322,267,46.325,0.329
20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),2312,0.092,222.173,295,45.504,0.593
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),1980,0.092,219.369,242,47.866,0.122
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),2415,0.093,219.784,369,49.054,0.546
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),1521,0.094,208.255,177,35.27,-0.134
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),2201,0.089,226.988,299,47.602,0.155
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),2329,0.089,226.898,299,47.734,0.25
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),2367,0.092,222.26,340,46.79,0.306
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),2270,0.093,219.612,301,48.64,0.227
20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),2217,0.093,219.817,277,41.278,0.578
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),2393,0.092,222.326,287,46.252,0.379
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),2258,0.091,224.615,285,46.11,0.401
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),2236,0.092,219.38,292,48.54,0.352
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),2292,0.093,219.709,322,45.076,0.65
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),2222,0.091,221.912,265,47.35,0.509
20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),2266,0.095,215.094,310,43.8,0.474
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),2334,0.091,224.483,335,53.459,0.702
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),2394,0.091,224.494,361,51.712,-0.022
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),2342,0.091,224.626,318,51.384,0.273
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),2334,0.091,224.725,372,51.772,0.071
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),1832,0.094,211.617,236,46.5,-0.301
20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),2424,0.095,215.126,363,49.221,0.384
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),2207,0.092,219.554,283,50.044,0.692
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),2325,0.094,217.521,349,48.747,0.347
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),1989,0.091,218.648,244,45.056,0.308
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),2388,0.094,217.393,360,50.956,0.214
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),1965,0.09,224.555,248,42.162,0.192
20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),2365,0.093,219.849,343,48.064,0.325
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),2126,0.094,214.914,250,46.738,0.968
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),2049,0.088,226.068,266,40.325,0.561
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),2449,0.093,219.881,357,46.886,0.452
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),2240,0.092,222.152,283,42.723,0.576
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),2111,0.093,217.182,255,44.391,0.505
20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),1851,0.087,228.724,224,36.921,0.608
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),2183,0.089,227.056,265,44.98,0.54
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),2217,0.092,222.163,304,41.527,0.345
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),2141,0.091,222.087,273,44.04,0.213
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),2103,0.092,216.26,284,40.895,0.671
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),2247,0.09,224.288,287,45.657,0.736
20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),2151,0.09,220.844,282,41.728,0.237
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),2184,0.091,224.318,268,45.753,0.542
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),2209,0.09,227.077,295,43.307,0.532
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),2157,0.092,222.108,278,45.814,0.326
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),2352,0.094,217.34,324,45.1,0.435
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),2227,0.09,224.433,281,46.595,0.617
20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),2140,0.091,218.428,272,41.615,0.323
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),2181,0.093,217.139,273,47.084,0.637
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),2288,0.091,218.626,294,43.441,0.299
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),2238,0.093,217.182,273,45.505,0.42
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),2408,0.092,222.228,320,47.131,0.899
20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),2074,0.09,221.066,273,45.197,0.49
