Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210322_8wk_FBG.raw (F3),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210325_8wk_RBG.raw (F4),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210329_9wk_FBG.raw (F5),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210401_9wk_RBG.raw (F6),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210405_10wk_FBG.raw (F7),20210729_AJ_Toh_RatBloodGlucose_T1060M_20210408_10wk_RBG.raw (F8),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210322_8wk_FBG.raw (F9),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210325_8wk_RBG.raw (F10),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC2.raw (F12),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210401_9wk_RBG.raw (F14),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210405_10wk_FBG.raw (F15),20210729_AJ_Toh_RatBloodGlucose_T1062M_20210408_10wk_RBG.raw (F16),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210322_8wk_FBG.raw (F17),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210325_8wk_RBG.raw (F18),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210329_9wk_FBG.raw (F19),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210401_9wk_RBG.raw (F20),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210405_10wk_FBG.raw (F21),20210729_AJ_Toh_RatBloodGlucose_T1074M_20210408_10wk_RBG.raw (F22),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210322_8wk_FBG.raw (F23),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210325_8wk_RBG.raw (F24),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210329_9wk_FBG.raw (F25),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210401_9wk_RBG.raw (F26),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210405_10wk_FBG.raw (F27),20210729_AJ_Toh_RatBloodGlucose_T1076M_20210408_10wk_RBG.raw (F28),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210322_8wk_FBG.raw (F29),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210325_8wk_RBG.raw (F30),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210329_9wk_FBG.raw (F31),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210401_9wk_RBG.raw (F32),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210405_10wk_FBG.raw (F33),20210729_AJ_Toh_RatBloodGlucose_T1082M_20210408_10wk_RBG.raw (F34),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210327_8wk_FBG.raw (F35),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210330_8wk_RBG.raw (F36),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210402_9wk_FBG.raw (F37),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210406_9wk_RBG.raw (F38),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210410_10wk_FBG.raw (F39),20210729_AJ_Toh_RatBloodGlucose_T1091M_20210413_10wk_RBG.raw (F40),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210327_8wk_FBG.raw (F41),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210330_8wk_RBG.raw (F42),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210402_9wk_FBG.raw (F43),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210406_9wk_RBG.raw (F44),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210410_10wk_FBG.raw (F45),20210729_AJ_Toh_RatBloodGlucose_T1092M_20210413_10wk_RBG.raw (F46),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210327_8wk_FBG.raw (F47),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210330_8wk_RBG.raw (F48),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210402_9wk_FBG.raw (F49),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210406_9wk_RBG.raw (F50),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210410_10wk_FBG.raw (F51),20210729_AJ_Toh_RatBloodGlucose_T1093M_20210413_10wk_RBG.raw (F52),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210327_8wk_FBG.raw (F53),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210330_8wk_RBG.raw (F54),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210402_9wk_FBG.raw (F55),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210406_9wk_RBG.raw (F56),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210410_10wk_FBG.raw (F57),20210729_AJ_Toh_RatBloodGlucose_T1101M_20210413_10wk_RBG.raw (F58),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210327_8wk_FBG.raw (F59),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210330_8wk_RBG.raw (F60),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210402_9wk_FBG.raw (F61),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210406_9wk_RBG.raw (F62),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210410_10wk_FBG.raw (F63),20210729_AJ_Toh_RatBloodGlucose_T1102M_20210413_10wk_RBG.raw (F64),20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),
0.523,498.05923,+,7872146.171,,,29,,7125.191366,19369.39286,1832677.568,3554009.694,2929167.077,2176986.225,1541119.015,933457.4547,7872146.171,963689.0378,2255306.811,2358873.541,2254143.175,1585026.313,2094627.271,2984700.348,3556915.46,1524666.026,934051.5407,3226756.775,4563950.387,1433239.842,2207848.038,2731389.034,2737670.864,1480993.996,2016697.891,2959399.876,1683435.097,547134.5314,1091376.117,1486943.233,3420531.533,1037916.061,1019861.796,4224567.038,519900.7589,3811758.704,5749930.277,966953.5535,651430.3089,1865583.716,3013235.385,1778180.751,2013035.301,949295.2822,4374748.194,734471.3167,4215166.382,3420921.204,1781964.357,1544080.063,2748197.868,1032460.585,793142.5033,602014.3348,1404999.191,3886336.821,2341797.14,1877184.81,1469580.994,1447221.307,1948891.246,733377.7536,8424.560977,8304.184072,7804.171855,
0.527,287.05502,+,1.143406718E7,,,30,,3897.432729,4408.896024,6442276.886,5986534.713,7542107.228,1.143406718E7,8297673.581,7121589.924,3844243.121,3637230.16,532442.1879,2858394.848,7187036.887,5614484.248,7167994.629,6503322.808,5969819.555,7565604.424,2160682.145,8326367.057,8192878.156,5568860.263,6456340.447,6117605.549,7428683.94,6418411.445,1083628.096,8850853.367,4298928.255,8905985.649,5030242.63,7170918.073,4981801.392,5725204.934,7597928.369,8011074.24,4038261.736,1.026879826E7,7311727.052,5677109.151,1579977.053,8662129.245,6026366.768,5530973.463,8184402.597,7245106.638,7702116.496,1160655.369,1614912.977,9222384.219,6433486.358,6038511.274,6181371.895,9567450.644,5720117.159,7421943.69,3759962.258,7252640.61,7001530.608,4351681.876,6140619.732,8272888.83,7707810.772,3256413.667,4635.081858,4568.85208,4293.751981,
0.53,329.03067,-,2.143586194E8,,,48,,5429.958234,5849.495364,1.382604016E8,1.181021995E8,1.57245687E8,2.073512317E8,1.195005606E8,2.037537376E8,9.809500251E7,1.645497467E8,5723501.435,1.29052527E8,1.407827896E8,1.995730701E8,1.590063574E8,1.75982406E8,1.578844962E8,1.038099334E8,1.406036138E8,1.900945609E8,1.709415153E8,1.841760338E8,1.332897831E8,1.721351754E8,1.57098673E8,1.680042061E8,1.696681513E7,1.981993607E8,1.082117988E8,9.590229767E7,1.392706862E8,2.004630079E8,1.396653193E8,2.070355276E8,1.702806285E8,1.63346391E8,9.592873515E7,2.112986324E8,1.531078062E8,1.599871961E8,7.101145772E7,1.773606038E8,1.632518479E8,1.486158687E8,1.923077236E8,1.571113532E8,9.410090248E7,5.269523095E7,1.150697292E8,1.926276128E8,1.607417641E8,1.553706132E8,1.225196716E8,1.1668731E8,1.370519497E8,1.434907648E8,6.768681875E7,2.143586194E8,8.082143515E7,1.354233407E8,1.298218807E8,1.955210142E8,1.689592313E8,1.582888588E8,7906.447811,80150.55943,61533.83691,
0.53,661.08246,+,4.950887141E7,,,116,Adduct of existing peak,3613.157474,4087.315093,3.31737379E7,3.011016375E7,3.738224435E7,4.877731044E7,3.80453141E7,3.77645478E7,1.62931144E7,1.43811692E7,1759041.912,8972994.926,3.300799675E7,3.054549623E7,2.479913197E7,3.137049065E7,3.358772542E7,3.856283969E7,2.877492809E7,4.463277412E7,3.767944126E7,2.816011222E7,3.236921773E7,2.750352822E7,3.831191671E7,3.388022539E7,4694493.96,4.888695246E7,2.16810124E7,4.157392852E7,2.568105016E7,4.402720078E7,1.772168196E7,2.853870376E7,3.582001085E7,3.847970969E7,1.760517185E7,4.863789244E7,3.439954997E7,2.379448473E7,2.296872786E7,3.603638739E7,2.822524962E7,2.379776295E7,4.578723022E7,4.03819713E7,3.517994499E7,2.253745761E7,1.591266201E7,4.950887141E7,2.88571216E7,2.437370754E7,3.137459252E7,4.498781991E7,2.301423987E7,3.794393148E7,1.741705583E7,3.777607246E7,3.065451751E7,2.628717447E7,2.917206917E7,4.007945019E7,3.785047555E7,2.656224803E7,4297.003136,4235.604098,3980.569554,
0.53,679.0553,+,7521379.134,,,93,,3847.190387,4352.060338,5410318.554,6063170.084,6254715.145,7521379.134,5278556.913,5767992.259,3534151.484,2278909.843,233683.8689,2173338.463,5818156.162,5526829.945,4413100.891,4839063.604,5388049.832,3943728.936,4747239.549,6420365.798,5641480.81,4463686.553,5616111.79,4337327.273,6580536.313,4892056.003,600363.0213,7370671.562,4037445.212,5534742.778,4485880.457,6695573.505,4064691.553,4443276.982,5960602.976,6614814.215,3076585.777,7332122.367,7101394.48,4455018.982,4312103.09,5491850.685,4758968.512,5503185.585,4825428.957,6349562.692,5118083.612,3786055.921,3300670.616,7184949.572,4676161.873,5081180.774,5724765.782,6685156.203,4537222.315,5792005.106,3364101.442,5850536.733,4652164.275,5065307.689,2173698.508,2341214.636,6022939.537,1900912.744,4575.33038,4509.954378,4238.400633,
0.53,991.12073,+,5716986.535,,,77,Adduct of existing peak,3707.832757,3994.312587,2843877.918,4007990.84,3942300.513,3862664.718,4337935.135,4003575.663,2523028.985,2265856.408,95292.23672,2329759.699,3454711.814,5218926.38,3011459.397,4100582.534,4493769.722,4339344.652,3172343.623,4782643.823,4127835.68,4001135.612,3155707.246,4650267.272,4021455.6,3753258.9,439698.8167,5716986.535,1981925.37,4326817.808,2943837.336,4821057.005,2803481.694,5125363.196,2583695.694,4011517.001,1776675.785,4551846.379,4294956.852,2449604.103,1603321.754,3843331.693,2960658.617,3207253.168,4113193.13,4023098.713,3935219.091,4099064.944,2470540.822,4014409.63,2923233.667,3475912.495,3038057.784,4272604.655,2774453.42,4518541.232,2933066.002,3708794.129,2388777.604,3565701.678,3331635.277,4377747.678,3065273.865,3968265.567,5398.897178,41184.5214,32776.39974,
0.531,665.07556,+,3645845.822,,,33,Adduct of existing peak,4160.769681,4706.7909,2508634.874,2706684.037,3258616.861,3541333.843,2442342.728,2756372.312,1309492.0,768701.037,172648.4095,944370.2477,3211532.277,2327321.571,1904568.476,2248106.69,2524516.689,2861545.865,850572.5401,3426020.227,3138806.246,1332853.647,2476240.742,2022147.014,3321426.588,2261386.757,181789.1275,3436997.62,1799533.973,2913656.187,2015161.817,3117685.0,1821770.213,1898669.442,2786616.003,3470570.875,1471498.599,3645845.822,2939674.963,1868244.198,2039729.965,2432263.776,2256672.138,1971944.73,3160874.112,3025109.897,2684898.394,1535747.157,1607135.586,3173035.167,2284771.176,1920890.684,2640711.871,2845862.671,1917647.402,3055313.305,932214.7388,2768279.678,2452203.995,2094011.618,2635719.571,3284979.912,2511316.298,1787485.078,4948.259382,4877.554671,4583.866947,
0.531,1009.09363,+,2159825.928,,,38,Adduct of existing peak,3846.123544,4350.853492,1413656.428,1824339.116,1482988.618,1534828.169,1376066.834,1642476.516,658466.5465,682400.5011,159592.3743,943989.0085,1434283.992,1135041.085,1205420.78,1385731.313,1580979.817,1604045.355,1027658.501,1681521.752,1434050.486,1168593.869,1507159.379,1486062.109,1317240.19,1495060.455,143390.6628,1837699.341,1432269.683,1604011.417,535329.096,1720951.861,1167812.99,600933.8071,2074954.125,1997862.515,612082.69,2159825.928,1934571.117,1204718.124,1143659.234,1878866.939,1365634.665,1801262.784,1882129.176,1716522.401,1297433.165,766099.7417,1083905.769,2031108.41,979742.5921,1254456.751,1329027.019,1389699.215,810474.8456,1537101.492,426304.9301,1596407.409,1181909.633,1368165.658,1496251.133,1871926.325,1803017.755,1367828.884,4574.06162,4508.703748,4237.225306,
0.532,990.10492,+,6392547.568,,,25,,4078.546836,4613.777883,1176294.563,4053037.397,4920339.576,6392547.568,1928418.648,881538.463,1902902.592,2133854.394,169236.6264,1097916.355,3874365.74,3341605.769,3175341.245,4196214.071,1515153.908,4870286.955,2932937.0,5509436.965,4923706.045,1152316.887,3611632.078,992568.0788,4951624.747,4409254.677,670033.4503,1197288.593,3115572.637,4925713.109,3621919.967,4950545.536,2362349.244,4072003.76,1550017.055,5110772.027,2253309.885,6232342.807,4560249.361,1096912.703,1217401.7,5273628.79,3969635.931,1097199.358,1289060.21,5428591.301,1240809.664,2933924.942,2198640.102,6028457.544,3377575.449,3068493.046,3964247.985,5565789.07,3498719.937,4922068.343,2459403.827,4837824.894,3732371.498,3884927.048,3599398.939,5072651.786,4543646.634,869237.1671,4850.474597,4781.167114,4493.283085,
0.532,975.14197,+,5270352.573,,,79,,3507.332197,3967.602278,3924588.614,2889169.335,4397431.51,4715146.868,4228232.991,3562952.964,1693141.471,1596111.52,145534.4495,881752.506,3683528.164,2918296.417,2402779.467,3053260.276,4067638.0,3768048.703,2966784.804,4968165.766,3799847.9,2744117.83,3495486.599,2590526.51,3800736.91,3431904.321,388212.9293,4600487.056,3081009.312,4844088.225,2878769.038,4439285.926,2034222.267,2491950.407,3371164.995,4194454.104,3025822.468,5270352.573,3761323.883,2499682.098,2819510.964,3919344.785,2788342.626,2781549.928,4442185.693,4001949.312,4063439.905,2506371.128,1356162.901,5255884.723,2989609.048,2409443.321,3415237.309,4057660.185,2380058.259,3498101.084,1566715.242,3955639.788,3257988.838,2924236.321,3539239.122,3847891.923,4134025.6,2994667.089,4171.148796,4111.548067,3863.983195,
