PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	w/o MS2:Propanil	66	0.04761846	0.3804001	0.5833295	218.0233	67182.03125	1848263.25	null	[M+H]+	M + 0		null	218.0134	C9H9Cl2NO	Anilides	LFULEKSKNZEWOE-UHFFFAOYSA-N	CCC(=NC=1C=CC(=C(C1)Cl)Cl)O	530	True	True	False	null	null	null	null	61	632.0812	217.98561:17049 218.00946:32999 218.02336:80675 219.02863:10313 219.19554:8789 219.25893:32474 219.26524:15545 220.01158:79083 220.18091:13031 221.00938:34707 221.11749:12033 222.00668:33875 222.98651:14541	
1	Unknown	66	0.00641211	0.3804001	0.7814652	312.9156	24010.388671875	899235.4375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	438.1345	312.91562:33327 313.14349:16109 313.17575:27779 315.0701:14923 315.96368:25265 316.0679:9328 316.08051:10007 316.9614:20203	
2	w/o MS2:Pesticide6_Nuarimol_C17H12ClFN2O_(2-Chlorophenyl)(4-fluorophenyl)5-pyrimidinylmethanol	88	0.3119583	0.5161024	0.8499944	315.0701	11407.8740234375	252304.921875	null	[M+H]+	M + 0		null	315.06949	C17H12ClFN2O	Diphenylmethanes	SAPGTCDSBGMXCD-UHFFFAOYNA-N	OC(C1=CC=C(F)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl	530	True	True	False	null	null	null	null	99.8	181.102	315.0701:10074 315.96393:15648 316.06738:10264 316.96106:13124 317.99686:13946 318.99329:12059 319.05518:18265	
3	w/o MS2:(2-(4,4-dimethyl-4,5-dihydrooxazol-2-yl)-5-fluorophenyl)(phenyl)methanol	99	0.00641211	0.5833295	1.187074	300.142	3323.20922851563	40058.640625	null	[M+H]+	M + 0		null	300.13943	C18H18FNO2	Diphenylmethanes	DYVUUJWYBBENAM-UHFFFAOYNA-N	CC1(C)COC(=N1)C1=C(C=C(F)C=C1)C(O)C1=CC=CC=C1	530	True	True	False	null	null	null	null	96.7	66.46419	299.92401:27990 299.98645:105673 300.12231:8201 300.14203:9970 300.94806:13536 300.98358:46905 301.98273:39475 302.94363:14530 304.02802:9408	
4	Unknown	110	0.3804001	0.6498755	0.8499944	145.9855	11883.939453125	193512.203125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	183.4459	145.98064:8247 145.98547:10354 146.11769:9602 146.98039:59653 148.03471:21000 149.0235:96107 150.02679:12957 150.12787:20305	
5	Unknown	110	0.04761846	0.6498755	0.9172508	177.9807	981464.625	46296160	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5090.988	177.98071:1053102 177.98604:34672 178.00191:10938 178.05569:9603 178.12286:17985 178.15912:11093 178.95972:51747 178.9767:15167 178.98021:48378 178.98431:30134 178.99416:29881 179.03534:159607 179.11813:9388 179.95764:36481 179.97829:178556 180.0166:45096 180.95517:11986 180.97842:68886 181.01453:15862 181.02849:137106 181.03348:74563 181.17009:12252 181.97804:43453 182.01189:10385 182.03163:16873 182.07742:22140 182.08459:18831 182.16528:27422 182.19058:11747	
6	w/o MS2:Ipidacrine	110	0.111406	0.6498755	1.187074	189.1386	5348.8662109375	74275.5	null	[M+H]+	M + 0	similar chromatogram in higher mz_12	null	189.13863	C12H16N2	Aminoquinolines and derivatives	YLUSMKAJIQOXPV-UHFFFAOYSA-N	N=C1C2=C(NC3=C1CCCC3)CCC2	530	True	True	False	null	null	null	null	100	106.9773	189.03584:8156 189.13867:10947 190.05089:27023 190.10742:28505 191.1543:17105 193.01186:97804 193.09496:42939 193.13354:23780 193.98592:441265 193.99588:15949 194.00974:33575 194.0847:61252 194.11763:38510	
7	Unknown	110	0.00641211	0.6498755	1.05602	208.9904	9666.052734375	280442.03125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	193.3211	208.99042:9563 209.1286:8747 210.11253:10788 210.19662:24670 210.99321:23919 211.01237:723093 211.1803:9104 211.99646:26970 212.01591:28891 212.03259:12369 212.03926:9088 212.09517:6844147 213.01692:19276 213.09409:27670 213.0985:507605	
8	w/o MS2:HDMBOA (not validated, isomer of 868); PlaSMA ID-871	110	0.4477398	0.6498755	0.9172508	226.0746	10971.705078125	200214.515625	null	[M+H]+	M + 0		3.86	226.07201	C10H11NO5	Benzoxazinones	XCSFLMDXLJMLBA-UHFFFAOYNA-N	O=C1N(OC)C=2C=CC(OC)=CC=2(OC1(O))	530	True	True	False	99.9	null	null	null	96.7	183.6163	226.07458:15966 227.13887:9332 227.17592:9906 228.01941:41572 228.0275:48635 228.12311:13933 228.19592:16404 228.23239:13776 229.00365:9189 229.04826:24068 230.24805:13983 231.04329:10229 231.06412:10612	
9	Unknown	110	0.00641211	0.6498755	0.8499944	299.9865	97667.4140625	4356107.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	921.8259	299.92432:31234 299.98611:118432 300.02463:14445 300.12173:11297 300.98337:53562 301.98169:50862 302.9436:13975 302.98251:25004	50.3447:927 51.72065:847 52.35504:874 57.84763:886 63.26146:849 66.5603:793 70.93085:984 92.9578:867 94.22084:766 96.71561:828 97.31177:934 101.11094:954 102.75255:793 108.01247:876 109.25287:997 110.57334:889 110.62817:951 135.47704:866 147.01921:789 149.45123:809 152.10707:1058 162.64839:1061 168.7717:844 199.43636:817 210.9601:2416 214.7684:844 216.5775:3014 216.58414:4834 222.20076:848 224.63887:820 234.95979:3831 244.55754:943 252.97049:8228 253.89287:1594 258.89749:1356 261.14944:835 267.95764:2466 276.9086:1919 276.97037:12743 294.98108:14009 300.12164:886
