PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	66	0.180881	0.387875	0.590367	262.2372	4235.31298828125	75175.0546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	62.51025	262.14337:8992 262.19153:5818 262.23721:4504 263.17502:4723 265.1662:6035 266.13782:4696 266.22272:4402 267.1713:10683	
1	Unknown	88	0.180881	0.5228939	0.7253858	131.9619	10296.8095703125	193468.03125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	186.0523	131.96193:15749 132.10214:104908 133.07637:8361 133.10541:10437 133.85059:4504 133.95995:7296 134.07141:5545 134.0966:21087 134.11778:61998 134.97264:5125 135.09177:10415 135.10176:13344 135.12111:4667 136.02173:13042 136.06194:6163 136.0759:5887 136.08707:6912 136.11224:28929	
2	w/o MS2:Unknown (carbon number 19); PlaSMA ID-2228	88	0.3160874	0.5228939	0.7253858	410.1832	4466.3095703125	83312.53125	null	[M+H]+	M + 0		2.25	410.18951	C19H27N3O7	NA			530	True	True	False	100	null	null	null	82.1	44.83924	410.18323:6482	
3	w/o MS2:NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate	88	0.180881	0.5228939	0.9925612	432.2381	4485.43603515625	70770.25	null	[M+H]+	M + 0		null	432.23807	C22H30O6	Tigliane and ingenane diterpenoids	WZYGIALDVOKLLL-UHFFFAOYNA-N	CC1C(O)C2(OC(C)=O)C(C3C=C(CO)CC4C(C=C(C)C4=O)C13O)C2(C)C	530	True	True	False	null	null	null	null	100	89.70872	432.2381:5549 433.33093:16258	
4	Unknown	99	0.180881	0.590367	1.265282	264.9522	4415.7158203125	69749.6796875	null	[M+H]+	M + 0	similar chromatogram in higher mz_6	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	88.31432	264.95224:5304 267.17096:5141 268.15451:10558 268.22775:5765 268.99844:20393 269.21155:5056	
5	w/o MS2:Fluphenazine	99	0.3160874	0.590367	0.8587776	438.1794	3844.45532226563	59469.89453125	null	[M+H]+	M + 0		null	438.18216	C22H26F3N3OS	Phenothiazines	PLDUPXSUYLZYBN-UHFFFAOYSA-N	FC(F)(F)C1=CC=C2SC=3C=CC=CC3N(C2=C1)CCCN4CCN(CCO)CC4	530	True	True	False	null	null	null	null	96.1	76.88911	438.17935:5228 441.27118:8445 441.29742:6378	
6	Unknown	99	0.180881	0.590367	0.8587776	589.4614	3761.90795898438	57842.75	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	75.23816	589.46136:5293	
7	Unknown	110	0.180881	0.6565211	0.9925612	92.96079	5240.9951171875	121040.265625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	104.8199	92.96079:6672 94.06562:42103 95.06091:212428 95.08598:8892 96.04485:8246 96.06423:13058 96.08128:72921 97.0402:6164 97.0653:10683 97.07654:45036	
8	w/o MS2:Seneciphyllin; PlaSMA ID-1820	110	0.006761989	0.6565211	0.9264027	334.1649	2023.09765625	36288.01171875	null	[M+H]+	M + 0		3.45	334.16489	C18H23NO5	Alkaloids and derivatives	FCEVNJIUIMLVML-UHFFFAOYNA-N	CC=C1CC(=C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	530	True	True	False	100	null	null	null	100	40.46195	334.00186:4239 334.16492:4626 335.19711:4089 336.05206:5929 336.1474:7038 336.18088:7681 338.34152:15729	
9	w/o MS2:Unknown (carbon number 22); PlaSMA ID-2431	110	0.387875	0.6565211	1.06309	445.1198	3627.37084960938	83381.359375	null	[M+H]+	M + 0		3.7	445.1134	C22H20O10	NA			530	True	True	False	100	null	null	null	81.3	72.54742	445.11984:4183 445.16476:35318 446.16724:5269 447.34586:5293	
