PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	77	0.007205142	0.4563391	1.399763	312.3263	3303.02294921875	69220.890625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	66.06046	312.32626:4135 313.14352:20191 313.17575:105650 314.17996:16868 315.04337:21855 317.0416:11629	
1	Unknown	88	0.007205142	0.5224808	1.26549	333.2991	4443.65625	101091.2421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	88.87312	333.2991:5368 334.00244:5119 335.15781:5062 336.05151:5314 336.14844:5328 336.18069:13496 336.31:4718 337.18466:4630	
2	Unknown	99	0.3194743	0.5898726	1.199417	120.1021	40108.234375	1574044.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	478.0673	120.08098:52416 120.08315:5151 120.10214:48278 121.02855:3947 121.10536:4433 121.96638:85312 122.06026:8474 122.07153:10726 122.08146:5237 122.09666:65819 123.05549:7686 123.08061:9720 123.09194:31158 123.09995:4881 123.11698:6037 123.88739:3496 123.96449:38741 124.03953:7542 124.0759:13677 124.08714:261439 124.11226:4955 125.07113:44017 125.07989:5454 125.08228:41955 125.08447:2575 125.09047:14788 125.09631:5811	53.47381:730 54.24748:723 58.06585:3707 58.64364:774 62.23587:813 62.53706:681 64.28481:732 64.39281:744 65.77634:905 72.35674:828 75.19196:725 81.17807:709 83.43714:685 89.30615:688 90.12579:744 91.05489:881 91.29331:804 92.05:955 92.96532:842 92.96935:886 92.97095:789 95.58369:789 102.0918:2121 103.14078:768 110.06031:1821 117.3386:811 120.05595:818 120.08108:20538 120.10204:3504 133.40106:692 133.87216:789
3	Unknown	99	0.3194743	0.5898726	0.8587396	334.0016	4323.689453125	81412.7421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	78.24355	334.00159:4935 335.1955:5214 336.05203:5217 336.14774:6358 336.18042:7960 336.30984:4391 337.16431:3557 338.34174:17897	
4	Unknown	99	0.05109278	0.5898726	1.199417	354.2847	12698.494140625	516548.46875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	230.2493	354.2847:11350 355.06812:3583 357.11209:4143 357.14609:5141 359.17596:4890	
5	Unknown	99	0.05109278	0.5898726	1.199417	380.3369	9506.1025390625	364523.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	160.3428	380.17355:6525 380.33685:10528 382.19977:8126 383.21741:62788 384.22034:11922	
6	w/o MS2:NCGC00385072-01_C22H24O6_13,14-Dimethoxy-6,7-dimethyl-5,6,7,8-tetrahydro[1,3]benzodioxolo[5',6':3,4]cycloocta[1,2-f][1,3]benzodioxole	99	0.3194743	0.5898726	0.8587396	402.1917	2937.14697265625	60100.10546875	null	[M+H]+	M + 0		null	402.1911	C22H24O6	Hydrolyzable tannins	HTBWBWWADZJXID-UHFFFAOYNA-N	COC1=C2C(CC(C)C(C)CC3=CC4=C(OCO4)C(OC)=C23)=CC2=C1OCO2	530	True	True	False	null	null	null	null	99.8	39.80684	402.19165:5343 403.23245:13818 405.17239:39774 405.19843:21908 406.17545:6059 407.16656:4741	
7	w/o MS2:NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate	99	0.007205142	0.5898726	1.535297	432.2379	3009.19580078125	43623.79296875	null	[M+H]+	M + 0		null	432.23807	C22H30O6	Tigliane and ingenane diterpenoids	WZYGIALDVOKLLL-UHFFFAOYNA-N	CC1C(O)C2(OC(C)=O)C(C3C=C(CO)CC4C(C=C(C)C4=O)C13O)C2(C)C	530	True	True	False	null	null	null	null	100	60.18391	432.23776:5469 433.33075:13155 435.21594:4044 437.19391:4931	
8	w/o MS2:NCGC00384744-01!5-hydroxy-3-[4-hydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-methoxychromen-4-one	99	0.2536471	0.5898726	0.7923395	485.1037	3686.916015625	60249.1328125	null	[M+H]+	M + 0		null	485.10544	C22H22O11	7-O-methylisoflavones	GODZRCRSZUIPBM-UHFFFAOYNA-N	COC1=CC(O)=C2C(=O)C(=COC2=C1)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C(O)C=C1	530	True	True	False	null	null	null	null	98.6	73.73832	485.10373:4743 486.28079:5986 487.08725:7298	
9	w/o MS2:PAR_174.09141_15.0	110	0.1828908	0.6576372	1.399763	174.0913	4478.3447265625	87421.9296875	null	[M+H]+	M + 0	similar chromatogram in higher mz_10; similar chromatogram in higher mz_12	null	174.09134	C11H11NO	Benzene and substituted derivatives	MOSRXMRJDACECK-UHFFFAOYSA-N	C#CCN(CC1=CC=CC=C1)C=O	530	True	True	False	null	null	null	null	100	89.56689	173.79947:3744 174.09142:3978 174.1492:6304 174.16022:7495 174.18538:9934 175.98534:11439 176.10715:7050 176.13956:5464 176.98354:3595 177.06587:3194 177.13869:49566 177.98033:4590 178.03552:3464 178.09731:6405 178.12257:53087 178.98615:7832 179.0354:14260	
10	Unknown	110	0.007205142	0.6576372	1.399763	336.3105	5975.91552734375	153764.46875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	119.5183	336.05222:11345 336.18057:10861 336.31006:7205 338.34167:16975 339.3454:5482 341.04565:4014	
11	Unknown	110	0.4563391	0.6576372	1.331838	416.2153	3375.42163085938	58025.83984375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	67.50843	416.21527:4426 419.18423:17459 419.31549:60031 420.18787:5307 420.31857:18895 421.2002:6783	
12	Unknown	110	0.007205142	0.6576372	1.399763	437.3745	3409.64526367188	52494.0703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	68.19291	437.37448:4677 438.37814:6372 440.11682:4357 441.27133:11408	
13	Unknown	132	0.5898726	0.7923395	0.9968669	117.1027	1764.4130859375	26410.98828125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.55332	116.97216:3547 116.98594:4735 117.06606:4248 117.09132:4426 117.10269:3307 117.95976:3769 117.97:11476 118.06536:5934 118.06877:3191 118.08652:218919 118.12291:634565 119.08579:6622 119.08987:7793 119.12623:47700 120.08101:47245 120.10212:28990 121.08441:3217 121.10142:4496 121.96638:84431 122.06023:6983 122.07158:9022 122.08135:6161 122.09667:45558	
14	w/o MS2:Phosphoenolpyruvic acid	143	0.6576372	0.8587396	1.130423	168.9905	5158.802734375	96328.4375	null	[M+H]+	M + 0		null	168.98965	C3H5O6P	Phosphate esters	DTBNBXWJWCWCIK-UHFFFAOYSA-N	O=C(O)C(OP(=O)(O)O)=C	530	True	True	False	null	null	null	null	99.6	64.81801	168.99052:4868 169.00192:3282 169.03838:8006 169.08617:5687 169.09734:7985 169.13359:19172 169.16998:10718 170.08127:3906 170.11758:9403 170.12897:32215 170.15405:10600 171.07648:9863 171.1129:2466642 171.14917:115840 171.18556:5524 172.07578:4333 172.097:7121 172.10965:13278 172.11613:228824 172.13316:35507 172.15257:11236 172.16977:9263 173.0786:3716 173.11656:6349 173.13701:3938	
