MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
75,0.862,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,566,925,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
89,0.936,1,AC 14:1 [M+H]+;,370.295,370.2957,-1.8904,936,981,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
100,1.001,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,734,737,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
112,1.066,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,402,930,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
113,1.068,1,LysoPC 18:3 [M+H]+;,518.325,518.3247,0.5788,609,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
116,1.085,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,910,917,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.087,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,942,954,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.095,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,165,678,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
119,1.097,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,6,167,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
120,1.107,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,708,739,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.108,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,732,735,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.131,1,LysoPC 18:2 [M+H]+;,520.341,520.3403,1.3453,292,978,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
126,1.139,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,73,846,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
