MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
85,0.876,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,864,962,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
95,0.93,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,971,981,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
107,0.996,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,727,740,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.06,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,603,952,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
120,1.07,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,371,401,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
121,1.071,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,769,782,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
122,1.079,1,LysoPC 18:2 [M+H]+;,520.341,520.3403,1.3453,819,949,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
123,1.08,1,LysoPC 22:6 [M+H]+;,568.341,568.3403,1.2317,806,925,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
124,1.089,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,772,787,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
126,1.1,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,938,950,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
