MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
84,0.879,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,894,932,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
92,0.921,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,541,757,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
98,0.955,1,AC 14:1 [M+H]+;,370.295,370.2957,-1.8904,398,999,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
106,0.998,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,733,736,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
109,1.01,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,50,649,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
118,1.061,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,760,992,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.062,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,382,942,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.072,1,LysoPI 18:1 [M-H]-;,597.305,597.304,1.6742,96,865,100,LysoPI 18:1 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 281.2486 | 315.0487 | 333.0619 | 
122,1.079,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,894,915,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
123,1.081,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,823,922,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
