MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
126,1.566,1,SP d16:0 [M+H]+;,274.274,274.2746,-2.1876,67,1000,0,,true,true,LipiDex_HCD_Acetate.msp,226.2529 | 238.2529 | 256.2635 | 
431,6.532,1,Cer[AS] d14:0_14:0 [M-H]-;,470.421,470.4209,0.2126,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,183.1754 | 185.1911 | 197.1911 | 214.2176 | 225.186 | 227.2017 | 242.2126 | 
462,6.72,1,Cer[AS] d14:0_14:0 [M-H]-;,470.421,470.4209,0.2126,6,1000,0,,true,true,LipiDex_HCD_Acetate.msp,183.1754 | 185.1911 | 197.1911 | 214.2176 | 225.186 | 227.2017 | 242.2126 | 
491,6.901,1,Cer[AS] d14:0_14:0 [M-H]-;,470.421,470.4209,0.2126,6,1000,0,,true,true,LipiDex_HCD_Acetate.msp,183.1754 | 185.1911 | 197.1911 | 214.2176 | 225.186 | 227.2017 | 242.2126 | 
550,7.267,1,Cer[AS] d14:0_14:0 [M-H]-;,470.421,470.4209,0.2126,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,183.1754 | 185.1911 | 197.1911 | 214.2176 | 225.186 | 227.2017 | 242.2126 | 
879,9.315,1,CL 20:0_20:0_16:1_17:1 [M-2H]2-;,736.543,736.5331,13.4414,4,1000,0,,true,true,LipiDex_HCD_Acetate.msp,76.4982 | 126.6089 | 133.6168 | 155.6481 | 194.6052 | 201.613 | 223.6443 | 
928,9.597,1,DG 18:1_18:0 [M+NH4]+;,640.588,640.588,0.0,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 283.2632 | 285.2788 | 339.2894 | 341.305 | 
952,9.742,1,DG 18:1_20:1 [M+NH4]+;,666.603,666.6036,-0.9001,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 283.2632 | 293.2839 | 311.2945 | 339.2894 | 367.3207 | 
982,9.935,1,DG 18:1_20:1 [M+NH4]+;,666.603,666.6036,-0.9001,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 283.2632 | 293.2839 | 311.2945 | 339.2894 | 367.3207 | 
1083,10.599,1,DG 18:0_20:1 [M+NH4]+;,668.619,668.6193,-0.4487,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,267.2682 | 285.2788 | 293.2839 | 311.2945 | 341.305 | 367.3207 | 
1114,10.783,1,DG 18:0_20:1 [M+NH4]+;,668.619,668.6193,-0.4487,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,267.2682 | 285.2788 | 293.2839 | 311.2945 | 341.305 | 367.3207 | 
1130,10.882,1,DG 20:1_20:1 [M+NH4]+;,694.635,694.635,0.0,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 311.2945 | 367.3207 | 
1144,10.976,1,DG 18:0_20:1 [M+NH4]+;,668.619,668.6193,-0.4487,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,267.2682 | 285.2788 | 293.2839 | 311.2945 | 341.305 | 367.3207 | 
1183,11.235,1,DG 19:0_20:1 [M+NH4]+;,682.635,682.635,0.0,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,281.2839 | 293.2839 | 299.2945 | 311.2945 | 355.3207 | 367.3207 | 
1254,11.724,1,DG 20:1_20:0 [M+NH4]+;,696.65,696.6506,-0.8613,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 295.2995 | 311.2945 | 313.3101 | 367.3207 | 369.3363 | 
1283,11.909,1,DG 20:1_20:0 [M+NH4]+;,696.651,696.6506,0.5742,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 295.2995 | 311.2945 | 313.3101 | 367.3207 | 369.3363 | 
2133,17.694,1,TG 18:1_18:1_18:1 [M+NH4]+;,902.817,902.8177,-0.7754,834,1000,100,TG 18:1_18:1_18:1 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,265.2526 | 603.5347 | 
2145,17.76,1,TG 16:0_16:0_16:0 [M+NH4]+;,824.77,824.7707,-0.8487,778,1000,100,TG 16:0_16:0_16:0 [M+NH4]+(100),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 551.5034 | 
