MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
83,0.877,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,448,888,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
93,0.933,1,AC 14:1 [M+H]+;,370.295,370.2957,-1.8904,873,985,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
105,1.002,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,732,736,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
111,1.037,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,236,281,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
116,1.066,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,935,949,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.068,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,932,954,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.078,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,69,1000,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
120,1.086,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,931,951,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.087,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,919,924,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
122,1.097,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,320,381,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
124,1.108,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,768,774,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.109,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,934,943,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
126,1.122,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,596,736,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
127,1.123,1,LysoPC 20:4 [M+Ac-H]-;,602.347,602.3458,1.9922,563,838,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
140,1.196,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,27,334,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
147,1.23,1,LysoPE 22:6 [M-H]-;,524.279,524.2777,2.4796,167,954,100,LysoPE 22:6 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 283.2431 | 327.233 | 
152,1.26,1,LysoPC 15:0 [M+H]+;,482.324,482.3247,-1.4513,923,935,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
154,1.27,1,LysoPE 20:4 [M-H]-;,500.28,500.2777,4.5974,896,1000,100,LysoPE 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,152.9958 | 303.233 | 
156,1.28,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,937,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
157,1.282,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,738,918,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
158,1.292,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,217,298,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
160,1.301,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,914,925,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
161,1.302,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,947,955,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
162,1.312,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,666,702,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
163,1.313,1,LysoPC 20:4 [M+Ac-H]-;,602.347,602.3458,1.9922,263,507,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
176,1.386,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,9,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
177,1.387,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,731,734,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
178,1.396,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,898,978,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
181,1.408,1,LysoPC 22:5 [M+H]+;,570.355,570.356,-1.7533,917,958,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
185,1.431,1,AC 18:2 [M+H]+;,424.342,424.3427,-1.6496,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 263.2369 | 365.2686 | 
190,1.465,1,LysoPC 20:3 [M+Ac-H]-;,604.363,604.3614,2.6474,7,1000,100,LysoPC 20:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 305.2486 | 530.3252 | 
192,1.477,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,898,903,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
194,1.488,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,547,999,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
195,1.49,1,LysoPI 18:0 [M-H]-;,599.32,599.3196,0.6674,8,1000,100,LysoPI 18:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 283.2643 | 315.0487 | 333.0619 | 
197,1.5,1,LysoPC 22:6 [M+H]+;,568.338,568.3403,-4.0469,23,726,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
208,1.563,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,936,946,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
209,1.565,1,LysoPC 18:1 [M+H]+;,522.355,522.356,-1.9144,715,738,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
212,1.582,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,13,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
215,1.594,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,71,1000,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
