MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
82,0.874,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,581,908,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
89,0.914,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,321,832,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
104,0.996,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,733,736,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
106,1.008,1,LysoPI 20:3 [M-H]-;,621.305,621.304,1.6095,4,986,100,LysoPI 20:3 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 305.2486 | 315.0487 | 333.0619 | 
113,1.05,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,55,165,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
115,1.06,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,941,991,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
116,1.062,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,647,960,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.07,1,LysoPI 18:1 [M-H]-;,597.305,597.304,1.6742,66,740,100,LysoPI 18:1 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 281.2486 | 315.0487 | 333.0597 | 
119,1.079,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,696,741,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
120,1.08,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,808,955,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.089,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,661,981,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
122,1.09,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,9,1000,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
123,1.098,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,938,944,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.111,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,577,624,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
135,1.164,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,742,755,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
139,1.187,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,80,720,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
143,1.211,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,49,397,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
144,1.213,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,575,935,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
