MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
77,0.872,1,AC 12:0 [M+H]+;,344.279,344.2801,-3.1951,563,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 183.1743 | 285.206 | 
78,0.88,1,LysoPI 20:4 [M-H]-;,619.289,619.2883,1.1303,880,917,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
89,0.934,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,976,983,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
100,0.995,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,731,734,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
104,1.017,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,582,932,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
107,1.031,1,LysoPE 20:5 [M-H]-;,498.263,498.2621,1.8063,105,985,100,LysoPE 20:5 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 257.2275 | 301.2173 | 
110,1.049,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,49,490,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
112,1.059,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,297,743,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
115,1.07,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,993,998,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
116,1.078,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,898,930,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.079,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,909,938,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.087,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,273,589,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
120,1.098,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,928,936,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
122,1.109,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,711,748,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
125,1.121,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,875,926,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
141,1.206,1,LysoPC 20:5 [M+H]+;,542.323,542.3247,-3.1347,91,941,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
145,1.227,1,LysoPC 16:1 [M+H]+;,494.325,494.3247,0.6069,839,931,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
148,1.246,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,12,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
152,1.267,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,893,898,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
