MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
82,0.872,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,556,935,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
89,0.912,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,765,815,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
104,0.991,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,728,731,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
110,1.023,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,426,443,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
115,1.053,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,946,966,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
116,1.055,1,LysoPC 18:3 [M+H]+;,518.325,518.3247,0.5788,822,976,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.072,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,910,915,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
120,1.074,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,921,934,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.083,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,869,874,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
123,1.092,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,937,965,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
