MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
87,0.893,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,869,923,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
96,0.946,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,751,994,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
108,1.014,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,932,939,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
116,1.056,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,680,993,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
120,1.075,1,LysoPC 18:2 [M+H]+;,520.341,520.3403,1.3453,914,926,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.076,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,903,921,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
122,1.084,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,431,846,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
124,1.095,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,941,953,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.096,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,901,925,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
126,1.104,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,724,763,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
