MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
79,0.89,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,766,881,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
85,0.92,1,AC 13:0 [M+H]+;,358.295,358.2957,-1.9537,196,977,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 197.19 | 299.2217 | 
88,0.939,1,AC 14:1 [M+H]+;,370.295,370.2957,-1.8904,886,985,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
100,1.002,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,820,824,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
109,1.047,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,941,951,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
112,1.065,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,15,348,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
113,1.067,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,916,942,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
115,1.077,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,256,554,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
116,1.084,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,705,742,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
117,1.085,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,883,930,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
