MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
90,0.873,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,725,952,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
103,0.945,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,877,995,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
115,1.012,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,922,929,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
122,1.046,1,LysoPC 20:5 [M+Ac-H]-;,600.331,600.3301,1.4992,4,1000,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
123,1.054,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,819,941,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.064,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,997,998,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
127,1.074,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,928,939,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
128,1.075,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,918,932,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
129,1.083,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,226,885,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
131,1.093,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,930,941,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
132,1.095,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,794,932,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
133,1.104,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,784,830,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
135,1.113,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,15,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
152,1.204,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,57,997,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
159,1.244,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,629,951,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
163,1.267,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,881,888,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
164,1.269,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,930,940,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
165,1.279,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,403,973,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
166,1.281,1,LysoPC 22:6 [M+Ac-H]-;,626.347,626.3458,1.9159,10,128,100,LysoPC 22:6 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 327.233 | 552.3096 | 
167,1.289,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,928,940,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
