MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
91,0.885,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,885,923,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
95,0.907,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,717,854,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
112,0.999,1,LysoPI 20:3 [M-H]-;,621.305,621.304,1.6095,21,1000,100,LysoPI 20:3 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 305.2486 | 315.0487 | 333.0619 | 
113,1.008,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,908,914,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.031,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,949,956,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.044,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,38,447,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
120,1.045,1,LysoPC 14:0 [M+Ac-H]-;,526.314,526.3145,-0.95,51,839,100,LysoPC 14:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 227.2017 | 241.0721 | 452.2783 | 
121,1.054,1,LysoPC 18:3 [M+H]+;,518.325,518.3247,0.5788,815,930,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
125,1.073,1,LysoPC 18:2 [M+H]+;,520.341,520.3403,1.3453,918,927,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
128,1.084,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,375,792,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
