MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
84,0.866,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,570,940,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
98,0.943,1,AC 14:1 [M+H]+;,370.295,370.2957,-1.8904,953,985,100,AC 14:1 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
109,1.011,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,908,915,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
115,1.044,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,244,545,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
117,1.054,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,932,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.055,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,448,754,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.063,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,997,998,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
121,1.073,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,903,922,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
122,1.074,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,907,914,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
123,1.082,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,138,1000,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
125,1.093,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,883,916,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
126,1.094,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,931,947,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
127,1.103,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,605,747,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
145,1.205,1,LysoPC 20:5 [M+H]+;,542.323,542.3247,-3.1347,288,982,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
153,1.248,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,718,738,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
154,1.25,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,6,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
157,1.272,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,930,945,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
158,1.274,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,938,957,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
159,1.284,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,531,745,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
161,1.294,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,904,913,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
163,1.305,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,550,721,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
170,1.337,1,LysoPC 15:0 [M+H]+;,482.324,482.3247,-1.4513,845,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
181,1.401,1,LysoPC 20:5 [M+H]+;,542.322,542.3247,-4.9786,16,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
185,1.422,1,LysoPC 22:5 [M+H]+;,570.356,570.356,0.0,878,958,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
189,1.445,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,935,953,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
190,1.446,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,7,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
193,1.467,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,859,864,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
194,1.468,1,LysoPC 20:3 [M+H]+;,546.356,546.356,0.0,825,868,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
198,1.489,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,806,911,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
199,1.498,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,851,877,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
202,1.512,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,62,798,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
204,1.522,1,LysoPI 18:0 [M-H]-;,599.321,599.3196,2.336,35,863,100,LysoPI 18:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 283.2643 | 315.0487 | 333.0619 | 
206,1.532,1,AC 16:0 [M+H]+;,400.342,400.3427,-1.7485,432,995,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 239.2369 | 341.2686 | 
207,1.543,1,LysoPE 16:0 [M-H]-;,452.279,452.2777,2.8743,901,999,100,LysoPE 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
210,1.554,1,LysoPC 22:6 [M+H]+;,568.338,568.3403,-4.0469,9,579,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
225,1.637,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,11,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
229,1.656,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,939,950,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
231,1.667,1,LysoPC 18:1 [M+Ac-H]-;,580.363,580.3614,2.7569,423,914,100,LysoPC 18:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 281.2486 | 506.3252 | 
234,1.68,1,LysoPC 18:1 [M+H]+;,522.357,522.356,1.9144,886,894,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
235,1.692,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,621,753,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
237,1.703,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,25,334,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
241,1.725,1,AC 16:0 [M+H]+;,400.342,400.3427,-1.7485,853,996,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 239.2369 | 341.2686 | 
242,1.726,1,AC 18:1 [M+H]+;,426.358,426.3583,-0.7036,624,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 265.2526 | 367.2843 | 
245,1.746,1,LysoPC 17:0 [M+H]+;,510.356,510.356,0.0,660,824,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
261,1.838,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,895,934,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
265,1.862,1,LysoPC 18:1 [M+H]+;,522.356,522.356,0.0,938,954,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
266,1.864,1,LysoPC 20:2 [M+H]+;,548.372,548.3716,0.7294,306,933,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
