MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
94,0.875,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,896,940,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
99,0.897,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,786,826,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
108,0.951,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
116,0.992,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,733,736,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
118,1.003,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,26,1000,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
119,1.005,1,LysoPI 20:3 [M-H]-;,621.305,621.304,1.6095,5,1000,100,LysoPI 20:3 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 305.2486 | 315.0487 | 333.0619 | 
120,1.015,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,755,853,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
128,1.057,1,LysoPC 18:3 [M+H]+;,518.325,518.3247,0.5788,843,971,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
130,1.067,1,LysoPI 18:1 [M-H]-;,597.305,597.304,1.6742,396,699,100,LysoPI 18:1 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 281.2486 | 315.0487 | 333.0619 | 
132,1.076,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,909,923,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
133,1.077,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,654,746,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
134,1.085,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,357,850,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
136,1.094,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,923,934,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
138,1.104,1,LysoPC 16:0 [M+Ac-H]-;,554.347,554.3458,2.1647,742,760,100,LysoPC 16:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 255.233 | 480.3096 | 
144,1.136,1,LysoPC 20:4 [M+H]+;,544.34,544.3403,-0.5511,862,916,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
148,1.156,1,LysoPC 18:1 [M+H]+;,522.357,522.356,1.9144,757,762,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
156,1.201,1,LysoPC 16:1 [M+H]+;,494.325,494.3247,0.6069,836,942,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
157,1.203,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,336,933,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
164,1.243,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,13,999,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
166,1.254,1,LysoPC 20:4 [M+Ac-H]-;,602.347,602.3458,1.9922,64,1000,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
168,1.265,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,867,872,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
169,1.266,1,LysoPC 22:6 [M+H]+;,568.341,568.3403,1.2317,930,941,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
170,1.277,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,858,872,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
172,1.286,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,932,941,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
