animal,sex,cohort,Nile rat label,Date of birth,litter,original,validation,lcms_sampled,glucose_tolerance,OGTT_age,OGTT(0min),OGTT(10min),OGTT(20min),OGTT(30min),OGTT(60min),OGTT(120min),OGTT (AUC),Insulin(0min),Insulin(10min),Insulin(20min),Insulin(30min),Insulin(60min),Insulin(120min),Insulin (AUC),RBGweek4,RBGweek8,RBGweek9,RBGweek10,RBGweek11,RBGweek12,RBGweek20,RBGweek21,RBGweek22,RBGweek23,RBGweek24,RBGweek25,RBGweek26,RBGweek27,RBGweek28,RBGweek29,RBGweek30,RBGweek31,RBGweek32,RBGweek33,RBGweek34,lastRBG,FBGweek8,FBGweek9,FBGweek10,FBGweek11,FBGweek12,InsulinFBGweek8,InsulinFBGweek9,InsulinFBGweek10,InsulinFBGweek11,InsulinFBGweek12,InsulinRBGweek8,InsulinRBGweek9,InsulinRBGweek10,InsulinRBGweek11,InsulinRBGweek12,WeightRBGweek4,WeightRBGweek8,WeightRBGweek9,WeightRBGweek10,WeightRBGweek11,WeightRBGweek12,WeightFBGweek8,WeightFBGweek9,WeightFBGweek10,WeightFBGweek11,WeightFBGweek12,Weightprefastweek8,Weightprefastweek9,Weightprefastweek10,Weightprefastweek11,Weightprefastweek12,HbA1c,Interscapular brown fat (g),BF (%BW),Inguinal white fat one side (g),WF (%BW),BF/WF,Plasma,Fatty liver,Notes
1060,M,10wk,G,2021-01-23,0.0,True,False,True,impaired,12.0,58.5,178.0,314.5,551.0,589.0,200.0,812.375,2.358,2.154,2.537,2.207,3.396,5.576,7.04899999999998,71.0000001,225.0,83.0,206.0,221.0,193.0,,,,,,,,,,,,,,,,193.0,41.0,48.0,52.5,50.0,58.5,2.874,1.668,0.9635,1.414,2.358,11.42,12.25,13.18,11.28,32.33,53.7,92.6,98.1,100.9,104.4,104.6,85.4,90.9,94.9,99.5,105.1,90.2,96.0,101.3,104.5,105.1,,2.0448,1.94557564224548,0.7185,0.6836346336822074,2.845929018789144,murky,No,
1062,M,10wk,E,2021-01-23,0.0,True,False,True,impaired,12.0,56.5,219.0,334.0,462.0,511.0,189.0,728.625,3.344,2.591,3.498,2.878,3.076,5.281,7.20033333333333,78.0,256.5,250.5,139.5,248.5,90.33333333333333,,,,,,,,,,,,,,,,90.333,52.33333333333334,48.0,40.0,38.5,56.5,4.154,2.879,1.977,2.734,3.344,10.37,12.76,11.56,9.45,38.47,51.3,93.5,99.3,103.0,107.0,106.9,86.7,91.9,96.8,102.1,109.1,91.2,96.1,101.3,106.7,109.1,,2.5185,2.308432630614115,0.7439,0.6818515123739688,3.385535690280952,murky,No,
1074,M,10wk,D,2021-01-23,0.0,True,False,True,impaired,12.0,38.5,160.0,308.0,368.0,445.5,99.0,587.5,1.81,2.81,4.831,3.99,7.0,4.88,10.4443333333333,70.0,232.5,203.5,205.5,225.5,139.5,,,,,,,,,,,,,,,,139.5,171.3333333333333,51.5,55.0,46.0,38.5,7.387,2.765,1.392,2.571,1.81,8.187,14.11,13.63,14.34,25.71,55.8,95.7,102.3,106.3,108.3,108.6,93.2,95.6,100.5,103.4,110.4,96.7,98.7,106.2,110.1,110.4,,2.506,2.269927536231884,0.7164,0.6489130434782608,3.498045784477945,murky,Slight,
1076,M,10wk,J,2021-01-23,0.0,True,False,True,diabetic,12.0,138.0,352.5,513.5,585.0,600.0,406.5,1004.08333333333,2.827,2.017,1.297,1.543,2.076,2.215,3.96674999999999,96.0,387.6666666666667,281.0,349.0,391.5,435.5,,,,,,,,,,,,,,,,435.5,174.3333333333333,78.5,71.0,50.5,138.0,5.183,2.09,1.2,1.824,2.827,2.845,3.697,3.637,2.937,16.37,60.7,95.4,99.1,106.3,112.6,110.7,93.1,94.9,99.5,105.5,112.1,95.2,100.7,103.2,110.3,112.1,,1.4332,1.27850133809099,0.696,0.6208742194469223,2.059195402298851,White,Slight,
1082,M,10wk,I,2021-01-24,1.0,True,False,True,diabetic,12.0,62.0,258.0,600.0,600.0,571.5,328.5,941.041666666666,1.279,1.443,2.022,1.398,1.347,2.301,3.31083333333333,90.0,272.0,339.5,330.5,413.0,537.5,,,,,,,,,,,,,,,,537.5,59.0,53.33333333333334,50.0,73.5,62.0,2.324,,1.119,1.389,1.279,4.588,2.971,3.465,2.145,13.01,54.1,95.9,102.0,105.8,106.5,105.5,89.6,93.8,98.4,99.9,108.8,94.5,99.7,103.9,107.4,108.8,,0.8904,0.8183823529411764,0.6515,0.5988051470588235,1.366692248656945,White,Yes,
1091,M,10wk,A,2021-01-31,2.0,True,False,True,normal,12.0,72.0,172.5,201.5,208.0,195.0,67.5,317.666666666666,1.29,5.008,6.969,5.861,8.509,0.905,10.8915833333333,84.0,108.5,86.0,71.5,78.0,68.0,,,,,,,,,,,,,,,,68.0,53.33333333333334,63.0,48.5,63.0,72.0,0.9529,1.758,1.165,2.617,1.29,13.61,22.8,21.67,17.55,8.29,41.1,78.5,83.1,87.3,89.5,89.6,70.9,75.8,81.8,83.8,92.4,76.1,81.2,86.2,89.0,92.4,,1.493,1.615800865800866,0.5354,0.5794372294372294,2.788569293985805,clear,Slight,
1092,M,10wk,C,2021-01-31,2.0,True,False,True,impaired,12.0,59.5,206.0,303.5,392.0,401.0,91.5,567.041666666666,3.29,5.481,6.564,6.934,17.88,7.879,21.9425,75.0,76.0,70.5,59.0,58.0,44.0,,,,,,,,,,,,,,,,44.0,46.0,63.5,51.5,60.0,59.5,0.4745,1.18,1.055,2.123,3.29,8.537,16.69,19.33,15.15,30.05,39.4,77.7,84.2,87.6,91.0,97.5,69.7,75.1,84.2,84.5,98.3,73.2,80.2,88.5,89.5,98.3,,1.2902,1.312512716174975,0.6312,0.642115971515768,2.04404309252218,clear,Slight,
1093,M,10wk,B,2021-01-31,2.0,True,False,True,normal,12.0,50.0,139.5,221.0,268.5,300.5,77.0,417.625,1.107,4.831,2.626,2.31,5.872,2.098,7.55808333333333,72.0,82.0,83.0,69.5,65.5,65.0,,,,,,,,,,,,,,,,65.0,47.0,64.0,56.5,56.5,50.0,0.8927,0.9694,1.257,1.249,1.107,11.06,11.14,12.91,9.306,9.64,41.3,78.5,82.9,87.2,91.3,92.3,71.4,75.6,82.1,85.4,94.5,75.6,81.0,85.7,90.4,94.5,,1.1374,1.203597883597884,0.5462,0.577989417989418,2.082387403881362,clear,Yes,
1101,M,10wk,H,2021-02-01,3.0,True,False,True,diabetic,12.0,64.5,216.5,519.5,582.0,587.0,309.0,916.791666666666,0.9818,0.8751,1.496,0.7983,1.15,1.919,2.5651,73.0,459.5,342.6666666666667,352.0,505.5,,,,,,,,,,,,,,,,,505.5,40.75,43.0,44.5,66.5,64.5,2.288,1.584,1.982,1.275,0.9818,3.122,4.12,3.513,0.5975,13.49,41.0,96.0,102.2,107.8,109.7,,88.2,92.4,100.7,102.0,110.5,93.1,98.7,108.0,109.5,110.5,,0.9262,0.8381900452488689,0.6216,0.5625339366515838,1.49002574002574,murky,Yes definitely,
1102,M,10wk,F,2021-02-01,3.0,True,False,True,impaired,12.0,48.5,216.5,477.5,343.5,538.5,276.0,776.083333333333,2.777,3.512,3.952,3.005,2.919,3.235,6.28383333333333,77.0,299.5,227.5,308.0,338.5,,,,,,,,,,,,,,,,,338.5,39.33333333333334,41.0,43.33333333333334,47.0,48.5,2.436,2.633,2.814,3.159,2.777,8.574,5.433,9.151,6.909,27.69,48.0,104.2,109.6,116.6,112.9,,95.0,99.0,107.9,111.9,121.3,98.2,105.5,114.3,117.6,121.3,,1.7053,1.405853256389118,0.878,0.7238252267106348,1.942255125284738,murky,Very slight,
