i,unique_id,ID,m/z,RT,molec_class,Type,polarity,lc_type,superclass,1091_8_FBG,1091_10_FBG,1093_8_FBG,1093_9_FBG,1093_10_FBG,1060_8_FBG,1060_9_FBG,1060_10_FBG,1062_8_FBG,1062_9_FBG,1062_10_FBG,1074_8_FBG,1074_9_FBG,1074_10_FBG,1092_8_FBG,1092_9_FBG,1092_10_FBG,1102_8_FBG,1102_9_FBG,1102_10_FBG,1076_8_FBG,1076_9_FBG,1076_10_FBG,1082_8_FBG,1082_9_FBG,1082_10_FBG,1101_8_FBG,1101_9_FBG,1101_10_FBG,1091_8_RBG,1091_9_RBG,1091_10_RBG,1093_8_RBG,1093_9_RBG,1093_10_RBG,1060_8_RBG,1060_9_RBG,1060_10_RBG,1062_8_RBG,1062_9_RBG,1062_10_RBG,1074_8_RBG,1074_9_RBG,1074_10_RBG,1092_8_RBG,1092_9_RBG,1092_10_RBG,1102_8_RBG,1102_9_RBG,1102_10_RBG,1076_8_RBG,1076_9_RBG,1076_10_RBG,1082_8_RBG,1082_9_RBG,1082_10_RBG,1101_8_RBG,1101_9_RBG,1101_10_RBG,mean_sampling_log2fc,qval_sampling,qval_ogtt,qval_sampling:ogtt,pval_sampling,pval_ogtt,pval_sampling:ogtt,model_param_Intercept,model_param_sampling[T.RBG],model_param_ogtt,model_param_sampling[T.RBG]:ogtt,qval_fed,qval_fasted,pval_fed,coef_fed,intercept_fed,pval_fasted,coef_fasted,intercept_fasted,signif_interaction,signif_sampling,fasted_mean,fed_mean,Log2 Fold Change,Fed - Fasted slope,signif_interact,log_qval_sampling,log_qval_ogtt,log_qval_sampling:ogtt,is_id,lipid_class,extra_lipid_label,fa_carbons,fa_unsat,fa_carbon:unsat,pval_asterisks
m_0,Unidentified_2.353_141.0659,Unidentified,141.06591,2.353,Unidentified,metabolite,-,HILIC,Unidentified,433188.78629999957,198780.40979999988,89625.25014999993,319657.2202000003,272199.9133000008,197943.6672999998,3676025.926999994,440294.4267999999,280616.7516000001,159917.93460000004,126193.04380000006,386345.59740000026,179424.28330000007,220521.97719999973,99502.39768000002,89089.96175000009,163107.19500000015,120770.00729999987,98626.19928999992,287281.4315999997,3918516.9189999993,1533830.338000001,3088412.766000005,6162040.712,1945209.405000002,3700281.3910000003,109691.59390000007,138465.2364999999,214987.04399999973,366504.135000001,147888.33590000015,270240.077399999,243747.54169999983,104367.76240000007,205762.36099999977,1860109.076999996,6959562.656999993,520702.29840000026,273453.5121999999,216373.66939999987,188815.25820000013,212678.01630000022,106237.56019999998,87459.5300600001,200231.27129999996,324400.2396000001,290592.3180000001,119086.59930000006,365495.1931000003,118843.11059999994,1458675.322000003,18323444.03999996,7784003.995999996,2642785.404999999,3092736.702999997,9059911.867000002,114796.32110000013,83605.71901,177071.8901999998,0.277452186823961,0.6168071676063858,0.0001225669097329,0.8082387117275507,0.5555204369712587,1.8789533358630423e-05,0.6929399317011222,15.116552116460069,-0.2766996861825292,7.799948598181359e-05,1.4546553644553094e-05,0.0051874045424461,0.0364878480333802,0.0017745415113264,9.254603959580103e-05,14.839852430277048,0.0039103371561677,7.799948603059737e-05,15.116552116459852,False,False,18.487555420829803,18.765007607653764,0.277452186823961,1.4546553565203665e-05,False,0.2098505882096687,3.91162676358705,0.0924603522514137,False,,,,,,ns
m_1,Unidentified_11.539_180.0585,Unidentified,180.0585,11.539,Unidentified,metabolite,-,HILIC,Unidentified,1800018.2310000025,1562786.3970000017,1959617.766000002,1926378.893000001,1398263.0030000003,1203471.867000001,1508476.2489999998,1294504.8769999994,2125023.8020000057,1635717.1080000019,1200873.6170000015,3505550.5120000024,1546589.0540000002,1625504.4559999998,1482542.7769999963,1947739.7150000003,1906775.9540000022,1808165.359,1378909.756,1772156.808999997,3448787.974999998,1586324.993000001,2180025.8840000005,2060622.6730000007,2242555.3310000063,1726056.9659999995,1103996.4669999988,1597924.732000002,1511745.7540000002,2521220.5119999987,2025170.9870000014,1654803.7420000015,1900049.1260000002,2044617.0319999983,1619543.9609999985,4078883.475000008,2477741.411,4255478.588000004,5062721.032999994,4463288.889999999,3068553.372000007,4026340.210999998,2919158.7929999977,4212955.131000007,1952511.4160000011,1856846.8119999983,1571417.0369999981,4636398.695,4309743.920999995,3651613.0420000055,5074862.908999995,4808349.334999989,5596703.294999994,4286559.38399999,5290241.059999994,4262109.241999996,4718909.244999988,4220336.853000004,4222484.6800000025,0.9325966536737552,1.0297875933569953e-12,1.7384825927033337e-05,0.0005756457161947,1.724839404061397e-13,1.9247926505445e-06,1.5116317600572724e-05,20.67443443796322,-0.585226758097912,1.096654274973678e-06,3.580757139589967e-05,1.3909542551496973e-06,0.9189631410797454,3.1590160514400507e-08,3.69042256293342e-05,20.08920767986424,0.8511333563584583,1.0966543412315323e-06,20.674434437962763,True,True,20.721829947807443,21.654426601481195,0.9325966536737518,3.5807571288102665e-05,True,11.987252344756843,4.75982965351724,3.2398447228960987,False,,,,,,***
m_2,Urocanic acid_11.365_139.0503,Urocanic acid,139.05028,11.365,Nitrogen heterocycle,metabolite,+,HILIC,Nitrogen heterocycle,19017954.190000005,12566499.899999954,12267489.16999997,5415968.610000005,6834538.092000005,15602078.92,20135123.949999984,8893914.03800001,30734323.930000003,18376939.44999994,7224465.420000008,12157637.19,5623944.114000004,7321640.451000012,11713691.26,5653831.955999989,8527651.34899999,13295139.149999995,7605684.7500000065,18341687.289999988,12083299.950000012,3731122.05099999,3525480.585000003,18235375.760000005,11899022.44999999,18713470.55,9575036.975999968,5862987.644999997,10421146.590000011,13601848.349999959,8466763.387000008,15663246.929999975,7776992.356999982,15049986.290000005,8378725.569000001,14154802.899999999,758151.9651000024,12097944.060000014,10480194.620000014,4465029.027000016,14851260.460000018,6986466.401999998,5478081.722000002,9009771.730999997,7875758.708999991,9765259.078000022,7894629.1130000055,6256745.1060000025,12956306.41000001,1923477.6489999986,9616776.862,16013533.040000014,4403478.853000016,8761153.002999969,13249163.269999996,12968187.839999955,5175466.761000004,10136389.040000005,7631763.822000005,-0.3404119772977125,0.1783121931047373,0.5836541721817011,0.786749641768389,0.1371826950500605,0.4792674785054849,0.6555316390603894,23.38836240894998,-0.0057538709754254,-2.0893090357228405e-06,-7.93012923220791e-06,0.5594873809709394,0.9222959443724974,0.4526725438657707,-1.001943831576232e-05,23.382608537974548,0.8587450158590363,-2.089308959300309e-06,23.38836240894998,False,False,23.298066077985844,22.957654100688128,-0.3404119772977161,-7.930129356462011e-06,False,0.7488189584676674,0.2338444056275735,0.1041634461624984,True,,,,,,ns
m_3,Uridine_7.513_243.0615,Uridine,243.06152,7.513,Nitrogen heterocycle,metabolite,-,HILIC,Nitrogen heterocycle,31041178.66999997,27506125.360000014,26275629.329999983,24170186.800000023,22210442.15000007,27537794.980000034,24064538.539999966,29057026.910000037,28956497.329999994,22267779.880000003,15226545.930000005,21236048.400000043,25394948.690000076,22538065.970000077,27234630.500000056,22223387.980000008,24829713.320000026,33999807.19000003,26254317.420000013,27136967.05999996,22872281.69999998,13527251.039999992,14970668.239999998,25232618.799999993,17248648.23999998,22439832.099999998,29098930.62999999,20934257.819999937,27980179.000000007,21250735.250000052,14863164.340000043,14600062.170000006,11447168.009999996,20890013.260000005,18109849.31,19754559.11,15299237.180000013,16754646.290000001,15209884.010000004,12851540.949999955,16509993.460000014,8759970.459000021,9660407.004999993,15822307.920000011,18602806.790000014,16380762.13000001,10116791.009999981,14643881.379999986,14627592.229999984,15186827.099999981,8230847.070999999,10123032.739999993,12291460.069999991,19435796.31000002,15417960.740000032,17608369.449999947,17689398.660000015,14549682.999999981,15261253.940000016,-0.6973009005485338,3.2894570386617514e-10,0.1290473097788107,0.6929277350809915,8.404574406800785e-11,0.0717133027372667,0.5310179988632282,24.86948695130656,-0.8865268841215244,-8.526818798587854e-06,4.299614451972952e-06,0.5252976212836495,0.2209501110165373,0.4126169049985803,-4.227204396349413e-06,23.9829600671834,0.0674297712825486,-8.526818719293566e-06,24.86948695130586,False,True,24.500972547669576,23.80367164712105,-0.6973009005485302,4.299614322944152e-06,False,9.482875781251588,0.8892510446683158,0.1593120552756738,True,,,,,,ns
m_4,Uric acid_12.732_167.0201,Uric acid,167.02007,12.732,Nitrogen heterocycle,metabolite,-,HILIC,Nitrogen heterocycle,192264008.59999996,150317027.5000001,177804706.19999993,139111579.20000014,113369980.29999995,145332.15229999993,589531.6203999994,155157441.69999993,3587877.679000002,9567383.92800001,250687470.6000001,14423618.299999997,28326208.110000003,236417634.49999925,46335121.74999999,122586492.79999962,5814342.725999993,594144.1235000003,30472182.369999994,93046706.78000005,7280522.291999992,104598.21309999995,109066178.70000003,333853.65049999993,100684921.49999991,132158599.09999995,195324.47919999997,109757757.50000016,144186653.29999992,10432844.469999975,147024826.80000016,126324883.29999994,24053602.120000046,77161137.69999999,76471112.3899999,176736.9207999998,83364681.46000008,65098361.46000007,118658705.99999994,181943417.9,189482671.7999998,139297930.00000006,190270294.10000002,148806372.70000014,142593.72800000006,61204624.59000004,29127652.320000067,25371948.679999996,231940309.99999943,60152726.05999993,56163732.66000018,1551277.4259999995,19942547.510000043,257962.12430000017,101960784.20000003,68890884.41999997,53920148.10999998,222580452.8,102211252.69999966,0.8984234169036753,0.3474921205860725,0.0561405963351997,0.3308139748182212,0.2863295613913628,0.0274527117636285,0.1812550664014668,29.47557688082208,-2.9531129501412665,-0.0001207650397048,8.851736971840503e-05,0.5583033882252479,0.1124842290892953,0.4510871052373686,-3.2247670042908464e-05,26.52246393067536,0.0235506370343095,-0.000120765039615,29.47557688081975,False,False,24.25632008424181,25.154743501145493,0.8984234169036789,8.851736957216524e-05,False,0.4590550386272081,1.2507229785253933,0.4804161525105286,True,,,,,,ns
m_5,Tyrosine_11.137_180.0656,Tyrosine,180.06563,11.137,Amino acid,metabolite,-,HILIC,Amino acid,8776986.864999995,9197110.30400002,9233758.261,9494576.177000022,8749131.348000022,6597335.170000003,9683139.365999993,7270466.245000002,9783202.460000012,7466049.375000003,5657809.608000006,9970584.54500001,9720274.54099998,8490929.902000006,6904330.433000001,8279754.672999983,9010806.154999996,8793372.450000003,8384954.575000001,7145863.643999997,14613085.970000017,3582115.584000004,7077849.388000026,6039063.790999994,8514004.765999999,8426887.754999995,4626043.406000001,7896952.424000017,8760253.270000005,10999578.020000005,11463127.220000006,11319162.770000007,10017059.060000008,10561480.99000001,12772532.490000008,9715231.646999989,9052888.98000003,11494007.109999986,10133948.37999998,15971375.789999986,12640503.939999996,11838951.640000036,7391678.166000001,11130804.890000006,10557381.279999992,10329954.129999992,5771125.890999998,10853064.350000033,10104124.709999975,8567655.908000007,10557488.840000026,9202014.282999989,10310235.620000007,9379917.050999982,10710172.790000008,7555913.404000004,7621675.442000028,8026842.480999996,6717475.011999999,0.3122781716530802,0.0010536134074758,0.0394864774381414,0.786749641768389,0.0005690559283811,0.0181038072569477,0.6547062460734208,23.34547752985204,0.1769192065683715,-9.72273639239834e-06,3.0068489732810576e-06,0.1813027295277287,0.2458865245326136,0.1109176386464884,-6.715887467095098e-06,23.522396736420745,0.0811477884369519,-9.722736315707942e-06,23.345477529852182,False,True,22.925277629625764,23.237555801278848,0.3122781716530838,3.0068488486128443e-06,False,2.977318711512759,1.403551607651474,0.1041634461624984,True,,,,,,ns
m_6,Tryptophan_9.861_203.0817,Tryptophan,203.0817,9.861,Amino acid,metabolite,-,HILIC,Amino acid,6296060.890000002,6842137.116000003,6508144.965000007,6179363.356999992,7270258.001000004,4447317.879000004,5729743.4600000065,6197505.320000001,5354127.561999983,5740458.059000002,4669495.6669999845,7633303.0060000215,8774590.399000002,6398041.8180000065,4341396.357000003,6978465.134000003,6671564.537000012,5514616.50500002,6576389.347999997,6979131.982000001,6761108.555999998,2619487.952000002,6378198.054000014,3527705.6699999995,6845124.88100001,7659976.902999997,3200635.6000000103,8287948.816999998,9091146.365000004,7801870.37499998,7696642.966000002,9593105.59999999,6646618.090000002,8710860.807000013,8614716.042,6662481.371000013,6338313.699000014,8021247.717000006,8418963.007999994,9068769.043999998,8938792.608000007,8549025.997000007,6067903.502999993,9383748.826999996,7573182.263000022,8113573.256000001,4523797.087999999,7549222.229000008,7770550.983000021,8026300.4590000175,8230248.172000003,7279398.579999994,7602434.820999999,7702256.925000005,9437472.471000008,6527534.870000006,6816158.673999999,6915935.309000017,6331944.007999994,0.3500730760710233,0.0003246276688365,0.1768201244691712,0.5389845312043208,0.000162198636523,0.1051278570260301,0.3626382793340639,22.89170609820058,0.0792590528980068,-8.860044047585546e-06,6.216944068933227e-06,0.534369804002486,0.3697252856490871,0.424385955059462,-2.643100025576968e-06,22.97096515109874,0.157058180136427,-8.86004397259614e-06,22.891706098200665,False,True,22.50879027364294,22.85886334971396,0.3500730760710162,6.216943947019172e-06,False,3.488614466916045,0.7524683080529643,0.2684236988373937,True,,,,,,ns
m_7,Trigonelline_9.139_138.055,Trigonelline,138.05502,9.139,Organic acid,metabolite,+,HILIC,Organic acid,3338523.6710000033,4546626.269000003,4619307.200999997,5808179.122000019,5070730.290999998,2761855.1129999994,2813667.5090000033,3612668.703000009,4091302.0619999906,3756916.2949999967,3490759.108000002,8816266.21100001,3175555.2199999993,4126451.728000004,5634376.922000004,4859527.664999999,6397542.843000002,4098660.3869999954,2848087.3899999997,4025683.9620000036,5283029.847000006,1565793.621999995,4346729.302000001,2669304.531,2865204.3250000053,3654970.3270000117,1975352.9899999993,3174586.745000003,4184830.2119999933,12353356.640000012,11449140.83999999,10999240.540000008,11377137.180000005,10513012.96999999,11354178.26000001,8378362.764999989,8139687.741000005,12465758.20999996,9804025.97599999,11370634.080000002,14676280.209999949,10284923.740000011,9590405.812999988,11823784.559999963,12993028.320000002,8492042.314999998,7211504.005000002,12257176.20000001,10064003.319999972,8663168.716999998,8347452.350000008,8599514.861000005,10730873.10000003,9843734.337000018,10689739.559999961,8098240.722999999,9356193.65200001,11066044.180000037,7113468.551999995,1.403418078044318,6.375610855693193e-20,0.0020950528411863,0.1931252906246439,3.6199351913091226e-21,0.0005739463425819,0.0832696596663074,22.736783355671854,0.841056958373958,-2.013549008907765e-05,1.287686560348289e-05,0.080623944524204,0.0439099526261669,0.0418855410870953,-7.2586245331770225e-06,23.57784031404738,0.0052355372897062,-2.0135490012891997e-05,22.736783355672536,False,True,21.86656219367743,23.26998027172175,1.403418078044318,1.2876865479714971e-05,False,19.19547819857284,2.6788050188331387,0.714160849682434,True,,,,,,ns
m_8,Indole-3-acrylic acid_9.866_188.0707,Indole-3-acrylic acid,188.07065,9.866,Organic acid,metabolite,+,HILIC,Organic acid,6766759.5879999995,6769321.116,6653761.655000005,6486676.367999993,7955864.252999994,4388678.120999998,6076215.938999996,6647481.623000001,5333773.822,6307630.523999994,4612582.408000011,9360762.359999975,9017120.448000008,6680655.881999993,4232488.977000001,7258382.4189999895,7065136.3119999925,5857032.122000001,6913637.562000003,8256026.628999991,6860685.894000001,2555989.0030000065,6824718.828999995,3681963.3560000057,7432208.627000001,7616393.851999989,3499801.953000004,7840889.229000019,8871654.382000003,8228512.692000003,8685617.793999977,10528528.620000012,7582078.942999997,9941384.565000003,10223355.160000006,7806141.106999992,6903919.576,8721472.665000005,9507458.934000002,10905943.779999996,10148029.719999973,9446779.815000001,7151647.023000006,9968710.215999987,8508203.941000005,8991068.026999993,4924667.684999994,8368188.096999994,9092628.557999989,8904036.660000011,8660561.869999992,7566027.197000005,9130743.498000005,8372001.954000008,10054328.939999992,7140703.8179999925,7905934.346000001,7894302.104000008,7276206.85,0.4518029391682283,1.1938688305902566e-05,0.1455529524449335,0.5042674216789133,5.109317990389814e-06,0.0831583582101997,0.3314319991713584,22.99338977805671,0.1528480908888507,-9.8010776762016e-06,6.862572378037826e-06,0.490857427012007,0.3351338808596326,0.379029723626021,-2.938505345390545e-06,23.14623786894584,0.1341486932610594,-9.801077600715436e-06,22.99338977805684,False,True,22.56980410256357,23.0216070417318,0.4518029391682319,6.86257225532489e-06,False,4.923043386171594,0.8369789807608072,0.2973390886366314,True,,,,,,ns
m_9,Threonine_12.071_120.0658,Threonine,120.06577,12.071,Amino acid,metabolite,+,HILIC,Amino acid,5136893.816000012,3578884.958999996,5298706.841000002,5072950.338000006,3846522.013,3357743.024000002,3778966.615000007,3248736.240999992,4490185.121000003,3958483.970000005,2557251.2200000053,6681894.900000016,4682308.137000002,3519611.629000002,4088105.1630000127,4718745.869999999,4537266.072000004,3870467.1249999963,3784004.0780000007,3460824.405999999,5208036.890999984,2189312.0639999993,2798408.9540000083,3473634.415999999,3576951.7109999885,3133366.701000003,3147876.035999991,4127442.8949999996,4338647.399000005,6725998.379000001,6371680.3809999805,5609603.368000009,5261789.073000007,5573531.3790000025,6387831.4729999965,5802902.927999994,5111901.066000001,5847287.035000003,7476272.554000021,8188634.054999995,6860734.995999991,5901568.451000005,5615259.7870000005,6311098.711000012,7449668.409999992,6215329.606999994,4539565.287999995,7222548.915999998,7389979.605999997,5732611.990000005,7313756.377999995,7251298.434999979,8134141.611000028,7693565.505000008,8375269.247000011,5245986.264999999,7073797.285000001,7439385.807000001,6392916.351000005,0.7375238215201527,1.3628681752679415e-14,0.448899107328584,0.0038712635813289,1.6944950703499773e-15,0.3361167907960654,0.000225297099836,22.473588764102267,-0.1538089636959596,-1.353259254431125e-05,2.075861929572887e-05,0.042310784256519,0.0439099526261669,0.019698988269891,7.226026705646586e-06,22.319779800406025,0.0052344344514749,-1.353259247120921e-05,22.473588764102143,True,True,21.888733449552472,22.62625727107262,0.7375238215201492,2.07586191768558e-05,True,13.865546149684358,0.3478512582264504,2.4121472580224035,True,,,,,,**
