i,Annotation,Human association to T2D incidence,Nile rat non-fasted association to OGTT glucAUC,Nile rat fasted association to OGTT glucAUC,Elastic net fasted importance,Elastic net non-fasted importance,Elastic net fasted coefficient sign,Elastic net non-fasted coefficient sign,Nonfasted indiv linear model q-value,Nonfasted indiv linear model p-value,Fasted indiv linear model q-value,Fasted indiv linear model p-value,SRR,SRR 95% CI,SRR p-value,SRR q-value
l_0,AC 5:0,Increased,Not significant,Negative,0.049723716,0,-,-,0.917215327,0.880110094,0.04543414,0.005449517,1.13,1.08; 1.18,0.001,0.001
l_1,AC 4:0,Not significant,Negative,Negative,0.360923507,0,-,-,0.012212466,0.004767109,0.002053419,3.50E-05,0.97,0.88; 1.06,0.473,0.606
l_2,AC 3:0,Not significant,Not significant,Not significant,0,0,-,-,0.13856507,0.081231191,0.149438208,0.036484559,1.06,0.98; 1.14,0.131,0.256
l_3,AC 2:0,Not significant,Not significant,Negative,0.029938972,0,-,-,0.089775817,0.047914417,0.010428718,0.000632309,1,0.94; 1.07,0.993,0.998
l_4,AC 18:2,Not significant,Not significant,Negative,0,0,-,-,0.651916188,0.549201217,0.035293982,0.003757344,1.08,0.88; 1.31,0.471,0.605
l_5,AC 18:1,Not significant,Not significant,Negative,0,0,-,-,0.450029598,0.342073598,0.012415417,0.000810659,0.98,0.84; 1.15,0.835,0.895
l_6,AC 18:0,Not significant,Not significant,Negative,0.04350772,0.000917388,-,+,0.1785235,0.108837251,0.002191522,4.20E-05,0.97,0.81; 1.17,0.759,0.854
l_7,AC 16:1,Not significant,Positive,Not significant,0,0,-,-,0.024694919,0.010803943,0.057058468,0.008336286,1.11,0.81; 1.52,0.517,0.64
l_8,AC 16:0,Not significant,Not significant,Not significant,0,0,-,-,0.433811511,0.325127718,0.050471935,0.006626904,1.06,0.99; 1.12,0.083,0.184
l_9,AC 14:1,Not significant,Not significant,Negative,0,0.026791555,-,-,0.188071492,0.116793865,0.003642094,0.000108565,0.94,0.89; 0.99,0.02,0.065
l_10,AC 14:0,Not significant,Not significant,Negative,0.051353653,0,-,-,0.319867377,0.225201162,0.002191522,4.50E-05,0.99,0.92; 1.06,0.746,0.844
l_16,LysoPC 20:5,Not in human SRR analysis,Not significant,Not significant,0.120715743,0.03111695,-,-,0.195788176,0.122419718,0.169878854,0.044609777,,,,
l_17,LysoPC 16:0,Not in human SRR analysis,Not significant,Not significant,0.029454249,0.001762032,+,-,0.456853776,0.348881947,0.90246806,0.827529264,,,,
l_18,LysoPC 18:1,Not in human SRR analysis,Not significant,Not significant,0.00920058,0,-,-,0.185043097,0.114125232,0.625957113,0.384267124,,,,
l_20,LysoPC 22:6,Not in human SRR analysis,Not significant,Not significant,8.61E-06,0.069240747,-,-,0.280711958,0.190063313,0.828288102,0.659913384,,,,
l_21,LysoPC 15:0,Not in human SRR analysis,Not significant,Not significant,0.030189033,0.17522628,-,-,0.098226771,0.053400785,0.538980868,0.299665118,,,,
l_22,LysoPC 20:4,Not in human SRR analysis,Not significant,Not significant,0.006254175,0.057924274,-,-,0.235856435,0.15383397,0.643274768,0.408153046,,,,
l_23,LysoPE 18:2,Not in human SRR analysis,Not significant,Not significant,1.43E-05,0,-,-,0.560813602,0.454143591,0.658076457,0.420813973,,,,
l_25,LysoPC 18:2,Not in human SRR analysis,Not significant,Not significant,0.000951925,0,-,-,0.374456836,0.271341682,0.639842798,0.404613153,,,,
l_31,LysoPC 22:5,Not in human SRR analysis,Not significant,Not significant,0,0.00301395,-,-,0.333030688,0.236359608,0.864664842,0.726588483,,,,
l_32,LysoPC 17:1,Not in human SRR analysis,Negative,Negative,0.41824429,0.002556133,-,-,0.023223092,0.010054,0.041027981,0.004711398,,,,
l_33,LysoPC 16:0,Not in human SRR analysis,Not significant,Not significant,0.000215112,0.001222508,-,-,0.145435398,0.086187762,0.93619926,0.886826839,,,,
l_36,LysoPC 20:3,Not in human SRR analysis,Not significant,Not significant,0.018248945,0.237521145,-,-,0.068207358,0.034611967,0.600855374,0.355866201,,,,
l_38,LysoPE 16:0,Not in human SRR analysis,Not significant,Not significant,0.000150243,8.72E-05,-,+,0.464515987,0.356051998,0.8405544,0.690817598,,,,
l_41,LysoPC 16:0,Not in human SRR analysis,Not significant,Not significant,0.015297679,0.188600936,-,-,0.608176778,0.501562396,0.627562971,0.386158336,,,,
l_47,LysoPC 18:1,Not in human SRR analysis,Not significant,Not significant,0.041391004,0.001084753,-,-,0.099189614,0.054210084,0.604100649,0.361860148,,,,
l_48,LysoPC 18:1,Not in human SRR analysis,Not significant,Not significant,0.020316092,0.016117358,-,-,0.133698783,0.077049973,0.406072231,0.185342853,,,,
l_50,LysoPC 22:4,Not in human SRR analysis,Not significant,Not significant,0.000526444,0,+,-,0.449199033,0.341123467,0.8405544,0.689184279,,,,
l_53,LysoPC 17:0,Not in human SRR analysis,Not significant,Not significant,0.006282231,0.002915306,+,-,0.657097171,0.554498606,0.719004322,0.496516114,,,,
l_54,FA 18:4,Not in human SRR analysis,Not significant,Not significant,5.16E-05,0.004685762,-,+,0.058469167,0.028757369,0.097929273,0.019669258,,,,
l_55,LysoPC 20:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.289347206,0.19714217,0.607597344,0.364865827,,,,
l_56,LysoPC 17:0,Not in human SRR analysis,Not significant,Not significant,0.011758981,0.031217874,-,-,0.527556239,0.415230567,0.682018054,0.448224782,,,,
l_60,FA 20:5,Not in human SRR analysis,Not significant,Not significant,0.009973812,0,-,-,0.280711958,0.189711867,0.204957013,0.059494264,,,,
l_61,FA 20:5,Not in human SRR analysis,Not significant,Not significant,0.000471515,0,-,-,0.39146986,0.286448138,0.464713454,0.237221085,,,,
l_62,LysoPC 18:0,Not in human SRR analysis,Not significant,Not significant,0.001453341,0.212756303,+,-,0.803625358,0.732331412,0.948883232,0.914537565,,,,
l_64,LysoPE 18:0,Not in human SRR analysis,Not significant,Not significant,0.001817679,0,+,-,0.29873259,0.206326178,0.453586231,0.228563679,,,,
l_65,LysoPC 18:0,Not in human SRR analysis,Not significant,Not significant,0.003837792,0.000204916,+,-,0.631036725,0.525789294,0.772270325,0.571709144,,,,
l_73,FA 18:3,Not in human SRR analysis,Not significant,Not significant,6.42E-05,0,-,-,0.067878742,0.034300684,0.43101073,0.210181136,,,,
l_76,FA 22:6,Not in human SRR analysis,Positive,Not significant,0,0.005792411,-,+,0.011387416,0.004396561,0.648074785,0.413059465,,,,
l_78,FA 14:0,Not in human SRR analysis,Not significant,Not significant,0.000106418,0.011999904,-,+,0.6991954,0.599452124,0.359341652,0.14842927,,,,
l_83,FA 22:6,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.005565423,0.001927556,0.981464746,0.969623084,,,,
l_84,FA 21:5,Not in human SRR analysis,Positive,Not significant,0.000103728,0.00384746,-,+,0.001860164,0.000500357,0.733401853,0.519320262,,,,
l_86,FA 20:4,Not in human SRR analysis,Not significant,Not significant,0.00029449,0,-,-,0.107400744,0.059455344,0.936714307,0.888183331,,,,
l_87,FA 16:1,Not in human SRR analysis,Not significant,Not significant,0.015106825,0,-,-,0.286970682,0.195115624,0.36968334,0.155695763,,,,
l_92,FA 18:2,Not in human SRR analysis,Not significant,Not significant,0.001668754,0.000356437,-,+,0.089156251,0.047457195,0.959720238,0.934142729,,,,
l_94,FA 22:5,Not in human SRR analysis,Positive,Not significant,0,0.004048824,-,+,0.002081997,0.000582191,0.413928582,0.192128668,,,,
l_98,FA 18:2,Not in human SRR analysis,Not significant,Not significant,0.000107821,0,+,-,0.082507341,0.043156785,0.688162012,0.455507378,,,,
l_101,FA 22:5,Not in human SRR analysis,Positive,Not significant,0.000155253,0,-,-,0.012216285,0.00479461,0.983733805,0.973261124,,,,
l_104,FA 20:3,Not in human SRR analysis,Not significant,Not significant,0.000800632,0.002726874,-,-,0.579512455,0.472650372,0.896157078,0.812201979,,,,
l_109,FA 16:0,Not in human SRR analysis,Positive,Not significant,5.34E-06,0.031407146,-,+,0.033016835,0.014997001,0.855690729,0.714559569,,,,
l_110,FA 20:3,Not in human SRR analysis,Not significant,Not significant,0.001894266,0,-,-,0.268879804,0.180525404,0.59397345,0.346519642,,,,
l_113,FA 18:1,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.043376895,0.020287703,0.682018054,0.447406236,,,,
l_116,FA 22:4,Not in human SRR analysis,Not significant,Not significant,0.015238309,0,-,-,0.053845909,0.026101317,0.537104613,0.295123529,,,,
l_120,FA 18:1,Not in human SRR analysis,Positive,Not significant,8.34E-06,0,-,-,0.044701318,0.020970597,0.420246431,0.199535034,,,,
l_122,FA 20:2,Not in human SRR analysis,Positive,Not significant,0.053149648,8.25E-06,-,+,0.048514041,0.022958289,0.185379776,0.05039067,,,,
l_123,FA 24:5,Not in human SRR analysis,Positive,Not significant,0.000227461,0.195646914,+,+,1.95E-05,1.55E-06,0.059696133,0.009278533,,,,
l_124,FA 20:2,Not in human SRR analysis,Not significant,Not significant,0.099333857,0,-,-,0.129062734,0.073485638,0.161297844,0.041326133,,,,
l_125,FA 17:0,Not in human SRR analysis,Positive,Not significant,0.049940744,0,-,-,0.027595474,0.012201548,0.420246431,0.199314821,,,,
l_127,FA 19:1,Not in human SRR analysis,Not significant,Not significant,0.035997439,0.002485092,-,-,0.503509998,0.392015946,0.064512594,0.011034447,,,,
l_134,FA 18:0,Not in human SRR analysis,Not significant,Not significant,0.283175667,0.842531396,-,-,0.872249902,0.81839203,0.091488773,0.017791287,,,,
l_142,FA 20:1,Not in human SRR analysis,Positive,Not significant,0.391557762,0.026196487,-,+,0.018027349,0.007574301,0.055877038,0.008010761,,,,
l_145,FA 19:0,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.033115418,0.015065282,0.638640058,0.402050371,,,,
l_146,PC 34:3,Not significant,Positive,Not significant,0.005086905,0.04268819,+,+,0.000879419,0.00019723,0.199921306,0.056755516,0.97,0.83; 1.14,0.702,0.801
l_157,FA 20:0,Not in human SRR analysis,Not significant,Not significant,0.072191441,0.004167137,-,-,0.695133427,0.595476257,0.353658355,0.144324737,,,,
l_159,Alkenyl-DG P-16:0_20:5,Not in human SRR analysis,Not significant,Not significant,4.29E-06,0,-,-,0.180759564,0.110457051,0.919949406,0.852699733,,,,
l_160,PI 16:0_20:4,Not significant,Not significant,Not significant,0,0,-,-,0.177824911,0.107906529,0.89869486,0.817053311,1.06,0.92; 1.21,0.424,0.568
l_163,SM d32:1,Not significant,Not significant,Not significant,0.013171628,0,-,-,0.727940989,0.629780033,0.323871455,0.12546014,1.05,0.95; 1.16,0.318,0.462
l_164,PC 36:3,Not significant,Positive,Not significant,0,0.228779528,-,+,0.000337279,5.55E-05,0.40333556,0.182631715,1,0.92; 1.08,0.943,0.978
l_165,PC 18:2_20:5,Not in human SRR analysis,Positive,Not significant,0.00099382,0,-,-,0.013607316,0.005456447,0.636923441,0.398986882,,,,
l_166,SM d40:7,Not in human SRR analysis,Positive,Positive,0.135447693,0.238777317,+,+,8.93E-05,1.03E-05,0.003642094,0.000104355,,,,
l_168,PI 16:0_18:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.211550269,0.133926785,0.816605267,0.633823014,,,,
l_172,PC 36:6,Not significant,Positive,Not significant,0,0,-,-,0.014045801,0.00568212,0.386111295,0.17099606,0.99,0.9.; 1.08,0.786,0.868
l_173,PI 18:2_18:1,Not significant,Not significant,Not significant,0,0,-,-,0.561617683,0.455591918,0.453958219,0.229395495,0.95,0.78; 1.15,0.575,0.691
l_175,PC 42:10,Not in human SRR analysis,Positive,Not significant,0.088043191,0.056794539,+,+,0.001613368,0.000422522,0.054957151,0.007604095,,,,
l_177,SM d34:2,Not significant,Not significant,Not significant,0,0,-,-,0.197810527,0.124105398,0.822069467,0.644834722,0.95,0.86; 1.06,0.374,0.557
l_179,PC 18:3_18:2,Not significant,Positive,Not significant,0,0,-,-,0.002169458,0.000618965,0.79775111,0.60685737,0.98,0.91; 1.05,0.505,0.627
l_183,PI 18:0_20:5,Decreased,Not significant,Not significant,0,0.005567694,-,-,0.293842459,0.200691411,0.828288102,0.66166235,0.85,0.80; 0.92,0.001,0.001
l_184,Alkenyl-DG P-38:6,Not in human SRR analysis,Not significant,Not significant,0.011391145,0.020983339,-,-,0.473208144,0.36439378,0.974853356,0.958248331,,,,
l_186,PC 38:7,Not in human SRR analysis,Negative,Not significant,0.016780285,0.676794429,+,-,0.00395784,0.001280367,0.421499685,0.200728381,,,,
l_187,PC O-34:4,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000108718,1.35E-05,0.168677271,0.044054816,,,,
l_188,PC 38:7,Not in human SRR analysis,Not significant,Not significant,0.019423692,0.001885293,+,-,0.510473773,0.398524592,0.805736556,0.615882378,,,,
l_190,PI 17:0_20:4,Not in human SRR analysis,Not significant,Not significant,0.000406659,0.171410144,+,-,0.181634857,0.111378649,0.76073632,0.552681702,,,,
l_192,PC 18:2_22:6,Not in human SRR analysis,Positive,Positive,0,0.000620463,-,+,5.11E-05,5.09E-06,0.04588772,0.005536489,,,,
l_194,PC 34:4,Not significant,Not significant,Not significant,0.074539451,0.001237956,+,-,0.785629174,0.707035099,0.470218689,0.244569516,1.06,0.97; 1.17,0.203,0.351
l_195,SM d36:3,Decreased,Positive,Not significant,0.007383373,0.538442144,+,+,0.000126283,1.68E-05,0.252444271,0.084745309,0.86,0.79; 0.93,0.001,0.001
l_197,PC 38:7,Not in human SRR analysis,Not significant,Not significant,0.026030269,0.003158781,+,-,0.160205086,0.095622766,0.679211975,0.444934459,,,,
l_198,PI 17:0_18:2,Not in human SRR analysis,Not significant,Not significant,0.005048075,0,-,-,0.454812735,0.34700049,0.415165314,0.193686247,,,,
l_201,PI 18:0_22:6,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.117242354,0.06556918,0.370100328,0.158576504,,,,
l_204,PC 37:6,Not in human SRR analysis,Not significant,Not significant,0,0.058788945,-,-,0.829331588,0.76340885,0.495083065,0.265479686,,,,
l_206,PC 14:0_18:2,Not significant,Not significant,Not significant,0.007994986,0.00215252,-,-,0.276224003,0.185848371,0.946858322,0.910772484,1.04,0.95; 1.14,0.384,0.528
l_208,SM d33:1,Not significant,Not significant,Not significant,0,0,-,-,0.133698783,0.076962091,0.762541018,0.556346463,1.04,0.80; 1.36,0.771,0.861
l_209,PC O-36:5,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.000192199,2.81E-05,0.126837842,0.028896343,,,,
l_210,PC O-38:6,Not in human SRR analysis,Positive,Not significant,0.073768114,0,+,-,0.009169551,0.003397094,0.115675653,0.025216884,,,,
l_213,PC 18:2_20:4,Not significant,Positive,Not significant,0.183847987,0,-,-,0.01359652,0.005431758,0.837676017,0.6775837,0.94,0.88; 0.99,0.032,0.091
l_216,PC 16:0_20:5,Not significant,Positive,Not significant,0.002164766,0.000246492,+,+,0.04375485,0.020495529,0.291610903,0.107771967,0.98,0.91; 1.05,0.505,0.627
l_217,PC 16:1_18:2,Not significant,Not significant,Not significant,0,0.000223799,-,-,0.75411982,0.664001013,0.957996155,0.928360488,0.97,0.83; 1.14,0.702,0.801
l_222,PI 16:0_18:1,Not significant,Not significant,Not significant,0,0,-,-,0.175661874,0.106219955,0.607597344,0.365631448,1.11,0.92; 1.34,0.281,0.426
