i,RBG,FBG,all
l_0,1059.3738557014422,-1881.2632055790293,-868.5969347584847
l_1,1312.5736215806896,-1082.2756256871126,-332.4797404783106
l_2,312.00851060997553,-641.5859003544499,-249.05964173376745
l_3,45.43885006585807,-3231.342214296672,-3087.988982925671
l_4,139.39050942365932,-2234.12206516683,-943.4297144948828
l_5,1442.4109469744265,-882.2694711042288,-270.89052595091886
l_6,759.101090882476,-1671.9703116710934,-1770.8916051127703
l_7,738.4331896776114,-2740.258262461592,-2220.093358556342
l_8,569.1023860833035,-1868.2508858731235,-1691.0081303136135
l_9,-423.08222283623917,-1873.670735424475,-2962.6483390431918
l_10,1106.7853906302953,13.44442893207815,2239.8820916121017
l_11,-1329.1340164487854,-236.89622538671077,-1631.4085173427873
l_12,-889.5617917599204,61.918401960262614,-934.1092292813473
l_13,838.1530441046359,-2977.5946266808164,-2960.966958351459
l_14,1803.259137774822,-131.00024987174987,669.9902491362062
l_15,-26.17542786288432,-408.48969644539665,-77.10094716713719
l_16,-505.65253576691094,-653.4526848685133,-408.25931399369495
l_17,171.93389237977203,-998.5410603640876,-256.71187439439075
l_18,-243.86972444822234,-321.1639929903516,-103.3532753997675
l_19,-572.4084258893357,-1427.221382324733,-2385.6674022578964
l_20,839.4243773885325,584.8892782818722,754.0651716047681
l_21,-1417.040324404547,-1534.9934740808674,-1212.6433224714342
l_24,1022.6498565806108,-2439.7252396837434,-1207.2169172732943
l_22,-1114.60854276252,1153.1525163271804,863.4684778256052
l_23,-158.87822520604809,569.0136162372905,-1105.6428998002623
l_25,-340.2175833747192,-425.5689088679709,-663.1585792474992
l_26,-574.7591228050441,-453.8784961902872,-57.625236759520696
l_28,107.0951070969831,-933.3628249635728,-965.9471557862429
l_27,-543.6195831882861,1135.3522456854623,1069.91159725331
l_29,181.08042307195788,-808.435780190282,1416.4602208106646
l_30,-160.91213752974198,-575.9014614001459,-311.6991917433299
l_33,-696.3901148703458,663.1531087528684,764.6941173506875
l_31,-870.9245577755801,-1058.3606059307542,-1871.5483665870263
l_32,-1153.274360840537,-853.0914740601091,-1168.4511600753947
l_35,-575.9650602718715,-1379.7481232414807,-1608.5150544487185
l_34,-795.4215897046768,454.58516057330894,1692.0501490343365
l_36,-1529.7370836917623,133.5560460138832,-455.1869006099443
l_37,-1107.8887862184206,-52.59389024096571,-1317.111415445136
l_38,-828.6717834858299,322.0189188055183,47.570875504269395
l_39,125.55413784185568,109.52856455496648,87.97117967589215
l_40,1791.1181545709871,1007.8120410822197,2322.8096087721515
l_41,946.1141697037104,684.1354882164575,1582.8294508332663
l_42,916.5884498033508,512.1980437518706,1128.0063100654436
l_43,-2942.7482121970306,-2450.3513011196724,-4075.851088738456
l_44,419.223692179075,-688.3733639234605,-255.44782041483782
l_45,2161.3095158187116,4197.357163446311,4430.772551822511
l_46,-453.3800934434854,-130.31384470689298,-77.96121902769188
l_47,-2938.391865223907,-2401.21125832813,-3899.0795139810825
l_48,-99.84836870798729,825.0349849475509,1567.7608485825872
l_49,-1455.6022816497732,-1012.604468013719,-1409.3319606230905
l_50,-1542.962478262734,-662.1984666249872,-2607.8098411482692
l_51,-1102.8414332741975,-115.7949299655784,-1405.1440194417921
l_52,-107.19902226903967,-2634.1680905397625,-2170.018334420522
l_53,-845.1157419590226,1777.7446951538693,1967.7564432752686
l_54,-888.7157372964167,2315.853861060762,2127.86155853043
l_55,-2675.080664385983,-2664.8753435288527,-4415.397854955098
l_56,-3174.700255458858,42.587392825331364,-1544.8300914674712
l_57,-2279.8773484791204,-440.82967829547806,-3175.020913221187
l_58,-2928.516600009985,-964.723187129257,-2104.881836423284
l_59,-1180.7745842920103,-907.803345417205,-1522.6759759144927
l_60,-2345.401551867743,-2687.5063962604277,-4725.447123889157
l_61,-1790.7783483648068,1008.786958302077,330.9812174410982
l_62,-763.9971212327756,-1021.2148184763065,-1963.551725950791
l_63,-325.8853193414267,-909.1598535683532,225.74795648744814
l_64,-1127.8261766714866,-696.9748087064057,-537.956417189036
l_65,186.13801313746188,-610.4957624713669,-132.63251725040038
l_66,-944.1784238351516,74.91944214150188,-62.7390854941738
l_67,-81.79809307560544,495.0086781775767,1573.134644299503
l_68,-1137.4745646781796,-2360.101187787472,-2125.5200507563914
l_69,60.386115395820056,-149.6516305717533,1517.0888023244167
l_70,-1816.3954281684987,-2693.3511924043064,-3917.4507789851464
l_71,1175.9851716686308,339.14937031182643,1510.9402808107488
l_72,2319.5877576877747,575.8201507916442,2433.2885830340274
l_73,-2119.7813301113847,-518.6876732796146,-1541.6332844544268
l_74,482.894651392673,536.2617291452401,1639.2843137687864
l_75,1190.3515809529306,1188.1664782226403,2357.7924297935697
l_77,724.1635836383705,1638.050595036968,3999.5794961847423
l_76,-1880.7126691352864,350.8813646612671,-1068.4458926383115
l_79,241.70331799137713,2206.7592388025837,3376.4290661044683
l_78,-110.24183086543266,-720.829894892528,-138.7454532050664
l_80,-1559.538235387335,-531.3177378267699,-763.9557368389932
l_81,-919.7947991295724,-1111.8585434755053,-2709.9214015716298
l_82,-46.58144056468292,811.3990439191199,1776.5026760849398
l_83,-1005.9962502821155,-461.3625110330102,-120.95286459905583
l_84,-571.5015673729738,-810.6139192981799,-1031.5708524543852
l_85,-503.6848481936789,521.4301022059634,384.31512934341714
l_86,-555.9293512710309,1044.6253953882626,199.44272482463185
l_87,521.3739893515786,444.8364943423177,1401.774763321725
l_88,-272.0154554986631,-227.96586299224762,-786.8446906944938
l_89,-907.8269012603149,412.2891032093803,-357.16810757443545
l_90,1080.5024705343315,-571.303208919726,365.28608284173885
l_91,-687.5845220305101,-66.19304466563939,-191.21820973127578
l_92,-1619.8294026435121,-900.9448353636895,-2027.2986134634361
l_93,-1339.3240859761295,-719.5234747028179,-1052.591324795806
l_94,-35.99905406681113,-990.4899829981343,-980.9706541722164
l_95,-2538.1249614369594,77.20897693769354,-4475.296577813109
l_96,83.36353594077205,183.07471004392312,-603.8271693675246
l_97,1476.8218337595854,284.8809369349727,2670.808546069275
l_98,1297.3098767274978,480.2773027139343,1278.5333715273118
l_99,-850.1603708865495,744.0106181371025,746.8107130302853
l_100,1777.886375768784,-439.8696211338043,2155.1119878044697
l_101,1943.0067691187573,184.2107584347636,566.6148124770763
l_102,-249.5361026724487,-501.48762243017205,-778.3299973122167
l_103,-1600.875319888652,2562.069214096936,-458.8562858676501
l_104,866.072657010955,111.91529367668052,330.75178891958717
l_105,-558.0730715328314,-1370.6261012196069,-1630.6537584026016
l_106,-1531.771154521424,732.6619402065061,-702.6533944243437
l_107,-271.1062062299584,-266.10190358647293,-1707.6990461728892
l_108,-1011.946337427364,2339.6352982707426,1091.3805605144196
l_109,-743.5681249631666,1499.888814408608,299.1537831193634
l_110,400.1343836439623,1203.9884972570517,677.3293695350127
l_111,519.0397430843727,1586.1585835511787,4165.99690479545
l_112,-406.3788294052901,-541.9430586122108,-838.2478737947404
l_113,-540.4337927123768,-75.31678883596533,-168.55210181758477
l_114,-1392.210482775789,57.9535443746748,-1259.3731084387853
l_115,718.4106601070932,1.7008506907303835,309.7933252229604
l_116,28.87121601969342,351.7953207226312,280.4679699552432
l_117,-812.9386736304443,232.90423749990063,138.06898074935955
l_120,-302.09421137815286,480.7273504658473,-45.31919940967786
l_119,-235.34638771027812,463.8536456638208,1.0399075232246344
l_118,-677.3645944204112,384.3447421817183,-575.1680532808032
l_121,-466.9169544954215,-1072.8265322258042,-1702.2155652314555
l_122,-736.7538217749051,72.82067403878332,-243.03606636458596
l_123,-54.58159993909713,400.3258163415282,1103.8121568870104
l_124,-1238.320896457011,-546.223863468325,-856.3506269864007
l_125,-2618.3562952475154,1711.1480421363085,-1023.1683171103411
l_126,-2772.6106222082,2415.073684785002,-180.53832129163703
l_127,-2031.1905755484206,682.6058573184646,-235.63396963427525
l_128,-966.3251058989841,214.59844329420034,388.4569974979649
l_129,-263.79511324315547,277.17770987273354,417.15378300971713
l_130,301.14928625471237,-980.2696442805883,345.34926135989076
l_131,1197.1170041642313,-1035.964174169549,60.37679285551859
l_132,-41.55897376518552,-1169.1665160442199,-1057.8292046070753
l_133,-1007.6108727683362,-1425.7096196040407,-1984.2907718912945
l_134,-979.3856039526806,-123.88016566612065,-21.393707295795693
l_135,-397.72917696318086,-473.15805037895205,-935.0319544648838
l_137,-558.6996646655202,-33.11745969322674,-404.7145440827825
l_136,-1555.3103634956142,-577.474703724592,-1539.0997667270983
l_138,-1228.801023503341,-630.5573107131056,-1972.6878711091133
l_139,-300.5544846199125,-774.5786484188529,-638.8174072117722
l_140,579.0115455166151,-957.8217705173455,254.43667523091108
l_142,35.22175238712575,-1291.3505240974537,-1343.94079210648
l_141,93.89265854676692,-285.2692406736783,32.985011081568295
l_143,108.65961796136423,-884.3685447423632,-544.1614135312001
l_144,295.48127259936183,-722.6297473767956,-34.42692544044634
l_145,-584.9498466184975,-1139.9643129839505,-1428.8070981043672
l_146,-398.76112867248656,-842.5422296924172,-832.7573787646513
l_147,563.3985015208731,665.939542596416,1579.9760021081293
l_148,-1732.3607490782285,2046.113067972832,136.38296315396204
l_149,647.6100337007074,-1084.5933791168864,-27.81977456579568
l_150,2054.573403277932,922.5659260187355,2888.6787476005456
l_151,370.4675257926703,-1187.2969228470247,319.1571733478556
l_152,-396.9193572741418,-1082.8216762715929,-1598.7066511705953
l_153,185.00468234266282,-1584.4017627941819,-1295.654525130187
l_154,719.4947107804313,2059.597871668805,2801.089164066661
l_155,-3571.2814881777176,-3676.4108101978936,-5830.484394573203
l_156,-3320.2031860979505,-453.5819375505463,-4213.478693224516
l_157,847.8178693950609,668.76582183328,744.1246953359114
l_158,580.8071255165213,-1276.7576486946577,-457.5829063181405
l_159,-972.4980986816172,-2048.3806156981827,-2989.822808479388
l_161,-1309.8715670286185,-3719.9243649767145,-3123.531499011286
l_162,-1349.426281410875,-2701.6422809933674,-4195.89918537591
l_160,-2942.274885960139,-2021.2065108151096,-3240.9184309406446
l_163,-2059.872332805307,-1164.7224364482101,-1164.4598158890794
l_164,-1812.683659923626,-2896.283537225958,-4797.832979700967
l_165,346.1079084520814,532.0728470861243,954.1528461392026
l_166,-1069.6337964280015,-3597.1890771478834,-4594.9792592689
l_167,13.834615216439394,-3347.145888765569,-3498.375706985298
l_168,647.7876328041831,639.5096686222233,2005.4900662082248
l_169,1842.6172469629173,2246.788461257218,2313.9960947506675
l_170,1294.2590850671909,-1965.5180172485218,316.3136634954805
l_171,-3393.3178246794378,-1248.0445491210046,-4448.2582426956
l_172,64.05377657694233,817.0375985173462,1042.2221687555514
